no,when,eventtitle,openTime,closeTime,where,place,whom,what,who,phone,email,contact,fee,url,tag1,uid
,2016/08/28,昆虫はかせと標本作り,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,幼児～小学生20人※幼児は必ず保護者同伴,野村進也さん（ゲンゴロウ博士）と熊谷直哉さん（蛾博士）と一緒に標本を作ろう!,輪島市子育て支援センター・児童センター、輪島市親子昆虫クラブ,,,0768-22-8031,100,,,
,2016/08/03,ゆめサロン,13:30:00,14:30:00,輪島市もんぜん児童館,,どなたでも　要申込,「夢かぼちゃ」の人たちと刺し子を楽しみましょう,輪島市もんぜん児童館,,,0768-42-3166,100,,,
,2016/08/12,みんなでランチ,10:00:00,13:00:00,輪島市もんぜん児童館,,どなたでも　要申込8/9まで,食育応援隊の方たちと昼食を作って食べましょう。,輪島市もんぜん児童館,,,0768-42-3166,100,,,
,2016/08/26,ミニなつまつり,10:00:00,12:00:00,輪島市もんぜん児童館,,どなたでも,参加自由、無料です。ヨーヨー釣りやスーパーボールすくいなど楽しいコーナーがあります。お友達と遊びに来てください。,輪島市もんぜん児童館,,,0768-42-3166,0,,,
,2016/08/30,クラフト工房で働こうIN門前工場,14:00:00,15:30:00,輪島市もんぜん児童館,,小学生20人　要予約,おしごとたいけん企画・第４回キッズ朝市で販売するタイルを貼った小物づくり,輪島市もんぜん児童館,,,0768-42-3166,0,,,
,2016/08/02,育児サロン　,10:00:00,11:00:00,輪島市もんぜん児童館,,どなたでも,幼児健康相談,輪島市もんぜん児童館,,,0768-42-3166,0,,,
,2016/09/02,育児サロン　,10:30:00,11:00:00,輪島市もんぜん児童館,,どなたでも,親子体操,輪島市もんぜん児童館,,,0768-42-3166,0,,,
,2016/09/06,育児サロン　,10:00:00,11:00:00,輪島市もんぜん児童館,,どなたでも,乳幼児健康相談　プチ教室「おすすめおやつ」,輪島市もんぜん児童館,,,0768-42-3166,0,,,
,2016/10/07,育児サロン　,10:30:00,11:00:00,輪島市もんぜん児童館,,どなたでも,親子体操,輪島市もんぜん児童館,,,0768-42-3166,0,,,
,2016/09/10,お月見団子を作ろう,10:00:00,11:30:00,輪島市もんぜん児童館,,どなたでも,お月見団子をみんなで作りましょう！要予約　持ち物　エプロン、三角巾、手拭き,輪島市もんぜん児童館,,,0768-42-3166,100,,,
,2016/09/21,ドッジビー大会,16:00:00,17:00:00,輪島市もんぜん児童館,,どなたでも,放課後、児童館で楽しもう！,輪島市もんぜん児童館,,,0768-42-3166,0,,,
,2016/09/15,ジュニアスポーツ教室サッカー教室,15:30:00,16:15:00,輪島市もんぜん児童館,,小学1～3年,サッカー教室です,輪島市もんぜん児童館,,,0768-42-3166,0,,,
,2016/09/15,ジュニアスポーツ教室サッカー教室,16:15:00,17:00:00,輪島市もんぜん児童館　共催もんぜんスポーツクラブ,,小学4～6年,サッカー教室です,輪島市もんぜん児童館,,,0768-42-3166,0,,,
,2016/10/01,ハンドベルクラブ,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,クラブ加入者,ハンドベルの練習・披露,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/10/02,おしごとたいけん説明会,10:00:00,11:00:00,輪島市子育て支援センター・児童センター,,おしごとたいけん申込者,おしごとたいけんの説明会を開きます。参加者にはおしごとたいけんに使える50わんがもらえます。１０時～１１時か１時～２時のつごうのよい時間帯に参加してください。,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/10/02,おしごとたいけん説明会,13:00:00,14:00:00,輪島市子育て支援センター・児童センター,,おしごとたいけん申込者,おしごとたいけんの説明会を開きます。参加者にはおしごとたいけんに使える50わんがもらえます。１０時～１１時か１時～３時のつごうのよい時間帯に参加してください。,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/10/08,キッズ朝市で働こう！～おしごとたいけん企画～,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,小学生20人　要申込,おしごとたいけん企画の第６弾です！商品の袋詰めやキッズ朝市の準備をします。みんなのアイディアをいかした朝市にして、おそごとたいけんのお客さんに喜んでもらおう！,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/10/10,おしごとたいけん,09:00:00,12:30:00,輪島市子育て支援センター・児童センター,,,おしごとたいけんは小学生対象ですが、幼児も「ちびっこおしごと広場」で作業するとお給料の模擬紙幣が支払われます。その通貨でお買い物やゲームができます。キッズカフェは現金利用もできるので大人のみなさんもご利用ください。,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/10/10,おしごとたいけん,13:00:00,16:30:00,輪島市子育て支援センター・児童センター,,,おしごとたいけんは小学生対象ですが、幼児も「ちびっこおしごと広場」で作業するとお給料の模擬紙幣が支払われます。その通貨でお買い物やゲームができます。キッズカフェは現金利用もできるので大人のみなさんもご利用ください。,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/10/15,手話であ・そ・ぼ,14:00:00,16:00:00,輪島市子育て支援センター・児童センター,,グループ加入者,手話の披露・練習,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/10/18,うさちゃん広場,10:30:00,11:30:00,輪島市子育て支援センター・児童センター,,乳幼児親子,「親子ふれあい遊び」,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/10/20,うさちゃん広場,10:30:00,11:30:00,輪島市子育て支援センター・児童センター,,乳幼児親子,「子どもの救急と事故の対応について」講師：輪島病院小児科医師　佐藤　啓氏,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/10/25,うさちゃん広場,10:30:00,11:30:00,輪島市子育て支援センター・児童センター,,乳幼児親子,「10月うまれたんじょう会」「タッピングタッチ」講師春木　理枝子氏,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/10/27,うさちゃん広場,10:30:00,11:30:00,輪島市子育て支援センター・児童センター,,乳幼児親子,「ぴょんぴょん運動会」協力：太陽の子クラブ,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/10/22,将棋教室,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,小学生・中学生・高校生,将棋教室を行います。,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/10/22,ハンドベルクラブ,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,クラブ加入者,ハンドベルの練習・披露,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/10/23,一本松公園で野あそびしよう！,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,小学生20名　要申込,楽しいゲームや落ち葉のスタンプで工作しましょう！　雨天の場合児童センターになります。※集合９時５０分　一本松公園集合です。　持ち物水筒、帽子、タオル,輪島市子育て支援センター・児童センター,,,0768-22-8031,100,,,
,2016/11/13,わじまキッズランド,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,グループ加入者,子どもの町わじまを作ろう,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/10/18,うさちゃん広場,10:00:00,11:30:00,輪島市子育て支援センター・児童センター,,乳幼児親子,ママが作る七五三,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/11/15,うさちゃん広場,10:30:00,11:30:00,輪島市子育て支援センター・児童センター,,乳幼児親子,サークル夢知遊さんのお話し会,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/11/17,うさちゃん広場,10:30:00,11:30:00,輪島市子育て支援センター・児童センター,,乳幼児親子,ママの癒しタイム「フットマッサージ」※要予約８人　予約順１人３０分程度,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/11/22,うさちゃん広場,10:30:00,11:30:00,輪島市子育て支援センター・児童センター,,乳幼児親子,「１１月生まれのたんじょう会」「ボールプール」協力：太陽の子クラブ,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/11/24,うさちゃん広場,10:30:00,11:30:00,輪島市子育て支援センター・児童センター,,乳幼児親子,「おはなし会」～マアサの紙芝居～,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/11/19,将棋教室,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,小学生・中学生・高校生,将棋教室を行います。,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/11/19,手話であ・そ・ぼ,14:00:00,16:00:00,輪島市子育て支援センター・児童センター,,グループ加入者,手話の披露・練習,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/11/20,ふれあいオセロ大会,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,小学生２０人　要申込,オセロ大会を開催します。優勝カップ目指して頑張ろう！,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/11/20,ハンドベルクラブ,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,クラブ加入者,ハンドベルの練習・披露,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/11/27,初めてのデコパージュ～おしゃれな小物を作ろう～,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,小学生２０人※要申込,ペーパーナプキンの柄を、専用液で貼り付けておしゃれでかわいいオリジナル小箱を作ろう！,輪島市子育て支援センター・児童センター,,,0768-22-8031,100,,,
,2016/12/10,将棋教室,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,小学生・中学生・高校生,将棋教室を行います。,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/12/10,ハンドベルクラブ,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,クラブ加入者,ハンドベルの練習・披露,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/12/11,クリスマスリースを作ろう,10:00:00,11:00:00,輪島市子育て支援センター・児童センター,,小学生10人,クリスマスが楽しくなるクリスマスリースを作りましょう☆,輪島市子育て支援センター・児童センター,,,0768-22-8031,200,,,
,2016/12/11,クリスマスリースを作ろう,11:00:00,12:00:00,輪島市子育て支援センター・児童センター,,小学生10人,クリスマスが楽しくなるクリスマスリースを作りましょう☆,輪島市子育て支援センター・児童センター,,,0768-22-8031,200,,,
,2016/12/15,うさちゃん広場,10:30:00,11:30:00,輪島市子育て支援センター・児童センター,,乳幼児親子,ベビーヨガを行います♪予約はいりません。動きやすい服装できてください。持ち物：タオル、飲み物,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/11/20,うさちゃん広場,10:30:00,11:30:00,輪島市子育て支援センター・児童センター,,乳幼児親子,１２月生まれのたんじょう会」協力：太陽の子クラブ,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/11/22,うさちゃん広場,10:30:00,11:30:00,輪島市子育て支援センター・児童センター,,乳幼児親子,クリスマス会をします,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/12/17,ハンドベルクラブ,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,クラブ加入者,漆芸美術館行事参加,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/12/18,わじまキッズランド,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,グループ加入者,子どもの町わじまを作ろう,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/12/24,手話であ・そ・ぼ,14:00:00,16:00:00,輪島市子育て支援センター・児童センター,,グループ加入者,手話の披露・練習,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/12/25,ソフト粘土で干支の酉を作ろう,13:30:00,15:00:00,輪島市子育て支援センター・児童センター,,小学生20人　要予約,来年の干支（酉）をソフト粘土で作ります♪講師は木下京子先生です。,輪島市子育て支援センター・児童センター,,,0768-22-8031,200,,,
,2016/12/27,ぞうきんがけレース大会,15:00:00,16:00:00,輪島市子育て支援センター・児童センター,,幼児～小学生,足腰の強さが試されるぞうきんがけレース！みんなでがんばろう！,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2016/12/11,クリスマス会,10:00:00,12:00:00,輪島市もんぜん児童館,,どなたでも　要申込12/7まで,ダンスクラブのダンスやケーキづくりを楽しもう♪ジョニーさんのバルーンアートやマアサさんの紙芝居と盛りだくさん♪,輪島市もんぜん児童館,,,0768-42-3166,200,,,
,2016/12/18,親子料理教室,10:00:00,13:00:00,輪島市もんぜん児童館,,どなたでも　要申込12/14まで,食生活改善推進協議会の方が教えてくれます。持ち物：エプロン・三角巾・手拭き,輪島市もんぜん児童館,,,0768-42-3166,100,,,
,2016/12/15,ジュニアスポーツ教室バスケット教室,15:30:00,16:15:00,輪島市もんぜん児童館,,小学1～3年,バスケット教室を行います。,輪島市もんぜん児童館,,,0768-42-3166,0,,,
,2016/12/15,ジュニアスポーツ教室バスケット教室,16:15:00,17:00:00,輪島市もんぜん児童館　共催もんぜんスポーツクラブ,,小学4～6年,バスケット教室を行います。,輪島市もんぜん児童館,,,0768-42-3166,0,,,
,2017/01/08,わじまキッズランド,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,グループ加入者,子どもの町わじまを作ろう,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2017/01/15,新春人間すごろく大会,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,幼児～小学生（要申込）※幼児は保護者同伴でお願いします,センターのホールが大きなすごろくハウスになります。コマはあなた!大きなサイコロを転がして進むと、おみくじ、輪投げ、クイズなどが待っています。ゴールを目指して、チーム対抗で楽しみましょう。☆小学４年生～６年生の子どもスタッフ募集中☆すごろくの進行係、景品係、クイズ係などのお手伝いです。スタッフは前日の１４日（日）午前３時に集合して打ち合わせや準備をします。,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
,2017/01/21,ハンドベルクラブ,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,クラブ加入者,漆芸美術館行事参加,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,
