no,eventtitle,where,place,whom,what,who,contact,fee,when,openTime,closeTime,tag1,url,timestamp,soucefile,totaluser
,ほっとミーティング,珠洲市役所市民ふれあいの里　健康増進センター,,妊娠中の方・乳幼児をお持ちのママ,◎ほっとミーティングは、別室にてママたちだけの場となります。◎お子様については和室にて託児いたします。（お子様用の水分や替え用のオムツ等お持ちください。）◎当日は、できるだけ午前１０時までにおいでください。＊ご利用の際は、必ず９日（金）までに予約をお願いします。＜予約・問い合わせ＞珠洲市健康増進センター（福祉課　健康推進係）　電話　８２－７７４２,珠洲市役所市民ふれあいの里　健康増進センター（福祉課　健康推進係）,0768-82-7742,0,2017/01/11,10:00:00,11:30:00,,,2017/01/30 14:07:41,suzuki.csv,
126,子育て情報交換,穴水町子育て支援センター（平和こども園）,,乳幼児,ママ達と情報交換しましょう,穴水町,平和こども園　（０７６８）５２－２１３０,0,2017/01/12,09:30:00,11:00:00,,,2017/01/30 14:07:41,anamizuh28.csv,
141,もちつき交流会,認定こども園柳田保育所,認定こども園柳田保育所,未就園児とその保護者,もちつき会をします。皆でおもちをついて食べましょう！,認定こども園柳田保育所,0768(76)0154,0,2017/01/12,10:00:00,11:00:00,baby,,2017/01/30 14:07:41,mirai461_0119.csv,
134,雪遊び,こどもみらいセンター（能登町）,こどもみらいセンター（能登町）,未就園児とその保護者,ちびっこみんな集まれ！！雪で遊ぼう♪,こどもみらいセンター（能登町）,0768(62)1503,0,2017/01/13,10:30:00,11:30:00,baby,,2017/01/30 14:07:41,mirai461_0119.csv,
136,児童館であそぼう,穴水町児童館,,乳幼児と保護者,子育てサポーターが幼児の遊びをサポートします,穴水町,穴水町児童館(0768-52-3220),0,2017/01/13,10:00:00,12:00:00,,,2017/01/30 14:07:41,anamizuh28.csv,
138,親子体操教室,穴水町児童館,,乳幼児,幼児リトミックダンスとお母さんのリフレッシュダンス,穴水町,穴水町児童館(0768-52-3220),0,2017/01/13,10:30:00,12:00:00,,,2017/01/30 14:07:41,anamizuh28.csv,
,「児童館にあつまれ～!」,珠洲市子育て支援センター・児童館,,小学生・幼児とその保護者　10名,☆児童館にあつまれ～☆　対象：小学生・年長中児とその保護者　　先着　１０名 内容：貯金箱作り　参加費：無料☆参加ご希望の方は、児童館に お申し込み ください。定員になりしだいしめきりです。,珠洲市子育て支援センター,0768-82-5479,0,2017/01/14,14:00:00,15:00:00,,,2017/01/30 14:07:41,suzuki.csv,
129,新春お茶会,穴水町児童館,プルート内,定員5人（要事前申込1／11まで）,お抹茶・お菓子のいただき方を学ぶ,穴水町,穴水町児童館(0768-52-3220),0,2017/01/14,9:30:00,12:00:00,,,2017/01/30 14:07:41,anamizuh28.csv,
130,おはなし会,穴水町児童館,2階多目的ホール,小学生,絵本・すばなし・紙芝居など。「こぐまグループ」のみなさん,穴水町,児童館,0,2017/01/14,10:30:00,11:30:00,,,2017/01/30 14:07:41,anamizuh28.csv,
131,児童ダンスクラブ,穴水町児童館,,小学生,仲間とダンスの練習,穴水町,穴水町児童館(0768-52-3220),0,2017/01/14,10:00:00,12:00:00,,,2017/01/30 14:07:41,anamizuh28.csv,
,新春人間すごろく大会,輪島市子育て支援センター・児童センター,,幼児～小学生（要申込）※幼児は保護者同伴でお願いします,センターのホールが大きなすごろくハウスになります。コマはあなた!大きなサイコロを転がして進むと、おみくじ、輪投げ、クイズなどが待っています。ゴールを目指して、チーム対抗で楽しみましょう。☆小学４年生～６年生の子どもスタッフ募集中☆すごろくの進行係、景品係、クイズ係などのお手伝いです。スタッフは前日の１４日（日）午前３時に集合して打ち合わせや準備をします。,輪島市子育て支援センター・児童センター,0768-22-8031,0,2017/01/15,10:00:00,12:00:00,,,2017/01/30 14:07:41,takese_0130.csv,
4,フェアリーリングのおさんぽ会,石川県健康の森,,親子　年齢問わず,自然の中でゆったり過ごす「森のようちえん」の考え方を大切に、子どもたちをそっと見守りつつのんびりおさんぽしませんか。　,フェアリーリングのおさんぽ会,https://www.facebook.com/fairyring.noto/,0,2017/01/15,10:00:00,14:00:00,,,2017/01/30 14:07:41,reisiu_notofairy.csv,
,国際交流,珠洲市子育て支援センター・児童館,,乳幼児とその保護者,持ち物：飲み物、汗拭き用タオル ☆ネイティブの国際交流員による外国の文化紹介や歌、絵本の読み聞かせなどがあります。 ☆直接遊びに来てね！,珠洲市子育て支援センター,0768-82-5479,0,2017/01/16,10:00:00,10:30:00,,,2017/01/30 14:07:41,suzuki.csv,
,うさちゃん広場,輪島市子育て支援センター・児童センター,,乳幼児親子,お正月あそびをしましょう。子育て仲間のみんなと一緒に楽しみませんか?,輪島市子育て支援センター・児童センター,0768-22-8031,0,2017/01/17,10:30:00,11:30:00,,,2017/01/30 14:07:41,takese_0130.csv,
,ママぴよタイム～ニンジンケーキ～,珠洲市子育て支援センター・児童館,,乳幼児とその保護者　１２組,☆ママぴよタイム☆＝にんじんケーキ＝　　内 　容：にんじんのパウンドケーキつくり　参加費：親子で５０円　持ち物：飲み物・取り皿・フォーク又はスプーン　☆参加ご希望の方は１１日（水）までに、子育て支援センターにお申し込みください。,珠洲市子育て支援センター,0768-82-5479,50,2017/01/17,10:00:00,11:00:00,,,2017/01/30 14:07:41,suzuki.csv,
24,ママのホッとティータイム,穴水町児童館,,乳幼児,子育てママが抱える様々な思いを自由に話し、仲間の話に耳を傾けホッと一息するママのための場所です。,穴水町,穴水町児童館（0768-52-3220）,0,2017/01/17,10:00:00,11:30:00,,,2017/01/30 14:07:41,anamizuh28.csv,
,保育所開放日,市内各保育所,,乳幼児とその保護者,◎市内各保育所の開放日ご利用ください。毎月第１・３水曜日です。,珠洲市子育て支援センター,0768-82-5479,0,2017/01/18,09:00:00,11:00:00,suzu_pink,,2017/01/30 14:07:41,suzuki.csv,
,子育て相談,珠洲市役所市民ふれあいの里　健康増進センター,,,,珠洲市子育て支援センター,0768-82-5479,0,2017/01/18,10:00:00,11:00:00,,,2017/01/30 14:07:41,suzuki.csv,
10,輪島市乳幼児健康相談,輪島市子育て支援センター・児童センター,,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2017/01/18,10:00:00,11:30:00,,,2017/01/30 14:07:41,takese_kensui0321.csv,
132,児童ダンスクラブ,穴水町児童館,,小学生,仲間とダンスの練習,穴水町,穴水町児童館(0768-52-3220),0,2017/01/18,15:00:00,16:00:00,,,2017/01/30 14:07:41,anamizuh28.csv,
,3歳児検診,珠洲市役所市民ふれあいの里　健康増進センター,,３歳３か月～３歳６か月頃のこどもとその保護者,持ち物　お知らせ票・母子手帳（アンケート用紙含む）◎個人通知あり○内容　身体計測、診察、歯科健診、保健相談、栄養相談、発達相談など,珠洲市子育て支援センター,0768-82-5479,0,2017/01/19,13:15:00,15:15:00,,,2017/01/30 14:07:41,suzuki.csv,
,うさちゃん広場,輪島市子育て支援センター・児童センター,,乳幼児親子,親子運動あそびをします。子育て仲間のみんなと一緒に楽しみませんか?,輪島市子育て支援センター・児童センター,0768-22-8031,0,2017/01/19,10:30:00,11:30:00,,,2017/01/30 14:07:41,takese_0130.csv,
,絵本にふれよう,珠洲市立中央図書館,,乳幼児とその保護者,図書館司書による新刊や手遊びの紹介・絵本の読み聞かせをします。,珠洲市子育て支援センター,0768-82-5479,0,2017/01/19,10:00:00,10:30:00,suzu_pink,,2017/01/30 14:07:41,suzuki.csv,
127,1月生まれのお友達・誕生会,穴水町子育て支援センター（平和こども園）,,乳幼児,1月生まれのお友達をみんなで祝ってあげよう。,穴水町,平和こども園　（０７６８）５２－２１３０,0,2017/01/19,09:30:00,11:00:00,,,2017/01/30 14:07:41,anamizuh28.csv,
142,お正月遊びって楽しいね,認定こども園鵜川保育所,認定こども園鵜川保育所,未就園児とその保護者,お正月の遊びを在園児と一緒に楽しみましょう♪,認定こども園鵜川保育所,0768(67)1623,0,2017/01/19,10:30:00,11:30:00,baby,,2017/01/30 14:07:41,mirai461_0119.csv,
144,一緒にお正月遊び,認定こども園しらさぎ保育所,認定こども園しらさぎ保育所,未就園児とその保護者,お正月ならではの遊びを楽しみましょう♪,認定こども園しらさぎ保育所,0768(62)0304,0,2017/01/19,10:30:00,11:20:00,child,,2017/01/30 14:07:41,mirai461_0119.csv,
145,正月遊びをしよう,認定こども園上町保育所,認定こども園上町保育所,未就園児とその保護者,正月遊びをします。何の遊びをするかな？？お楽しみに＾＾,認定こども園上町保育所,0768(76)0136,0,2017/01/19,10:30:00,11:30:00,child,,2017/01/30 14:07:41,mirai461_0119.csv,
146,正月遊びをたのしもう,認定こども園高倉保育所,認定こども園高倉保育所,未就園児とその保護者,お正月遊びをします。,認定こども園高倉保育所,0768(62)0670,0,2017/01/19,10:30:00,11:30:00,child,,2017/01/30 14:07:41,mirai461_0119.csv,
,「児童館にあつまれ～!」,珠洲市子育て支援センター・児童館,,小学生・幼児とその保護者　9名, ☆児童館にあつまれ～！「ちびっこクッキング」☆　内 　容：かんたん肉まんつくり 　対 　象：小学生・年長中児とその保護者　９名　持ち物：飲み物やタオル・エプロン・三角布（スカーフ可） 取り皿・フォークも持ってきてね！ ☆参加ご希望の方は、４日（水）～１７日（火）までに児童館に お申し込み ください。定員になりしだいしめきりです。,珠洲市子育て支援センター,0768-82-5479,100,2017/01/21,14:00:00,15:00:00,,,2017/01/30 14:07:41,suzuki.csv,
,ハンドベルクラブ,輪島市子育て支援センター・児童センター,,クラブ加入者,漆芸美術館行事参加,輪島市子育て支援センター・児童センター,0768-22-8031,0,2017/01/21,10:00:00,12:00:00,,,2017/01/30 14:07:41,takese_0130.csv,
,将棋教室,輪島市子育て支援センター・児童センター,,小学生・中学生・高校生,将棋教室を行います。,輪島市子育て支援センター・児童センター,0768-22-8031,0,2017/01/21,10:00:00,12:00:00,,,2017/01/30 14:07:41,takese_0130.csv,
,手話であ・そ・ぼ,輪島市子育て支援センター・児童センター,,グループ加入者,手話の披露・練習,輪島市子育て支援センター・児童センター,0768-22-8031,0,2017/01/21,14:00:00,16:00:00,,,2017/01/30 14:07:41,takese_0130.csv,
3,鵜川子育てママリフレッシュサークル,鵜川公民館,,妊婦・乳幼児などの子育て中のお母さん,まったり新年会,鵜川公民館,0768-67-1919,0,2017/01/21,13:30:00,16:00:00,能登町,,2017/01/30 14:07:41,ukawa.csv,
133,もちつき大会,穴水町児童館,プルート内,参加負担金１００円,杵と臼で餅つき体験＆だんご作り体験,穴水町,穴水町児童館(0768-52-3220),0,2017/01/21,9:30:00,12:00:00,,,2017/01/30 14:07:41,anamizuh28.csv,
,親子で初釜を体験しよう,輪島市子育て支援センター・児童センター,,幼児・小学生～大人,日本の季節を感じながら、おいしいお茶とお菓子を親子で味わいましょう！共催みらい子育てネット輪島　ふれあい健康センター３階和室で行います。,輪島市子育て支援センター・児童センター,0768-22-8031,100,2017/01/22,13:30:00,15:30:00,,,2017/01/30 14:07:41,takese_0130.csv,
3,里山の恵み、お味噌を作ろう！,能登半島里山里海自然学校,（金沢大学能登学舎１F）,親子。未就学児～大人までどなたでも。大人だけの参加もOK♪,能登のお豆と能登のお塩で美味しいお味噌をつくります。みんなで持ち寄った野菜と米で、スープとおにぎりも作って食べましょう。 　 お話やお歌も考え中です。地産地消や大寒を感じてもらえるといいなと思っています。雪が降ったら雪遊びもしましょうね！,NPO法人能登半島おらっちゃの里山里海,メール、電話、FaceBookページから https://www.facebook.com/events/362793897429281/,親子１組 2000,2017/01/22,10:00:00,13:00:00,suzu_pink,,2017/01/30 14:07:41,reisiu_notofairy.csv,
5,わかちあい劇場,乗光寺（珠洲市飯田町12-24),,興味のある方,「憲法」って一体何だろう？「憲法」を変えるとどうなるんだろう？という事を、一般の人から識者から、色んな人のインタビューを繋げたドキュメンタリーです。 http://fushigina.jp 12:45 開場       13:00 前半上映       14:10 休憩       14:20 後半上映       15:40 わかちあいor自由解散　出張ルスバン喫茶（甘いおやつ、飲み物）もあります。 映画を観たあとにお茶を飲みながらおしゃべりの時間を設けます。お時間のある方はそちらにもご参加下さい。 会場の乗光寺には、巨大スクリーンがあります。広間の畳に寝転がったりしながら映画が楽しめます✨大型の暖房はありますが、心配な方、より快適に映画を観たい方はブランケットなどを持ってお越し下さい。お子様大歓迎です！ ベビースペースも作る予定です。,わかちあい劇場,08063549793(八重樫さやか),大人1000円  (前半、後半のみ各500円)  中高生200円,2017/01/23,13:00,15:40,suzu_pink,,2017/01/30 14:07:41,reisiu_notofairy.csv,
,うさちゃん広場,輪島市子育て支援センター・児童センター,,乳幼児親子,ママの癒しタイム「フットマッサージ」※要予約８人　9時30分から予約順１人３０分程度の足湯・マッサージです。※予約受付開始は１月４日（水）からです。　持ち物：タオル,輪島市子育て支援センター・児童センター,0768-22-8031,500,2017/01/24,10:30:00,11:30:00,,,2017/01/30 14:07:41,takese_0130.csv,
,親子ふれあい講座☆セラピー☆,飯田公民館,,１歳未満の乳児とその保護者　１０組,☆親子ふれあい講座「親子ふれあいセラピー」☆　場所：飯田公民館　和室　講師：主任児童委員　加藤　美紀　氏　　内容：母と子のタッチセラピーとママのためのセラピー　対象：１歳未満の乳児とその保護者　１０組　持ち物：飲み物　☆参加ご希望の方は、４日（水）～１７日（火）までに子育て支援センターにお申し込みください。,珠洲市子育て支援センター,0768-82-5479,0,2017/01/24,10:00:00,11:30:00,suzu_pink,,2017/01/30 14:07:41,suzuki.csv,
139,ハンドメイド教室,穴水町児童館,,乳幼児,簡単な工作をします。※託児あり（要予約）,穴水町,穴水町児童館(0768-52-3220),0,2017/01/24,10:00:00,12:00:00,,,2017/01/30 14:07:41,anamizuh28.csv,
,12月生まれのお友達 お誕生会,珠洲市子育て支援センター・児童館,,乳幼児とその保護者,その月のお誕生日のお友だちのお祝いをします。,珠洲市子育て支援センター,0768-82-5479,0,2017/01/25,10:00:00,10:30:00,,,2017/01/30 14:07:41,suzuki.csv,
,うさちゃん広場,輪島市子育て支援センター・児童センター,,乳幼児親子,１月生まれのたんじょう会」協力：太陽の子クラブ　「手作りおやつ試食会」,輪島市子育て支援センター・児童センター,0768-22-8031,0,2017/01/26,10:30:00,11:30:00,,,2017/01/30 14:07:41,takese_0130.csv,
,ニュースポーツに挑戦,輪島市もんぜん児童館,,,もんぜんスポーツクラブの方が教えてくれます。,輪島市もんぜん児童館,0768-42-3166,0,2017/01/26,16:00:00,17:00:00,,,2017/01/30 14:07:41,takese_0130.csv,
128,リズム遊びを楽しもう,穴水町子育て支援センター（平和こども園）,,乳幼児,親子でリズム遊びをしましょう,穴水町,平和こども園　（０７６８）５２－２１３０,0,2017/01/26,09:30:00,11:00:00,,,2017/01/30 14:07:41,anamizuh28.csv,
135,Mama Cafe,こどもみらいセンター（能登町）,こどもみらいセンター（能登町）,未就園児とその保護者,みんなでお茶やお喋りしながらリフレッシュ！　要予約・定員10名,こどもみらいセンター（能登町）,0768(62)1503,300,2017/01/26,10:30:00,12:00:00,baby,,2017/01/30 14:07:41,mirai461_0119.csv,
39,輪島市おやこ子育て広場・のびのび広場,輪島市子育て支援センター・児童センター,,4～6か月児,離乳食の調理実習＆発達や生活リズムなどのお話,輪島市健康推進課,0768-23-1136,0,2017/01/27,10:00:00,11:30:00,,,2017/01/30 14:07:41,takese_kensui0321.csv,
136,身体計測＆手遊び,こどもみらいセンター（能登町）,こどもみらいセンター（能登町）,未就園児とその保護者,身体計測をします。母子手帳を持参下さい。終了後は手遊びがあります。,こどもみらいセンター（能登町）,0768(62)1503,0,2017/01/27,10:30:00,11:30:00,baby,,2017/01/30 14:07:41,mirai461_0119.csv,
,ハンドベルクラブ,輪島市子育て支援センター・児童センター,,クラブ加入者,ハンドベルの練習・披露,輪島市子育て支援センター・児童センター,0768-22-8031,0,2017/01/28,10:00:00,12:00:00,,,2017/01/30 14:07:41,takese_0130.csv,
134,てづくり教室,穴水町児童館,２階多目的ホール,小学生,かんたんな工作,穴水町,穴水町児童館(0768-52-3220),0,2017/01/28,13:30:00,15:00:00,,,2017/01/30 14:07:41,anamizuh28.csv,
140,こどもクッキング「恵方巻き作り」,こどもみらいセンター（能登町）,こどもみらいセンター（能登町）,小学生,恵方巻き作りに挑戦！出来上がったら皆で食べましょうね♪定員１０名　持ち物：エプロン・マスク・三角巾・手ふき＊要申込,こどもみらいセンター（能登町）,0768(62)1503,100,2017/01/28,10:00:00,12:00:00,child,,2017/01/30 14:07:41,mirai461_0119.csv,
,ふれあいドッヂビー大会,輪島市子育て支援センター・児童センター,,小学生２０人※要申込,毎回大人気のドッヂビー大会です!!ドッヂビーの投げ方、キャッチの仕方など練習してからみんなで試合を楽しみましょう。,輪島市子育て支援センター・児童センター,0768-22-8031,0,2017/01/29,10:00:00,12:00:00,,,2017/01/30 14:07:41,takese_0130.csv,
,うさちゃん広場,輪島市子育て支援センター・児童センター,,乳幼児親子,ハッピーバレンタイン,輪島市子育て支援センター・児童センター,0768-22-8031,0,2017/01/31,10:30:00,11:30:00,,,2017/01/30 14:07:41,takese_0130.csv,
137,児童館であそぼう,穴水町児童館,,乳幼児と保護者,子育てサポーターが幼児の遊びをサポートします,穴水町,穴水町児童館(0768-52-3220),0,2017/01/31,10:00:00,12:00:00,,,2017/01/30 14:07:41,anamizuh28.csv,
140,子育て教室（親子対象）,穴水町児童館,,乳幼児,楽しく子育て（あすなろ子育て広場指導員）,穴水町,穴水町児童館(0768-52-3220),0,2017/01/31,10:30:00,12:00:00,,,2017/01/30 14:07:41,anamizuh28.csv,
