no,when,eventtitle,openTime,closeTime,where,place,whom,what,who,phone,email,contact,fee,url,tag1,uid,timestamp,soucefile,totaluser
174,2017/04/10,すくすく広場,10:00:00,11:30:00,穴水町保健センター,健診ホール,乳幼児,赤ちゃんとママが集まる場としてホールを開放しています。身体測定もできます。,穴水町,0768-52-3589,,穴水町健康推進課,0,,,evt58f02185306,2017/04/15 14:50:31,anamizuh28_evt.csv,reisiu
,2017/04/11,ママぴよタイム おはなし・手あそび,10:00:00,11:00:00,珠洲市子育て支援センター・児童館,,乳幼児とその保護者　１0名,☆読み聞かせやふれあい遊びなどで お子さまとゆったりとした時間をすごしましょう。,珠洲市子育て支援センター,0768-82-5479,,,0,,,evt58ef87ae738,2017/04/15 14:50:31,suzuki_evt.csv,reisiu
,2017/04/12,ママのためのほっとミーティング,10:00:00,11:30:00,珠洲市役所市民ふれあいの里　健康増進センター,,妊娠中の方・乳幼児をお持ちのママ,◎ほっとミーティングは、別室にてママたちだけの場となります。◎お子様については和室にて託児いたします。（お子様用の水分や替え用のオムツ等お持ちください。）◎当日は、できるだけ午前１０時までにおいでください。＊ご利用の際は、必ず7日（金）までに予約をお願いします。＜予約・問い合わせ＞　　珠洲市健康増進センター（福祉課　健康推進係）　電話　８２－７７４２,珠洲市役所市民ふれあいの里　健康増進センター（福祉課　健康推進係）,0768-82-7742,,,0,,,evt58ef87b5915,2017/04/15 14:50:31,suzuki_evt.csv,reisiu
185,2017/04/13,子育て情報交換,09:30:00,11:00:00,穴水町子育て支援センター（平和こども園）,,乳幼児,ママ達と情報交換しましょう,穴水町,0768-52-2130,,平和こども園　,0,,,evt58f020e5824,2017/04/15 14:50:31,anamizuh28_evt.csv,reisiu
173,2017/04/14,みんなであそぼう！,10:30:00,11:30:00,こどもみらいセンター（能登町）,,未就園児とその保護者,４月からの新しい支援ルームの先生と一緒に遊びましょう♪,こどもみらいセンター（能登町）,0768(62)1503,,,0,,null,evt58ef86cd350,2017/04/15 14:50:31,mirai461_evt_0119.csv,reisiu
202,2017/04/14,親子体操教室,10:30:00,12:00:00,穴水町児童館,,幼児,幼児リトミックダンスとお母さんのリフレッシュダンス,穴水町,0768-52-3220,,穴水町児童館,0,,,evt58ef7899015,2017/04/15 14:50:31,anamizuh28_evt.csv,reisiu
196,2017/04/15,てづくり教室,13:30:00,15:00:00,穴水町児童館,２階多目的ホール,小学生,かんたんな工作,穴水町,0768-52-3220,,穴水町児童館,0,,,evt58ef78df974,2017/04/15 14:50:31,anamizuh28_evt.csv,reisiu
1,2017/04/16,春の生き物を探そう！～石休場町の生き物調べ第1回（全24回）～,10:00:00,14:00:00,輪島市石休場町,輪島市石休場町,親子、大人、どなたでも, 奥能登最高峰の高洲山につながる里山で蛾とゲンゴロウが大好きな<br />昆虫博士たちと生き物を探します。<br /><br />昆虫が大好きな子はもちろん、ちょっと怖いけど里山で遊びたい！という子もぜひご参加ください！<br /><br />小学生から幼稚園児まで様々な年齢の子が一緒に活動しています！<br /><br />【春の生き物を探そう！～石休場町の生き物調べ第1回（全24回）～】<br /><br />🐞日時：４月１６日(日) 10時～14時<br /><br />🐞場所：石川県輪島市石休場町<br />　　　　集合：８番ラーメン輪島店横の道<br />　　　　（ここから車で移動します。）<br /><br />🐞参加費：１家族500円（光熱費、材料費等）＋保険代1人150円×人数<br />（2017年度で2回目以降の参加の方は保険代いただきません。）<br />　1家族（大人2名子ども2名）参加の場合<br />　参加費1家族　参加費500円<br />　保険代150円×4名＝600円　合計1100円<br />　ほかの団体で輪島市のボランティア保険に加入されている方は保険代をいただきません。<br /><br />🐞定員：25名<br /><br />🐞講師：蛾類研究者 熊谷直哉 氏　水生昆虫研究者 野村進也 氏<br /><br />🐞持ち物：お弁当、水筒、切った野菜、お椀、カトラリー、虫採り網、虫かご（水生昆虫、陸上昆虫両方観察できます。）昆虫または生き物図鑑（あれば）、筆記用具、画板（あれば）、着替え、雨具、タオル等<br /><br /> 🐞服装：長袖・長ズボン(汚れてもよい服)、長靴、帽子<br /><br /> 🐞スケジュール<br />10:00　集合→車で移動<br />10:05〜10:20　自己紹介・説明・注意事項・野菜を集めます。<br />10:20〜12:00　里山散策、生き物探し<br />12:00　お昼　持ち寄った野菜で作ったスープを食べます。<br />12:30〜14:00　見つけた生き物の名前を図鑑で確認・ふりかえり 　<br />※雨天決行です。<br />雨がひどい場合は午前中は里山（外）で活動し、午後からは河原田公民館で行います。<br /><br /> 🐞申し込み<br />Facebookメッセージまたはメールにてお願いいたします。<br /> メールアドレス　wajima.konchuclub@gmail.com<br />　●参加者全員の名前<br />　●参加者全員の年齢<br />　●電話番号<br />をお知らせ下さい。<br />※締め切り4月13日木曜日　定員になり次第閉め切ります。<br /><br />この活動はセブン-イレブン記念財団の助成を受けています。,輪島親子昆虫クラブhttp://wajima-insect.jimdo.com/,,wajima.konchuclub@gmail.com ,wajima.konchuclub@gmail.com 3日前までにメールください。http://wajima-insect.jimdo.com/,500＋保険代,http://wajima-insect.jimdo.com/,,evt58f05864223,2017/04/15 14:50:31,motoguchi_evt.csv,reisiu
,2017/04/17,国際交流,10:00:00,10:30:00,珠洲市子育て支援センター・児童館,,乳幼児とその保護者,持ち物：飲み物、汗拭き用タオル ☆ネイティブの国際交流員による外国の文化紹介や歌、絵本の読み聞かせなどがあります。 ☆直接遊びに来てね！,珠洲市子育て支援センター,0768-82-5479,,,0,,,evt58ef87bc503,2017/04/15 14:50:31,suzuki_evt.csv,reisiu
11,2017/04/17,のとノットアローン大開発デー！,10:00:00,12:00:00,,コンセールのと　２階和室,子育て中の方（地区問わず） 自治体関係者の方（地区問わず） のとノットアローンに興味のある方, ついにやってきた！「のとノットアローン」大開発デーです！ この日、なんとNNAのイベント画面がバージョンアップされます！  「のとノットアローン」がもっと楽しく使いやすくなっていくように、参加してみませんか？初めての方も、親子で来ても、一人できても、どなたでも楽しいですよ～！手遊びタイムやお茶タイムもあります✨子どもさんの見守りサポートも手配中です。 　内容：（変更の可能性もあります） ・みらいセンタースタッフによる手遊びタイム♪ ・そもそも「のとノットアローン」てなぁに？をご紹介。 ・「イベント」画面の大更新の発表！ ・どうやって入力するの？アカウント登録のご説明。 ・「子育て相談」ってどんな風になったらよくなるか？意見交換。 ・のとノットアローンみたいな活動は他にも？世界中の最新情報についてもご紹介！ ・お子さんたちは見守りサポーターと遊んだりできる予定です。申し込み： 不要ですが、大体の人数知りたいので、もしこようかな？って方はイベントの「参加」をポチしてもらえたら嬉しいです！ 　 １２時以降は・・☆ 運営メンバーでのランチタイムを予定しています！今後運営に関わりたい方はこの日にぜひ一緒にランチもご一緒してくださいね！準備の都合上、あらかじめご連絡頂けると幸いです。 　,のとノットアローン大開発デー実行委員会,,nna@codeforkanazawa.org,一般社団法人コード・フォー・カナザワ　プロジェクトNNA！ ,0,,能登町,evt58ef876c965,2017/04/15 14:50:31,reisiu_evt_notofairy.csv,reisiu
198,2017/04/18,児童館であそぼう,10:00:00,12:00:00,穴水町児童館,,乳幼児と保護者,子育てサポーターが幼児の遊びをサポートします,穴水町,0768-52-3220,,穴水町児童館,0,,,evt58ef78c6535,2017/04/15 14:50:31,anamizuh28_evt.csv,reisiu
,2017/04/19,保育所開放日,09:00:00,11:00:00,null,,乳幼児とその保護者,◎市内各保育所の開放日ご利用ください。毎月第１・３水曜日です。,珠洲市子育て支援センター,0768-82-5479,,,0,,suzu_pink,evt58ef87a0182,2017/04/15 14:50:31,suzuki_evt.csv,reisiu
,2017/04/19,子育て相談,10:00:00,11:00:00,珠洲市役所市民ふれあいの里　健康増進センター,,,子育て相談,珠洲市子育て支援センター,0768-82-5479,,,0,,,evt58ef87c3686,2017/04/15 14:50:31,suzuki_evt.csv,reisiu
,2017/04/19,輪島市乳幼児健康相談,10:00:00,11:30:00,null,,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,,,0,,,evt58ef885f108,2017/04/15 14:50:31,takese_evt_0406.csv,reisiu
195,2017/04/19,児童ダンスクラブ,15:30:00,16:30:00,穴水町児童館,２階多目的ホール,小学生,仲間とダンスの練習,穴水町,0768-52-3220,,穴水町児童館,0,,,evt58ef78e8444,2017/04/15 14:50:31,anamizuh28_evt.csv,reisiu
,2017/04/20,1歳6ヶ月検診,13:15:00,14:00:00,珠洲市役所市民ふれあいの里　健康増進センター,,１歳６か月～１歳８か月頃のこどもとその保護者,持ち物　お知らせ票・母子手帳◎個人通知あり○内容　身体計測、診察、歯科健診、フッ素塗布、ブラッシング指導、保健相談、栄養相談、発達相談,珠洲市子育て支援センター,0768-82-5479,,,0,,,evt58ef87d3437,2017/04/15 14:50:31,suzuki_evt.csv,reisiu
,2017/04/20,絵本にふれよう,10:00:00,10:30:00,null,,乳幼児とその保護者,図書館司書による新刊や手遊びの紹介・絵本の読み聞かせをします。,珠洲市子育て支援センター,0768-82-5479,,,0,,suzu_pink,evt58ef87cc388,2017/04/15 14:50:31,suzuki_evt.csv,reisiu
3,2017/04/20,育児サークル　すまいりんはぐ,10:30:00,12:00:00,珠洲市総合病院,２階　スマイルルーム,乳幼児とそのお母さん　どなたでも,お母さんのおしゃべりの場です　助産師・看護師も参加します,育児サークル　すまいるはぐ,0768(82)6652 ,,珠洲市総合病院2F東病棟,0,,,evt58ef847a411,2017/04/15 14:50:31,matsuda_evt.csv,reisiu
12,2017/04/20,映画「玄牝（げんぴん）」上映会 in 珠洲,13:30:00,15:00:00,null,（珠洲市飯田町12-24),お子さん歓迎です。,能登初上映！ 河瀬直美監督のドキュメンタリー映画「玄牝（げんぴん）」を一緒に観ませんか？  〜いつだって　季節がめぐるように、命はめぐる〜  森の中にある吉村医院には、「自然に子を産みたい」と願う妊婦たちが、全国からやって来る。お産は痛くて苦しいものだと思い続けていた人、初めての出産で経験した医療行為が辛い記憶になってしまった人……。臨月が近づくにつれ、彼女たちはいきいきと輝きはじめる。その様子を見守る家族や助産師の想い、そして、生まれてくる命だけでなく、生まれることなく消えてゆく命とも向き合う吉村先生の葛藤――現代に生きる私たちの強さと脆さ、喜びと悲しみがないまぜとなって、ひとつに結ばれていく。 お産という根源的で本能的な営みを、季節ごとに表情をかえる自然の中で見つめたのは、『萌の朱雀』『殯の森』の河瀨直美。「命とはただひとつで存在するものではなく、連綿と続いてきたもの、そして続いていくもの」と語る監督自らが、16mmフィルム・カメラで撮影した。 http://www.genpin.net/  いのちのこと、生きていることを考えられる映画です。 出産を控えている・考えている方だけでなく、お子さんから年配の方、男性にも観ていただきたいと思います。 ↓  ○○上映会詳細○○  映画：　玄牝（げんぴん）  日時：　4月20日（木） （昼の部） 13:00　開場 13:30~15:00　上映  （夜の部） 18:30　開場 19:00~20:30　上映   場所：　乗光寺（珠洲市飯田町12-24)  料金： 大人前売り　1300円 大人当日　　1500円 中高生　　　1000円 小学生以下　無料 　　　 チケット販売場所： 乗光寺／鉄板でこ／食堂小さなおうち／三崎こうなみ整体院　他  その他： ○軽食・飲み物の出店を予定しています♪何を出すかは追ってお知らせします。 ○映画を観たあとにおしゃべりの時間を設けます。お時間のある方はそちらにもご参加下さい。 ○広間の畳に寝転がったりしながら映画が楽しめます。大型の暖房はありますが、心配な方、より快適に過ごしたい方は、ブランケットなどを持ってお越し下さい。 ○お子さん歓迎です。大泣きしたら一旦外へ出る等、他の方へのご配慮もお願いします。授乳＆おむつ替えスペースもあります。  ご家族・お友達お誘いの上、お越し下さい。もちろんお一人でも大歓迎！ シェアお願いします♪   主催：わかちあい劇場 協力：石川県に新しい学校を創る会　『Earth Field』　　https://www.facebook.com/earth.field.ishikawa/　 https://www.facebook.com/events/611918992333336/,わかちあい劇場,,mojoaaa@gmail.com,,大人前売り　1300円 大人当日　　1500円 中高生　　　1000円 小学生以下　無料,https://www.facebook.com/wakatiai/,suzu_pink,evt58ef8773054,2017/04/15 14:50:31,reisiu_evt_notofairy.csv,reisiu
174,2017/04/20,Mama Cafe,10:30:00,12:30:00,こどもみらいセンター（能登町）,,未就園児とその保護者,みんなでお茶やお喋りしながらリフレッシュ！　要予約・定員10名,こどもみらいセンター（能登町）,0768(62)1503,,,300,,null,evt58ef86d4746,2017/04/15 14:50:31,mirai461_evt_0119.csv,reisiu
186,2017/04/20,4月生まれのお友達・誕生会,09:30:00,11:00:00,穴水町子育て支援センター（平和こども園）,,乳幼児,4月生まれのお友達をみんなで祝ってあげよう。,穴水町,0768-52-2130,,平和こども園,0,,,evt58f022d5679,2017/04/15 14:50:31,anamizuh28_evt.csv,reisiu
,2017/04/21,親子で運動遊び,10:00:00,10:30:00,null,,乳幼児とその保護者,☆親子で運動遊び☆スポーツ推進員といっしょに、親子で楽しく運動遊びをしませんか？持ち物は水分と汗拭き用タオル、申込みは不要です。直接遊びに来て下さい。,珠洲市子育て支援センター,0768-82-5479,,,0,,suzu_pink,evt58ef87da484,2017/04/15 14:50:31,suzuki_evt.csv,reisiu
,2017/04/21,輪島市乳幼児健康相談,10:00:00,11:00:00,町野めばえ子育て支援室,,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,,,0,,,evt58ef8914217,2017/04/15 14:50:31,takese_evt_0406.csv,reisiu
199,2017/04/21,児童館であそぼう,10:00:00,12:00:00,穴水町児童館,,乳幼児と保護者,子育てサポーターが幼児の遊びをサポートします,穴水町,0768-52-3220,,穴水町児童館,0,,,evt58ef78bb679,2017/04/15 14:50:31,anamizuh28_evt.csv,reisiu
,2017/04/22,ハンドベルクラブ,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,クラブ加入者,ハンドベルの練習・披露,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,evt58ef8834888,2017/04/15 14:50:31,takese_evt_0406.csv,reisiu
,2017/04/22,児童館にあつまれ～　ちびっこクッキング,14:00:00,15:00:00,珠洲市子育て支援センター・児童館,,小学生・年長中児と保護者, ☆児童館にあつまれ～！☆＝ちびっこクッキング＝　場 　所：じどうかんのお部屋　内 　容：バナナのパウンドケーキつくり　　対 　象：小学生・年長中児と保護者　　９名　　参加費：１人１００円　　持ち物：飲み物やタオル・エプロン・三角布・取り皿　お持ち帰り容器も持ってきてね！　☆参加ご希望の方は、１８日（火）までに児童館にお申し込み ください。定員になりしだいしめきりです。 ,珠洲市子育て支援センター,0768-82-5479,,,100,,,evt58ef87fb241,2017/04/15 14:50:31,suzuki_evt.csv,reisiu
197,2017/04/22,おはなし会,10:30:00,11:30:00,null,,小学生,絵本・すばなし・紙芝居など。「こぐまグループ」のみなさん,穴水町,,,住吉公民館,0,,,evt58ef78d5597,2017/04/15 14:50:31,anamizuh28_evt.csv,reisiu
,2017/04/23,わじまキッズランド,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,グループ加入者,子どもの町わじまを作ろう,輪島市子育て支援センター・児童センター,,,0768-22-8031,0,,,evt58ef883a826,2017/04/15 14:50:31,takese_evt_0406.csv,reisiu
2,2017/04/23,農家に弟子入り体験！（全12回開催予定）お米の種まきをしよう！,10:00,14:00:00,輪島市町野町金蔵,輪島市町野町金蔵ゲストハウス,親子、大人、どなたでも,にほんの里100選でもある美しい棚田の広がる輪島市町野町金蔵でお米作りをしましょう！<br />自然栽培でお米を作っている金蔵の農家、向さんに弟子入りし、お米の作り方を学びます。今回はお米の種まきです。<br />午後からは昆虫博士たちと一緒に里山を散策します。<br /><br />農業を体験してみたい子、昆虫が大好きな子はもちろん、ちょっと怖いけど里山で遊びたい！という子もぜひご参加ください！<br />小学生から幼稚園児まで様々な年齢の子が一緒に活動しています！<br /><br />【農家に弟子入り体験！1回目（全12回開催予定）お米の種まきをしよう！】<br />🐞日時：４月２３日(日) 10時～14時<br />🐞場所：石川県輪島市町野町金蔵ゲストハウス<br />　　　　https://goo.gl/maps/P6VHsq1msLw<br />🐞参加費：１家族500円（光熱費、材料費等）＋保険代1人150円×人数<br />（2017年度で2回目以降の参加の方は保険代いただきません。）<br />　1家族（大人2名子ども2名）参加の場合<br />　参加費1家族　参加費500円<br />　保険代150円×4名＝600円　合計1100円<br />　ほかの団体で輪島市のボランティア保険に加入されている方は保険代をいただきません。<br />🐞定員：10家族（お子さんのみでの参加はできません。保護者の方と一緒にご参加ください。）<br />🐞講師：農家 向一郎 氏　蛾類研究者 熊谷直哉 氏　水生昆虫研究者 野村進也 氏<br />🐞持ち物：お弁当、水筒、切った野菜、お椀、カトラリー、着替え、雨具、タオル等、スコップ、じょうろ、虫取りしたい子は虫取り網、かごなど<br />🐞服装：長袖・長ズボン(汚れてもよい服)、長靴、帽子<br />🐞スケジュール<br />10:00　集合<br />10:05〜10:20　自己紹介・説明・注意事項・野菜を集めます。<br />10:20〜12:00　お米の種まき<br />12:00　お昼　持ち寄った野菜で作ったスープを食べます。<br />12:30〜14:00　里山散策<br />※雨天決行です。<br />雨がひどい場合はタープを張って外で行い、昼食はゲストハウス内で食べます。<br /><br />🐞申し込み<br />Facebookメッセージまたはメールにてお願いいたします。<br />メールアドレス　wajima.konchuclub@gmail.com<br />　●参加者全員の名前<br />　●参加者全員の年齢<br />　●電話番号<br />をお知らせ下さい。<br />※締め切り4月20日木曜日　定員になり次第閉め切ります。<br />この活動は子どもゆめ基金の助成を受けています。,輪島親子昆虫クラブ,,wajima.konchuclub@gmail.com ,wajima.konchuclub@gmail.com 3日前までにメールください。　https://www.facebook.com/wajima.konchuclub/,500,https://www.facebook.com/wajima.konchuclub/,,evt58f059ce510,2017/04/15 14:50:31,motoguchi_evt.csv,reisiu
,2017/04/25,親子ふれあい講座☆フレッシュヨガ☆,10:00:00,11:30:00,null,,乳幼児とその保護者,☆親子ふれあい講座「リフレッシュヨガ」☆＝こころとからだ、元気にさわやかに＝☆　内 　容：親子でヨガを体験しましょう。　講　 師：村上デビ　氏　　対 　象：乳幼児とその保護者　１５組　持ち物：飲み物・バスタオル・フェイスタオル　ヨガマット（お持ちでない方はバスタオル２枚） 　　服　装：動きやすい・運動しやすい服装（ジーンズなどは不可）☆参加ご希望の方は、１０日（月）までに 子育て支援センターにお申し込みください。,珠洲市子育て支援センター,0768-82-5479,,,0,,suzu_pink,evt58ef87e0059,2017/04/15 14:50:31,suzuki_evt.csv,reisiu
200,2017/04/25,児童館であそぼう,10:00:00,12:00:00,穴水町児童館,,乳幼児と保護者,子育てサポーターが幼児の遊びをサポートします,穴水町,0768-52-3220,,穴水町児童館,0,,,evt58ef78ae160,2017/04/15 14:50:31,anamizuh28_evt.csv,reisiu
203,2017/04/25,あかちゃんおはなし会,10:30:00,11:30:00,null,プルート２階,乳幼児,あかちゃんおはなし会,穴水町,0768-52-2952,,穴水町図書館,0,,,evt58ef788f300,2017/04/15 14:50:31,anamizuh28_evt.csv,reisiu
,2017/04/26,6・7ヶ月相談,10:00:00,11:00:00,珠洲市役所市民ふれあいの里　健康増進センター,,6・7ヶ月の子どもとその保護者,持ち物　お知らせ票・母子手帳◎個人通知あり○内容　発達・育児・離乳について、むし歯予防・親子遊び、子育て支援センターの紹介、身体計測、個別相談,珠洲市子育て支援センター,0768-82-5479,,,0,,,evt58ef87e7963,2017/04/15 14:50:31,suzuki_evt.csv,reisiu
,2017/04/28,4月生まれのお友達 お誕生会,10:00:00,10:30:00,珠洲市子育て支援センター・児童館,,乳幼児とその保護者,その月のお誕生日のお友だちのお祝いをします。,珠洲市子育て支援センター,0768-82-5479,,,0,,,evt58ef87ed615,2017/04/15 14:50:31,suzuki_evt.csv,reisiu
,2017/04/28,輪島市おやこ子育て広場・のびのび広場,10:00:00,11:30:00,null,,4～6か月児,離乳食の調理実習＆発達や生活リズムなどのお話,輪島市健康推進課,0768-23-1136,,,0,,,evt58ef8968550,2017/04/15 14:50:31,takese_evt_0406.csv,reisiu
175,2017/04/28,身体計測＆手遊び,10:30:00,11:30:00,こどもみらいセンター（能登町）,,未就園児とその保護者,身体計測をします。母子手帳を持参下さい。終了後は手遊びがあります。,未就園児とその保護者,0768(62)1503,,,0,,null,evt58ef86dd317,2017/04/15 14:50:31,mirai461_evt_0119.csv,reisiu
201,2017/04/28,児童館であそぼう,10:00:00,12:00:00,穴水町児童館,,乳幼児と保護者,子育てサポーターが幼児の遊びをサポートします,穴水町,0768-52-3220,,穴水町児童館,0,,,evt58ef78a2772,2017/04/15 14:50:31,anamizuh28_evt.csv,reisiu
,2017/04/30,こいのぼりを作ろう！,10:00:00,12:00:00,輪島市子育て支援センター・児童センター,,小学生２０名※要申込,一緒にこいのぼりを作りましょう♪,輪島市子育て支援センター・児童センター,0768-22-8031,,,0,,,evt58ef8850486,2017/04/15 14:50:31,takese_evt_0406.csv,reisiu
176,2017/04/30,こども食堂「みんなで昼食作り」,10:00:00,13:00:00,こどもみらいセンター（能登町）,,未就園児とその保護者,皆でお昼ごはんを作って食べましょう！食べた後は一緒に遊ぼうね★持ち物：エプロン・三角巾・マスク　定員：１０名,こどもみらいセンター（能登町）,0768(62)1503,,,100,,null,evt58ef86e5770,2017/04/15 14:50:31,mirai461_evt_0119.csv,reisiu
