no,eventtitle,where,whom,what,who,contact,fee,when,openTime,closeTime,tag1,url,timestamp,soucefile,totaluser
,ママぴよタイム,珠洲市子育て支援センター・児童館,乳幼児とその保護者,☆ママぴよタイム 作ってみよう・遊んでみよう☆今月はクラフトです。○内容：「つなげて遊ぼう」簡単に作れる布おもちゃ○持 ち 物：飲み物☆参加ご希望の方は、１０日（金）までに子育て支援センターにお申し込みください。,珠洲市子育て支援センター,0768-82-5479,0,2016/06/14,10:00:00,11:00:00,,,2016/06/29 15:53:19,reisiu.csv,reisiu
,保育所開放日,市内各保育所,乳幼児とその保護者,◎市内各保育所の開放日ご利用ください。毎月第１・３水曜日です。今月の開放日は、1日・１５日です。,珠洲市子育て支援センター,0768-82-5479,0,2016/06/15,09:00:00,11:00:00,suzu_pink,,2016/06/29 15:53:19,reisiu.csv,reisiu
,暑中見舞いボランティア,輪島市子育て支援センター・児童センター,どなたでも,輪島市内１人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/15,09:30:00,11:30:00,,,2016/06/29 15:53:19,takese_0530.csv,reisiu
,栄養保健相談,珠洲市役所市民ふれあいの里　健康増進センター,乳幼児とその保護者,身長・体重計測、保健師と栄養士が育児に関する相談に応じてくれます。,珠洲市子育て支援センター,0768-82-5479,0,2016/06/15,10:00:00,11:00:00,,,2016/06/29 15:53:19,reisiu.csv,reisiu
3,輪島市乳幼児健康相談,輪島市子育て支援センター・児童センター,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/06/15,10:00:00,11:30:00,,,2016/06/29 15:53:19,takese_kensui0321.csv,reisiu
,1歳6ヶ月検診,珠洲市役所市民ふれあいの里　健康増進センター,１歳６か月〜１歳８か月頃のこどもとその保護者,持ち物　お知らせ票・母子手帳◎個人通知あり○内容　身体計測、診察、歯科健診、フッ素塗布、ブラッシング指導、保健相談、栄養相談、発達相談,珠洲市子育て支援センター,0768-82-5479,0,2016/06/16,13:15:00,14:00:00,,,2016/06/29 15:53:19,reisiu.csv,reisiu
,うさちゃん広場,輪島市子育て支援センター・児童センター,乳幼児親子,「虫歯予防の歯みがきについて」講師：歯科医師　南　景子さん,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/16,10:30:00,11:30:00,,,2016/06/29 15:53:19,takese_0530.csv,reisiu
,ジュニアスポーツ教室サッカー教室,輪島市もんぜん児童館,小学1～3年,サッカー教室です,輪島市もんぜん児童館,0768-42-3166,0,2016/06/16,15:30:00,16:15:00,,,2016/06/29 15:53:19,takese_0530.csv,reisiu
,ジュニアスポーツ教室サッカー教室,輪島市もんぜん児童館,小学4～6年,サッカー教室です,輪島市もんぜん児童館,0768-42-3166,0,2016/06/16,16:15:00,17:00:00,,,2016/06/29 15:53:19,takese_0530.csv,reisiu
,絵本にふれよう,珠洲市立中央図書館,乳幼児とその保護者,図書館司書による新刊や手遊びの紹介・絵本の読み聞かせをします。,珠洲市子育て支援センター,0768-82-5479,0,2016/06/16,10:00:00,10:30:00,suzu_pink,,2016/06/29 15:53:19,reisiu.csv,reisiu
37,親子で散歩を楽しもう,認定こども園ひばり保育所,未収園児とその保護者,親子で散歩を楽しもう,認定こども園ひばり保育所,0768(62)1502,0,2016/06/16,10:30:00,11:30:00,nototyo_orange,,2016/06/29 15:53:19,mirai461_0119.csv,reisiu
38,からだを動かそう,認定こども園しらさぎ保育所,未収園児とその保護者,からだを動かそう,認定こども園しらさぎ保育所,0768(62)0304,0,2016/06/16,10:30:00,11:30:00,nototyo_orange,,2016/06/29 15:53:19,mirai461_0119.csv,reisiu
39,親子でふれあい遊びをしよう,認定こども園高倉保育所,未収園児とその保護者,親子でふれあい遊びをしよう,認定こども園高倉保育所,0768(62)0670,0,2016/06/16,10:30:00,11:30:00,nototyo_orange,,2016/06/29 15:53:19,mirai461_0119.csv,reisiu
40,遊戯室で遊ぼう,認定こども園上町保育所,未収園児とその保護者,遊戯室で遊ぼう,認定こども園上町保育所,0768(76)0136,0,2016/06/16,10:30:00,11:30:00,nototyo_orange,,2016/06/29 15:53:19,mirai461_0119.csv,reisiu
41,ボールで遊ぼう,認定こども園鵜川保育所,未収園児とその保護者,ボールで遊ぼう,認定こども園鵜川保育所,0768(67)1623,0,2016/06/16,10:30:00,11:30:00,nototyo_orange,,2016/06/29 15:53:19,mirai461_0119.csv,reisiu
,☆親子で運動遊び☆,珠洲健民体育館,乳幼児とその保護者,☆親子で運動遊び☆スポーツ推進員といっしょに、親子で楽しく運動遊びをしませんか？持ち物は水分と汗拭き用タオル、申込みは不要です。直接遊びに来て下さいね！,珠洲市子育て支援センター,0768-82-5479,0,2016/06/17,10:00:00,10:30:00,,,2016/06/29 15:53:19,reisiu.csv,reisiu
27,輪島市乳幼児健康相談,町野めばえ子育て支援室,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/06/17,10:00:00,11:00:00,,,2016/06/29 15:53:19,takese_kensui0321.csv,reisiu
30,幼児安全法～熱中症の予防と対策について～,こどもみらいセンター（能登町）,未就園児とその保護者,熱中症について正しい知識を身につけ、体調の変化に気をつけるとともに、周囲にも気を配り熱中症による健康被害を防ぎましょう！,こどもみらいセンター（能登町）,0768(62)1503,0,2016/06/17,10:30:00,11:30:00,,,2016/06/29 15:53:19,mirai461_0119.csv,reisiu
,「小学生あつまれ〜!」,珠洲市子育て支援センター・児童館,小学生,☆児童館にあつまれ〜！☆場所：じどうかんのお部屋○内容：１８日はキーホルダー作り（お父さんへプレゼントにいかが？）○対象：小学生6名○持 ち 物：必要なら飲み物やタオル☆参加ご希望の方はその週の木曜日までに児童館へお申込み下さい。（申込み順に受付となります。）☆遊びに来てね！！,珠洲市子育て支援センター,0768-82-5479,0,2016/06/18,14:00:00,15:00:00,,,2016/06/29 15:53:19,reisiu.csv,reisiu
,手話であ・そ・ぼ,輪島市子育て支援センター・児童センター,グループ加入者,手話の披露・練習,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/18,14:00:00,16:00:00,,,2016/06/29 15:53:19,takese_0530.csv,reisiu
,暑中見舞いボランティア,ふれあい健康センター２階ボランティアルーム,小学生～大人,市内75歳以上の一人暮らしの方へ送る暑中見舞いハガキを作ります！出入りは自由ですのでぜひご参加ください。,輪島市子育て支援センター・児童センター、輪島市ボランティアセンター,0768-22-8031,0,2016/06/19,10:00:00,15:00:00,,,2016/06/29 15:53:19,takese_0530.csv,reisiu
28,育児用品フリーマーケット,こどもみらいセンター（能登町）,どなたでも,資源の有効活用と育児費用の軽減を図るため「育児用品フリーマーケット」を開催します。出店者も募集中！出店を希望される方はみらいセンターまで問い合わせ下さい。,こどもみらいセンター（能登町）,0768(62)1503,0,2016/06/19,10:00:00,11:30:00,,,2016/06/29 15:53:19,mirai461_0119.csv,reisiu
,国際交流,珠洲市子育て支援センター・児童館,乳幼児とその保護者,国際交流員による外国のことばや絵本の紹介及び文化交流をします。,珠洲市子育て支援センター,0768-82-5479,0,2016/06/20,10:00:00,10:30:00,,,2016/06/29 15:53:19,reisiu.csv,reisiu
,うさちゃん広場,輪島市子育て支援センター・児童センター,乳幼児親子,「ベビーマッサージ」　要予約　持ち物：タオル・バスタオル　材料費：300円,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/21,10:30:00,11:30:00,,,2016/06/29 15:53:19,takese_0530.csv,reisiu
19,ママのホッとティータイム,穴水町児童館,乳幼児,子育てママが抱える様々な思いを自由に話し、仲間の話に耳を傾けホッと一息するママのための場所です。,穴水町,穴水町児童館（0768-52-3220）,0,2016/06/21,10:00:00,11:30:00,,,2016/06/29 15:53:19,anamizuh28.csv,reisiu
,6・7ヶ月相談,珠洲市役所市民ふれあいの里　健康増進センター,6・7ヶ月の子どもとその保護者,持ち物　お知らせ票・母子手帳◎個人通知あり○内容　発達・育児・離乳について、むし歯予防・親子遊び、子育て支援センターの紹介、身体計測、個別相談,珠洲市子育て支援センター,0768-82-5479,0,2016/06/22,10:00:00,11:00:00,,,2016/06/29 15:53:19,reisiu.csv,reisiu
,ママとベビーの英会話,珠洲市子育て支援センター・児童館,乳幼児とその保護者,☆Ｅ・Ｆ・Ｇ 〜ママとベビーの英会話〜☆絵本の読み聞かせ、日常会話、手遊びなどを通して、楽しく英語にふれませんか？日時は毎月第１・４水曜日１０：００〜１０：４です。今月は１日と２２日です。ご自由にご参加ください(^_^)/,珠洲市子育て支援センター,0768-82-5479,0,2016/06/22,10:00:00,10:45:00,,,2016/06/29 15:53:19,reisiu.csv,reisiu
,暑中見舞いボランティア,輪島市子育て支援センター・児童センター,どなたでも,輪島市内１人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/22,09:30:00,11:30:00,,,2016/06/29 15:53:19,takese_0530.csv,reisiu
,うさちゃん広場,輪島市子育て支援センター・児童センター,乳幼児親子,「お話し会」3～5歳　10：30～　　0～2歳　11時～　講師：中橋　範子さん,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/23,10:30:00,11:30:00,,,2016/06/29 15:53:19,takese_0530.csv,reisiu
31,身体計測・手袋シアター,こどもみらいセンター（能登町）,未就園児とその保護者,身体計測をします。計測後に手袋シアターも行います！母子手帳を持参下さい。,こどもみらいセンター（能登町）,0768(62)1503,0,2016/06/24,10:30:00,11:30:00,,,2016/06/29 15:53:19,mirai461_0119.csv,reisiu
44,輪島市おやこ子育て広場・ぱくぱく広場,輪島市子育て支援センター・児童センター,1才～1才6か月児,離乳食バイキング＆発達やことばを育む関わりについてのお話,輪島市健康推進課,0768-23-1136,0,2016/06/24,10:00:00,11:30:00,,,2016/06/29 15:53:19,takese_kensui0321.csv,reisiu
,「小学生あつまれ〜!」,珠洲市子育て支援センター・児童館,小学生,☆児童館にあつまれ〜！☆場所：じどうかんのお部屋○内容：２５日はポンポンマスコット作り○対象：小学生6名○持 ち 物：必要なら飲み物やタオル☆参加ご希望の方はその週の木曜日までに児童館へお申込み下さい。（申込み順に受付となります。）☆遊びに来てね！！,珠洲市子育て支援センター,0768-82-5479,0,2016/06/25,14:00:00,15:00:00,,,2016/06/29 15:53:19,reisiu.csv,reisiu
,よさこいキッズ教室,珠洲市子育て支援センター・児童館,乳幼児とその保護者・小学生,音楽に合わせて楽しく体を動かしましょう。,珠洲市子育て支援センター,0768-82-5479,0,2016/06/25,15:30:00,16:00:00,,,2016/06/29 15:53:19,reisiu.csv,reisiu
,わじまキッズランド,輪島市子育て支援センター・児童センター,グループ加入者,子どもの町わじまを作ろう,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/26,10:00:00,12:00:00,,,2016/06/29 15:53:19,takese_0530.csv,reisiu
,クラフト工房で働こう～おしごと体験企画・第１回～,輪島市子育て支援センター・児童センター,小学生20人　要予約,今回のクラフト工房は「カラフルタイル」を使って、キッズ朝市で販売するかわいい小物を作ります。お給料はわん（模擬通貨）で通帳に入金されます。,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/26,13:30:00,15:30:00,,,2016/06/29 15:53:19,takese_0530.csv,reisiu
,うさちゃん広場,輪島市子育て支援センター・児童センター,乳幼児親子,「キラキラ笹飾りを作ろう」,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/28,10:30:00,11:30:00,,,2016/06/29 15:53:19,takese_0530.csv,reisiu
33,七夕製作と飾り付け,こどもみらいセンター（能登町）,どなたでも,七夕の短冊や飾りを作ります。7月7日まで随時受け付けしています。,こどもみらいセンター（能登町）,0768(62)1503,0,2016/06/28,09:15:00,17:30:00,,,2016/06/29 15:53:19,mirai461_0119.csv,reisiu
,ドッジビー大会,輪島市もんぜん児童館,小学生,放課後ドッジビーで燃えよう！,もんぜん児童館,0768-42-3166,0,2016/06/29,16:00:00,17:00:00,,,2016/06/29 15:53:19,takese_0530.csv,reisiu
,暑中見舞いボランティア,輪島市子育て支援センター・児童センター,どなたでも,輪島市内１人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/29,09:30:00,11:30:00,,,2016/06/29 15:53:19,takese_0530.csv,reisiu
,うさちゃん広場,輪島市子育て支援センター・児童センター,乳幼児親子,「6月うまれたんじょう会」「親子体操」講師：田辺　明美さん　協力：太陽の子クラブ,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/06/30,10:30:00,11:30:00,,,2016/06/29 15:53:19,takese_0530.csv,reisiu
32,ふれあい遊び～ベビーサインを使って遊ぼう！～,こどもみらいセンター（能登町）,未就園児とその保護者,ベビーサインを使いながら歌ったり、お子さんと触れ合いながら遊びます♪,こどもみらいセンター（能登町）,0768(62)1503,0,2016/06/30,10:30:00,11:30:00,,,2016/06/29 15:53:19,mirai461_0119.csv,reisiu
