no,eventtitle,where,place,whom,what,who,contact,fee,when,openTime,closeTime,tag1,url,timestamp,soucefile,totaluser
7,香りのワークショップby niji hana oto,飯田町１３−２９−１,小さなおうちのルスバン喫茶＆整体 （駐車は乗光寺をご利用ください）,どなたでも,お肌がカサカサしがちなこの季節 小さなおうちのルスバン喫茶＆整体では、２月５日と２６日にい〜い香りのワークショップを開催します。10時〜12時、13時〜15時　 お好きな時間でご予約ください♪●料金●　お茶がつきます 各900円 一家族２つ目から850円（いくつ作ってもOK） 能登の素材を使い、環境や身体に優しい石鹸などを作っているniji hana otoさんに教わります。 好きな香りをブレンド・・・自分が求める香りってどんな香り？家族や友だちでそれぞれ作った香りを比べるのも楽しいですね♪ 温かいお茶を飲みながら、わいわい作りましょう。お子さん大歓迎（畳です）！,小さなおうちのルスバン喫茶＆整体,080-6354-9793（やえがしさやか） メッセージでも受け付けができます。,900,2017/02/05,10:00:00,15:00:00,suzu_pink,,2017/02/27 17:04:46,reisiu_notofairy.csv,reisiu
,たんぽぽ読み聞かせ,珠洲市子育て支援センター・児童館,,乳幼児とその保護者,読み聞かせたんぽぽ隊さんが絵本の読み聞かせをしてくださいます。,珠洲市子育て支援センター,0768-82-5479,0,2017/02/07,10:00:00,10:20:00,,,2017/02/27 17:04:46,suzuki.csv,reisiu
23,輪島市乳幼児健康相談,輪島市もんぜん児童館,,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2017/02/07,10:00:00,11:00:00,,,2017/02/27 17:04:46,takese_kensui0321.csv,reisiu
144,児童館であそぼう,穴水町児童館,,乳幼児と保護者,子育てサポーターが幼児の遊びをサポートします,穴水町,穴水町児童館(0768-52-3220),0,2017/02/07,10:00:00,12:00:00,,,2017/02/27 17:04:46,anamizuh28.csv,reisiu
147,子育て教室（親子対象）,穴水町児童館,,乳幼児,「そなえゲーム」体験　講師：ＳＳＧ輪島,穴水町,穴水町児童館(0768-52-3220),0,2017/02/07,10:00:00,11:30:00,,,2017/02/27 17:04:46,anamizuh28.csv,reisiu
,ほっとミーティング,珠洲市役所市民ふれあいの里　健康増進センター,,妊娠中の方・乳幼児をお持ちのママ,◎ほっとミーティングは、別室にてママたちだけの場となります。◎お子様については和室にて託児いたします。（お子様用の水分や替え用のオムツ等お持ちください。）◎当日は、できるだけ午前１０時までにおいでください。◎今月は８日（水）　１０：００～１１：３０ です。＊ご利用の際は、必ず３日（金）までに予約をお願いします。＜予約・問い合わせ＞　　珠洲市健康増進センター（福祉課　健康推進係）　電話　８２－７７４２,珠洲市役所市民ふれあいの里　健康増進センター（福祉課　健康推進係）,0768-82-7742,0,2017/02/08,10:00:00,11:30:00,,,2017/02/27 17:04:46,suzuki.csv,reisiu
142,家庭教育支援講座,穴水町子育て支援センター（平和こども園）,,乳幼児,子どもの心を育てる絵本（講師：細川律子さん）,穴水町,平和こども園　（０７６８）５２－２１３０,0,2017/02/09,09:30:00,11:00:00,,,2017/02/27 17:04:46,anamizuh28.csv,reisiu
147,入所説明会,認定こども園柳田保育所,,未就園児とその保護者,入所説明会をします。在園児と触れ合ったり、保育所内の見学や入所の際の説明をします。,認定こども園柳田保育所,0768(76)0154,0,2017/02/09,10:30:00,11:30:00,baby,,2017/02/27 17:04:46,mirai461_0119.csv,reisiu
150,友達いっぱい,認定こども園しらさぎ保育所,,未就園児とその保護者,２９年度入所説明会を行います。,認定こども園しらさぎ保育所,0768(62)0304,0,2017/02/09,10:30:00,11:30:00,baby,,2017/02/27 17:04:46,mirai461_0119.csv,reisiu
156,小麦粉粘土であそぼう！,こどもみらいセンター（能登町）,,未就園児とその保護者,小麦粉粘土のプニプニした感触を楽しもう！,こどもみらいセンター（能登町）,0768(62)1503,0,2017/02/09,10:30:00,11:30:00,baby,,2017/02/27 17:04:46,mirai461_0119.csv,reisiu
157,Mama　Cafe,こどもみらいセンター（能登町）,,未就園児とその保護者,みんなでお茶やお喋りしながらリフレッシュ！　要予約・定員10名　,こどもみらいセンター（能登町）,0768(62)1503,300,2017/02/09,10:30:00,12:30:00,baby,,2017/02/27 17:04:46,mirai461_0119.csv,reisiu
145,児童館であそぼう,穴水町児童館,,乳幼児と保護者,子育てサポーターが幼児の遊びをサポートします,穴水町,穴水町児童館(0768-52-3220),0,2017/02/10,10:00:00,12:00:00,,,2017/02/27 17:04:46,anamizuh28.csv,reisiu
14,納豆作りと雪遊び,輪島市町野町金蔵,,親子、大人、どなたでも,納豆作りと雪遊び 日時：2月11日(土・祝) 10時30分～14時 場所：輪島市町野町金蔵 集合：参加申し込みの方に詳細をお知らせします。 参加費：１家族1000円(材料費・保険代含む) 定員：10家族 講師：水生昆虫研究者　野村進也 氏 　　 蛾類研究者 熊谷直哉 氏 　　 農家 向一郎 氏 持ち物：エプロン、三角巾、手拭きタオル、切った野菜、弁当、水筒、藁納豆を保温するもの（毛布や発泡スチロールの箱など）、着替え 服装：長袖・長ズボン(汚れてもよい服)、積雪時には雪遊びの服装、長靴、帽子、手袋 内容：藁で納豆作り、雪遊び。（納豆は持ち帰って1日から2日後に完成します。）お昼は持ち寄った野菜でスープを作ります。 ※雨天決行です。  参加希望の方は2月４日(土)までに参加者全員の名前、年齢、電話番号をお知らせ下さい。,輪島親子昆虫クラブhttp://wajima-insect.jimdo.com/,wajima.konchuclub@gmail.com 　,500,2017/02/11,10:30:00,14:00:00,,,2017/02/27 17:04:46,motoguchi.csv,reisiu
153,たこやきパーティー,こどもみらいセンター（能登町）,,未就園児とその保護者,皆でワイワイたこ焼きを作って食べます！定員１０名　要申込,こどもみらいセンター（能登町）,0768(62)1503,200,2017/02/11,10:00:00,12:00:00,child,,2017/02/27 17:04:46,mirai461_0119.csv,reisiu
154,バレンタイン製作～メッセージカードを作ろう～,こどもみらいセンター（能登町）,,未就園児とその保護者,バレンタインに向けてメッセージカードとチョコレートを入れる箱を作ります♪定員１０名　要申込,こどもみらいセンター（能登町）,0768(62)1503,100,2017/02/11,10:00:00,11:30:00,child,,2017/02/27 17:04:46,mirai461_0119.csv,reisiu
159,ママリフレッシュ～セラピストによるマッサージ体験～,こどもみらいセンター（能登町）,,未就園児とその保護者,お子さんを遊ばせながらセラピストによるマッサージを受けれます。日ごろの疲れをリセットしましょう＾＾　＊要申込 講師：室峰利恵先生,こどもみらいセンター（能登町）,0768(62)1503,0,2017/02/11,10:30:00,11:30:00,baby,,2017/02/27 17:04:46,mirai461_0119.csv,reisiu
,うちの父ちゃん出番です！「いざ！という時の男メシ」,輪島市子育て支援センター・児童センター,,乳児・小学生親子２０名※小学生は子どものみでも可　要申込,防災についてみんなでお勉強しよう！持ち物エプロン、三角巾、手拭きタオル,輪島市子育て支援センター・児童センター,0168-22-8031,0,2017/02/12,10:00:00,13:00:00,,,2017/02/27 17:04:46,takese_0130.csv,reisiu
,バレンタインチョコ作り,輪島市もんぜん児童館,,,バレンタインの手作りチョコを作ってみよう♪定員１０名　申込締め切り2/3持ち物：エプロン、三角巾、手拭き,輪島市もんぜん児童館,0768-42-3166,200,2017/02/12,09:30:00,12:00:00,,,2017/02/27 17:04:46,takese_0130.csv,reisiu
14,すくすく相談,穴水町保健センター,,乳幼児,赤ちゃんの成長・発達をお母さんと一緒に見ていきます。,穴水町,穴水町健康推進課（0768-52-3589）,0,2017/02/13,10:00:00,11:30:00,,,2017/02/27 17:04:46,anamizuh28.csv,reisiu
,ママぴよタイム～ニンジンケーキ～,珠洲市子育て支援センター・児童館,,乳幼児とその保護者　１0名, ☆ママぴよタイム「おひなさまカードつくり」☆　内容：おひなさまカードつくり　持ち物 ：ウエットティッシュ又はおしぼり　☆参加ご希望の方は９日（木）までに、子育て支援センターにお申し込みください。,珠洲市子育て支援センター,0768-82-5479,0,2017/02/14,10:00:00,11:00:00,,,2017/02/27 17:04:46,suzuki.csv,reisiu
,保育所開放日,市内各保育所,,乳幼児とその保護者,◎市内各保育所の開放日ご利用ください。毎月第１・３水曜日です。,珠洲市子育て支援センター,0768-82-5479,0,2017/02/15,09:00:00,11:00:00,suzu_pink,,2017/02/27 17:04:46,suzuki.csv,reisiu
,子育て相談,珠洲市役所市民ふれあいの里　健康増進センター,,,子育て相談,珠洲市子育て支援センター,0768-82-5479,0,2017/02/15,10:00:00,11:00:00,,,2017/02/27 17:04:46,suzuki.csv,reisiu
11,輪島市乳幼児健康相談,輪島市子育て支援センター・児童センター,,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2017/02/15,10:00:00,11:30:00,,,2017/02/27 17:04:46,takese_kensui0321.csv,reisiu
150,児童ダンスクラブ,穴水町児童館,,小学生,仲間とダンスの練習,穴水町,穴水町児童館(0768-52-3220),0,2017/02/15,15:00:00,16:00:00,,,2017/02/27 17:04:46,anamizuh28.csv,reisiu
,1歳6ヶ月検診,珠洲市役所市民ふれあいの里　健康増進センター,,１歳６か月～１歳８か月頃のこどもとその保護者,持ち物　お知らせ票・母子手帳◎個人通知あり○内容　身体計測、診察、歯科健診、フッ素塗布、ブラッシング指導、保健相談、栄養相談、発達相談,珠洲市子育て支援センター,0768-82-5479,0,2017/02/16,13:15:00,14:00:00,,,2017/02/27 17:04:46,suzuki.csv,reisiu
,うさちゃん広場,輪島市子育て支援センター・児童センター,,乳幼児親子,ボールで遊ぼう♪,輪島市子育て支援センター・児童センター,0768-22-8031,0,2017/02/16,10:30:00,11:30:00,,,2017/02/27 17:04:46,takese_0130.csv,reisiu
,ジュニアスポーツ教室サッカー教室,輪島市もんぜん児童館,,小学1～3年,共催もんぜんスポーツクラブ,輪島市もんぜん児童館,0768-42-3166,0,2017/02/16,15:30:00,16:15:00,,,2017/02/27 17:04:46,takese_0130.csv,reisiu
,ジュニアスポーツ教室サッカー教室,輪島市もんぜん児童館　共催もんぜんスポーツクラブ,,小学4～6年,共催もんぜんスポーツクラブ,輪島市もんぜん児童館,0768-42-3166,0,2017/02/16,16:15:00,17:00:00,,,2017/02/27 17:04:46,takese_0130.csv,reisiu
,絵本にふれよう,珠洲市立中央図書館,,乳幼児とその保護者,図書館司書による新刊や手遊びの紹介・絵本の読み聞かせをします。,珠洲市子育て支援センター,0768-82-5479,0,2017/02/16,10:00:00,10:30:00,suzu_pink,,2017/02/27 17:04:46,suzuki.csv,reisiu
140,2月生まれのお友達・誕生会,穴水町子育て支援センター（平和こども園）,,乳幼児,2月生まれのお友達をみんなで祝ってあげよう。,穴水町,平和こども園　（０７６８）５２－２１３０,0,2017/02/16,09:30:00,11:00:00,,,2017/02/27 17:04:46,anamizuh28.csv,reisiu
148,保育所って楽しいね,認定こども園鵜川保育所,,未就園児とその保護者,入所説明をします。コーナー遊びを楽しんだりもします。,認定こども園鵜川保育所,0768(67)1623,0,2017/02/16,10:30:00,11:30:00,baby,,2017/02/27 17:04:46,mirai461_0119.csv,reisiu
149,リズム遊びを楽しもう,認定こども園ひばり保育所,,未就園児とその保護者,リズム遊びをします。入所説明も行いますので29年度入所の皆さんはお越しください。,認定こども園ひばり保育所,0768(62)1502,0,2017/02/16,10:30:00,11:30:00,baby,,2017/02/27 17:04:46,mirai461_0119.csv,reisiu
151,入所説明会に参加しよう,認定こども園上町保育所,,未就園児とその保護者,入所説明会を行います。,認定こども園上町保育所,0768(76)0136,0,2017/02/16,10:30:00,11:30:00,baby,,2017/02/27 17:04:46,mirai461_0119.csv,reisiu
152,仮入所式にきてね！,認定こども園高倉保育所,,未就園児とその保護者, ２９年度入所説明会を行います。 来てくださいね！,認定こども園高倉保育所,0768(62)0670,0,2017/02/16,10:30:00,11:30:00,baby,,2017/02/27 17:04:46,mirai461_0119.csv,reisiu
34,輪島市乳幼児健康相談,町野めばえ子育て支援室,,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2017/02/17,10:00:00,11:00:00,,,2017/02/27 17:04:46,takese_kensui0321.csv,reisiu
146,児童館であそぼう,穴水町児童館,,乳幼児と保護者,子育てサポーターが幼児の遊びをサポートします,穴水町,穴水町児童館(0768-52-3220),0,2017/02/17,10:00:00,12:00:00,,,2017/02/27 17:04:46,anamizuh28.csv,reisiu
148,親子体操教室,穴水町児童館,,幼児,幼児リトミックダンスとお母さんのリフレッシュダンス,穴水町,穴水町児童館(0768-52-3220),0,2017/02/17,10:30:00,12:00:00,,,2017/02/27 17:04:46,anamizuh28.csv,reisiu
,ハンドベルクラブ,輪島市子育て支援センター・児童センター,,クラブ加入者,ハンドベルの練習・披露,輪島市子育て支援センター・児童センター,0768-22-8031,0,2017/02/18,10:00:00,12:00:00,,,2017/02/27 17:04:46,takese_0130.csv,reisiu
,手話であ・そ・ぼ,輪島市子育て支援センター・児童センター,,グループ加入者,手話の披露・練習,輪島市子育て支援センター・児童センター,0768-22-8031,0,2017/02/18,14:00:00,16:00:00,,,2017/02/27 17:04:46,takese_0130.csv,reisiu
151,児童ダンスクラブ,穴水町児童館,,小学生,仲間とダンスの練習,穴水町,穴水町児童館(0768-52-3220),0,2017/02/18,14:00:00,15:00:00,,,2017/02/27 17:04:46,anamizuh28.csv,reisiu
,わじまキッズランド,輪島市子育て支援センター・児童センター,,グループ加入者,子どもの町わじまを作ろう,輪島市子育て支援センター・児童センター,0768-22-8031,0,2017/02/19,10:00:00,12:00:00,,,2017/02/27 17:04:46,takese_0130.csv,reisiu
6,冬のため池で 生き物を観察しよう！,能登半島里山里海自然学校,（金沢大学能登学舎１F）,親子。未就学児～大人までどなたでも。大人だけの参加もOK♪,人間の子どもたちがお家に帰ってご飯を食べる頃・・里山の生き物たちが動きだします。 　 冬の夜しか見られない生き物たち、活動の様子を見に、里山へ探検に出かけませんか？ 　 みんなで持ち寄った野菜で、カレーを作って食べます。ご飯はこちらで準備します。 持ち物：カレー用に切った野菜、手拭き、懐中電灯、雨具,NPO法人能登半島おらっちゃの里山里海,メール、電話、FaceBookページから https://www.facebook.com/events/1387423754612862/,親子１組 2000,2017/02/19,17:00:00,19:00:00,suzu_pink,,2017/02/27 17:04:46,reisiu_notofairy.csv,reisiu
13,輪島の生き物調べ,一本松公園,,親子、大人、どなたでも, 石休場の生き物調べ 日時：2月19日(日) 10時～14時 場所：輪島市河井町一本松公園 　参加費：１家族500円(保険代含む) 定員：10家族 講師：蛾類研究者 熊谷直哉 氏 持ち物：弁当、水筒、虫採り網、虫かご、昆虫図鑑、筆記用具 服装：長袖・長ズボン(汚れてもよい服)、長靴、帽子 内容：親子毎に野山で見つけた生き物を記録します。見つけた生き物は捕獲または各自のスマホ等のカメラで撮影します。 午後、見つけた生き物の名前を図鑑で調べます。 ※雨天決行です。午後からは輪島公民館で行います。  参加希望の方は2月16日(木)までに参加者全員の名前、年齢、電話番号をお知らせ下さい。   Facebookメッセージまたはメールにてお願いいたします。 wajima.konchuclub@gmail.com,輪島親子昆虫クラブhttp://wajima-insect.jimdo.com/,wajima.konchuclub@gmail.com 3日前までにメールください。http://wajima-insect.jimdo.com/,500,2017/02/19,10:00:00,14:00:00,,,2017/02/27 17:04:46,motoguchi.csv,reisiu
,国際交流,珠洲市子育て支援センター・児童館,,乳幼児とその保護者,持ち物：飲み物、汗拭き用タオル ☆ネイティブの国際交流員による外国の文化紹介や歌、絵本の読み聞かせなどがあります。 ☆直接遊びに来てね！,珠洲市子育て支援センター,0768-82-5479,0,2017/02/20,10:00:00,10:30:00,,,2017/02/27 17:04:46,suzuki.csv,reisiu
,うさちゃん広場,輪島市子育て支援センター・児童センター,,乳幼児親子,親子ふれあい遊び,輪島市子育て支援センター・児童センター,0768-22-8031,0,2017/02/21,10:30:00,11:30:00,,,2017/02/27 17:04:46,takese_0130.csv,reisiu
25,ママのホッとティータイム,穴水町児童館,,乳幼児,子育てママが抱える様々な思いを自由に話し、仲間の話に耳を傾けホッと一息するママのための場所です。,穴水町,穴水町児童館（0768-52-3220）,0,2017/02/21,10:00:00,11:30:00,,,2017/02/27 17:04:46,anamizuh28.csv,reisiu
,6・7ヶ月相談,珠洲市役所市民ふれあいの里　健康増進センター,,6・7ヶ月の子どもとその保護者,持ち物　お知らせ票・母子手帳◎個人通知あり○内容　発達・育児・離乳について、むし歯予防・親子遊び、子育て支援センターの紹介、身体計測、個別相談,珠洲市子育て支援センター,0768-82-5479,0,2017/02/22,10:00:00,11:00:00,,,2017/02/27 17:04:46,suzuki.csv,reisiu
,2月生まれのお友達 お誕生会,珠洲市子育て支援センター・児童館,,乳幼児とその保護者,その月のお誕生日のお友だちのお祝いをします。,珠洲市子育て支援センター,0768-82-5479,0,2017/02/23,10:00:00,10:30:00,,,2017/02/27 17:04:46,suzuki.csv,reisiu
,うさちゃん広場,輪島市子育て支援センター・児童センター,,乳幼児親子,２月生まれのおたんじょう会、親子リトミック講師：久保典子氏　協力：太陽の子クラブ,輪島市子育て支援センター・児童センター,0768-22-8031,0,2017/02/23,10:30:00,11:30:00,,,2017/02/27 17:04:46,takese_0130.csv,reisiu
143,家庭教育支援講座,穴水町子育て支援センター（平和こども園）,,乳幼児,親子で楽しいおかたづけ（講師：朝倉葉子さん）,穴水町,平和こども園　（０７６８）５２－２１３０,0,2017/02/23,09:30:00,11:00:00,,,2017/02/27 17:04:46,anamizuh28.csv,reisiu
43,輪島市おやこ子育て広場・ぐんぐん広場,輪島市子育て支援センター・児童センター,,7～11か月児,離乳食の進め方＆保育士さんに学ぶ遊び方など,輪島市健康推進課,0768-23-1136,0,2017/02/24,10:00:00,11:30:00,,,2017/02/27 17:04:46,takese_kensui0321.csv,reisiu
158,身体計測＆エプロンシアター,こどもみらいセンター（能登町）,,未就園児とその保護者,身体計測をします。計測後はエプロンシアターがあります♪　★母子手帳を持参下さい,こどもみらいセンター（能登町）,0768(62)1503,0,2017/02/24,10:30:00,11:30:00,baby,,2017/02/27 17:04:46,mirai461_0119.csv,reisiu
,「児童館にあつまれ～!」,珠洲市子育て支援センター・児童館,,小学生・年長中児とその保護者　　6名,☆児童館にあつまれ～☆ーおひなさまつくりー　場 　所：じどうかんのお部屋　　内容：おひなさまリースつくり　☆参加ご希望の方は、１７（金）日までに児童館にお申し込み ください。定員になりしだいしめきりです。,珠洲市子育て支援センター,0768-82-5479,0,2017/02/25,14:00:00,15:00:00,,,2017/02/27 17:04:46,suzuki.csv,reisiu
,ひな祭り会,輪島市もんぜん児童館,,どなたでも,女の子の節句をお祝いしよう♪定員１５名　申込締切2/22　持ち物：エプロン、三角巾、手拭き,輪島市もんぜん児童館,0768-42-3166,200,2017/02/25,10:00:00,12:30:00,,,2017/02/27 17:04:46,takese_0130.csv,reisiu
,ハンドベルクラブ,輪島市子育て支援センター・児童センター,,クラブ加入者,ハンドベルの練習・披露,輪島市子育て支援センター・児童センター,0768-22-8031,0,2017/02/25,10:00:00,12:00:00,,,2017/02/27 17:04:46,takese_0130.csv,reisiu
,将棋教室,輪島市子育て支援センター・児童センター,,小学生・中学生・高校生,将棋教室を行います。,輪島市子育て支援センター・児童センター,0768-22-8031,0,2017/02/25,10:00:00,12:00:00,,,2017/02/27 17:04:46,takese_0130.csv,reisiu
152,てづくり教室,穴水町児童館,２階多目的ホール,小学生,かんたんな工作（ひなかざり）,穴水町,穴水町児童館(0768-52-3220),0,2017/02/25,13:30:00,15:00:00,,,2017/02/27 17:04:46,anamizuh28.csv,reisiu
153,おはなし会,穴水町児童館,2階多目的ホール,小学生,絵本・すばなし・紙芝居など。「こぐまグループ」のみなさん,穴水町,児童館,0,2017/02/25,10:00:00,11:00:00,,,2017/02/27 17:04:46,anamizuh28.csv,reisiu
154,ひなまつりのつどい,穴水町児童館,プルート内,お手玉であそぼう,豆まき,穴水町,穴水町児童館(0768-52-3220),0,2017/02/25,11:00:00,11:30:00,,,2017/02/27 17:04:46,anamizuh28.csv,reisiu
,フエルトのマスコット作り,輪島市子育て支援センター・児童センター,,小学生２０人※要申込,フエルトでマスコットを作ります。講師：池坂幸枝氏,輪島市子育て支援センター・児童センター,0768-22-8031,200,2017/02/26,10:00:00,12:00:00,,,2017/02/27 17:04:46,takese_0130.csv,reisiu
8,香りのワークショップby niji hana oto,飯田町１３−２９−１,小さなおうちのルスバン喫茶＆整体 （駐車は乗光寺をご利用ください）,どなたでも,お肌がカサカサしがちなこの季節 小さなおうちのルスバン喫茶＆整体では、２月５日と２６日にい〜い香りのワークショップを開催します。10時〜12時、13時〜15時　 お好きな時間でご予約ください♪●料金●　お茶がつきます 各900円 一家族２つ目から850円（いくつ作ってもOK） 能登の素材を使い、環境や身体に優しい石鹸などを作っているniji hana otoさんに教わります。 好きな香りをブレンド・・・自分が求める香りってどんな香り？家族や友だちでそれぞれ作った香りを比べるのも楽しいですね♪ 温かいお茶を飲みながら、わいわい作りましょう。お子さん大歓迎（畳です）！,小さなおうちのルスバン喫茶＆整体,080-6354-9793（やえがしさやか） メッセージでも受け付けができます。,900,2017/02/26,10:00:00,15:00:00,suzu_pink,,2017/02/27 17:04:46,reisiu_notofairy.csv,reisiu
15,親子で安心安全な能登の味噌づくり,輪島市ふれあい健康センター,,大人、親子（託児はありません。）,2月26日（日） 親子で安心安全な能登のみそ作り 場所：輪島市ふれあい健康センター 3階13時自己紹介、説明 13時20分 みそ作り 15時30分片付け 16時 終了 1口2000円（材料代 青大豆1㎏、麹、能登海洋深層水、唐辛子 含） 定員20名 持ち物 エプロン、三角きん、手拭きタオル、容器（１口あたり４．５ｌ） 塩（1口あたり５００ｇ） 無農薬、無化学肥料の青大豆と麹、能登海洋深層水で味噌は3～4キロできます。　,輪島風の子グループ,kazenoko.wajima@gmail.com 　2月10日までにお申し込みください。,2000,2017/02/26,13:00:00,16:00:00,,,2017/02/27 17:04:46,motoguchi.csv,reisiu
,うさちゃん広場,輪島市子育て支援センター・児童センター,,乳幼児親子,ひな祭りを行います！,輪島市子育て支援センター・児童センター,0768-22-8031,0,2017/02/28,10:30:00,11:30:00,,,2017/02/27 17:04:46,takese_0130.csv,reisiu
,親子ふれあい講座☆歌とお話の会☆,珠洲市子育て支援センター・ホール,,乳幼児とその保護者,　☆親子ふれあい講座「うたとおはなしの会」☆　講　師：橋本伸子氏　坪野節子氏　柳澤咲子氏　内　容：ピアノのメロディに合わせて語られるお話と歌の会　☆参加ご希望の方は、２４日（金）までに子育て支援センターにお申し込みください。,珠洲市子育て支援センター,0768-82-5479,0,2017/02/28,10:00:00,11:30:00,suzu_pink,,2017/02/27 17:04:46,suzuki.csv,reisiu
155,あかちゃんおはなし会,穴水町図書館,図書館,乳幼児,あかちゃんおはなし会,穴水町,プルート,0,2017/02/28,10:30:00,11:30:00,,,2017/02/27 17:04:46,anamizuh28.csv,reisiu
156,ハンドメイド教室,穴水町児童館,,乳幼児,ひな飾り※託児あり（要予約：先着５名）,穴水町,穴水町児童館(0768-52-3220),0,2017/02/28,10:00:00,12:00:00,,,2017/02/27 17:04:46,anamizuh28.csv,reisiu
