no,eventtitle,where,place,whom,what,who,contact,fee,when,openTime,closeTime,tag1,url,timestamp,soucefile,totaluser
86,ニュースポーツを楽しもう,こどもみらいセンター（能登町）,,小学生,ニュースポーツを皆で楽しみましょう♪★要申込,こどもみらいセンター（能登町）,0768(62)1503,0,2016/10/05,15:00:00,16:00:00,child,,2016/10/09 14:31:23,mirai461_0119.csv,reisiu
5,ほっとサロンみらい,輪島市子育て支援センター・児童センター,,妊婦　乳幼児とその保護者,お茶をしたり、おさがりをもらったり、ほっと一息つきましょう。,みらい子育てネット輪島　共催：輪島市子育て支援センター・児童センター,0768-22-8035,無料,2016/10/06,10:30:00,11:15:00,,,2016/10/09 14:31:23,yamagami.csv,reisiu
85,子育て情報交換,穴水町子育て支援センター（平和こども園）,,乳幼児,ママ達と情報交換しましょう,穴水町,平和こども園　（０７６８）５２－２１３０,0,2016/10/06,09:30:00,11:00:00,,,2016/10/09 14:31:23,anamizuh28.csv,reisiu
,ママのためのセラピーアラカルト,珠洲市子育て支援センター・児童館,,乳幼児の保護者１０名,主任児童委員・加藤美紀さんがボランティアでフット・ ハンド・ヘッドのいずれかをマッサージして下さいます。持ち物：飲み物☆参加ご希望の方は、前日までに珠洲市子育て支援センターにお申し込みください。（申込み順の受付となります。）☆対象人数になり次第、締め切らせて頂きます,珠洲市子育て支援センター,0768-82-5479,0,2016/10/07,10:00:00,11:30:00,,,2016/10/09 14:31:23,suzuki.csv,reisiu
,育児サロン　,輪島市もんぜん児童館,,どなたでも,親子体操,輪島市もんぜん児童館,0768-42-3166,0,2016/10/07,10:30:00,11:00:00,,,2016/10/09 14:31:23,takese_0930.csv,reisiu
93,児童館であそぼう,穴水町児童館,,乳幼児,子育てサポーターが幼児の遊びをサポートします,穴水町,穴水町児童館(0768-52-3220),0,2016/10/07,10:00:00,12:00:00,,,2016/10/09 14:31:23,anamizuh28.csv,reisiu
,「児童館にあつまれ～!」,珠洲市子育て支援センター・児童館,,小学生・幼児とその保護者,「児童館にあつまれ～!」　場　　所：じどうかんのお部屋　内容：　８日・・ヘアゴム作り→　若干名　持ち物：飲み物やタオル　　◎児童館へ直接申し込んで下さい。人数になりしだい締切りです。遊びに来てね！！,珠洲市子育て支援センター,0768-82-5479,0,2016/10/08,14:00:00,15:00:00,,,2016/10/09 14:31:23,suzuki.csv,reisiu
,キッズ朝市で働こう！～おしごとたいけん企画～,輪島市子育て支援センター・児童センター,,小学生20人　要申込,おしごとたいけん企画の第６弾です！商品の袋詰めやキッズ朝市の準備をします。みんなのアイディアをいかした朝市にして、おそごとたいけんのお客さんに喜んでもらおう！,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/10/08,10:00:00,12:00:00,,,2016/10/09 14:31:23,takese_0930.csv,reisiu
87,こどもクッキング～簡単さつまいもクッキー～,こどもみらいセンター（能登町）,,小学生,誰でも簡単にできる！サツマイモクッキーを作ります♪定員10名・持ち物：エプロン・三角巾・マスク・手ふき★要申込,こどもみらいセンター（能登町）,0768(62)1503,100,2016/10/08,10:00:00,12:00:00,child,,2016/10/09 14:31:23,mirai461_0119.csv,reisiu
94,運動会,認定こども園柳田保育所,,未収園児とその保護者,運動会でお兄さん・お姉さんの競技を見たり、親子でゲームに参加したりできます。,認定こども園柳田保育所,0768(76)0154,0,2016/10/08,09:00:00,12:00:00,baby,,2016/10/09 14:31:23,mirai461_0119.csv,reisiu
102,運動会って楽しいね,認定こども園鵜川保育所,,未収園児とその保護者,楽しい運動会に一緒に参加しましょう！,認定こども園鵜川保育所,0768(67)1623,0,2016/10/08,09:00:00,12:00:00,baby,,2016/10/09 14:31:23,mirai461_0119.csv,reisiu
1,石休場町の生き物調査,輪島市石休場町,,親子、大人、どなたでも,日時：10月9日(日) 10時～14時 場所：輪島市石休場町 集合：10時に８番ラーメン輪島店の横の道 参加費：１家族500円 定員：10名 講師：蛾類研究者 熊谷直哉 氏 持ち物：弁当、水筒、虫採り網、虫かご、昆虫図鑑、筆記用具 服装：長袖・長ズボン(汚れてもよい服)、長靴、帽子 内容：親子毎に野山で見つけた生き物(昆虫はもちろん、植物やキノコなど)を記録します。見つけた生き物は捕獲または各自のスマホ等のカメラで撮影します。 午後、見つけた生き物の名前を図鑑で調べます。 ※雨天決行です。  参加希望の方は10月6日(木)までに参加者全員の名前、年齢、電話番号をお知らせ下さい。 Facebookメッセージまたはメールにてお願いいたします。 wajima.konchuclub@gmail.com,輪島親子昆虫クラブ,wajima.konchuclub@gmail.com 3日前までにメールください。　https://www.facebook.com/wajima.konchuclub/,500,2016/10/09,10:00:00,14:00:00,,,2016/10/09 14:31:23,motoguchi.csv,reisiu
7,森のようちえん,輪島市石休場町,,親子、大人、どなたでも,日時：10月15日(土) 10時～13時 場所：輪島市石休場町 集合：10時に８番ラーメン輪島店の横の道 参加費：１家族500円 定員：10名 対象：親子（お子さんの年齢は問いません）　持ち物：弁当、水筒、切った野菜、雨具　服装：長袖・長ズボン（汚れてもよい服）、長靴、帽子　内容：森で子どもが自由に遊ぶのを見守ります。お昼は持ち寄った野菜でスープを作ります。※雨天決行です。  参加希望の方は10月13日(木)までに参加者全員の名前、年齢、電話番号をお知らせ下さい。 Facebookメッセージまたはメールにてお願いいたします。 wajima.konchuclub@gmail.com,輪島親子昆虫クラブ,wajima.konchuclub@gmail.com 3日前までにメールください。　https://www.facebook.com/wajima.konchuclub/,500,2016/10/09,10:00:00,13:00:00,,,2016/10/09 14:31:23,motoguchi.csv,reisiu
,おしごとたいけん,輪島市子育て支援センター・児童センター,,,おしごとたいけんは小学生対象ですが、幼児も「ちびっこおしごと広場」で作業するとお給料の模擬紙幣が支払われます。その通貨でお買い物やゲームができます。キッズカフェは現金利用もできるので大人のみなさんもご利用ください。,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/10/10,13:00:00,16:30:00,,,2016/10/09 14:31:23,takese_0930.csv,reisiu
,おしごとたいけん,輪島市子育て支援センター・児童センター,,,おしごとたいけんは小学生対象ですが、幼児も「ちびっこおしごと広場」で作業するとお給料の模擬紙幣が支払われます。その通貨でお買い物やゲームができます。キッズカフェは現金利用もできるので大人のみなさんもご利用ください。,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/10/10,9:00:00,12:30:00,,,2016/10/09 14:31:23,takese_0930.csv,reisiu
88,さつまいも掘り＆おもちゃ作り,こどもみらいセンター（能登町）,,未収園児とその保護者,５月に植えたさつまいも！いよいよ収穫です♪簡単にできるおもちゃ作りの紹介もするよ！★要申込,こどもみらいセンター（能登町）,0768(62)1503,0,2016/10/11,10:30:00,11:30:00,baby,,2016/10/09 14:31:23,mirai461_0119.csv,reisiu
,ほっとミーティング,珠洲市役所市民ふれあいの里　健康増進センター,,妊娠中の方・乳幼児をお持ちのママ,☆ほっとミーティング☆　子育て親子関係のことなど、ママたちそれぞれ持っている不安や気がかりについて率直に、安心して打ち明けられるようなおしゃべりタイム、それが「ほっとミーティング」です。◎ほっとミーティングは、別室にてママたちだけの場となります。◎お子様については和室にて託児いたします。（お子様用の水分や替え用のオムツ等お持ちください。）◎当日は、できるだけ午前１０時までにおいで下さい。◎ご利用の際は、7日（金）までに予約をお願いいたします。,珠洲市子育て支援センター,0768-82-5479,0,2016/10/12,10:00:00,11:30:00,,,2016/10/09 14:31:23,suzuki.csv,reisiu
2,どんぐりひろば,輪島市健康ふれあい広場,,乳幼児親子,シャボン玉、風船などを持ってくるので公園で一緒に遊びましょう！自由にご参加ください！,どんぐりクラブ（みらい子育てネット輪島）,どんぐりクラブ,無料,2016/10/12,10:00:00,12:00:00,,,2016/10/09 14:31:23,motoguchi.csv,reisiu
86,わらべ唄遊びを楽しもう,穴水町子育て支援センター（平和こども園）,,乳幼児,わらべ唄遊び,穴水町,平和こども園　（０７６８）５２－２１３０,0,2016/10/13,09:30:00,11:00:00,,,2016/10/09 14:31:23,anamizuh28.csv,reisiu
94,児童館であそぼう,穴水町児童館,,乳幼児,子育てサポーターが幼児の遊びをサポートします,穴水町,穴水町児童館(0768-52-3220),0,2016/10/13,10:00:00,12:00:00,,,2016/10/09 14:31:23,anamizuh28.csv,reisiu
,手話であ・そ・ぼ,輪島市子育て支援センター・児童センター,,グループ加入者,手話の披露・練習,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/10/15,14:00:00,16:00:00,,,2016/10/09 14:31:23,takese_0930.csv,reisiu
,第3回　育児講座「親子ふれあいクッキング」,珠洲市役所市民ふれあいの里　健康増進センター,２階　調理室,対象：市内年中・年長組の幼児とその保護者,☆第３回育児講座　「親子ふれあいクッキング」☆～かざり寿司・秋の香りのすまし汁・りんごの蒸しパン～　 （受付　８：３０～）　　講師：福祉課　管理栄養士　川端　智子☆お申し込みは終了しています。 当日は、気を付けてお越しください。,珠洲市子育て支援センター,0768-82-5479,0,2016/10/15,09:00:00,12:00:00,suzu_pink,,2016/10/09 14:31:23,suzuki.csv,reisiu
1,産後にするべきケア「骨盤底の基礎知識とエクササイズ」,能登町瑞穂公民館,,女性20名,骨盤底の基礎知識のお話を聞いて簡単なエクササイズを行います 限定20名,まるまる育児in能登町,https://m.facebook.com/nozomi.ootaka,3000円~,2016/10/15,10:00:00,12:00:00,能登町,,2016/10/09 14:31:23,nnain.csv,reisiu
,国際交流,珠洲市子育て支援センター・児童館,,乳幼児とその保護者,持ち物：飲み物、汗拭き用タオル ☆ネイティブの国際交流員による外国の文化紹介や歌、絵本の読み聞かせなどがあります。 ☆直接遊びに来てね！,珠洲市子育て支援センター,0768-82-5479,0,2016/10/17,10:00:00,10:30:00,,,2016/10/09 14:31:23,suzuki.csv,reisiu
,うさちゃん広場,輪島市子育て支援センター・児童センター,,乳幼児親子,「親子ふれあい遊び」,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/10/18,10:30:00,11:30:00,,,2016/10/09 14:31:23,takese_0930.csv,reisiu
,りんごがりに行きませんか？,沢野果樹園,,☆りんごがりに行きませんか？　（９：５５までに支援センターにお集まり下さい）　場所：正院町小路１４－５７　沢野果樹園（８２－０８０９）　内容：親子でりんごがり！楽しいひとときを過ごしましょう。参 加 費：　親子でりんご３つ５００円　持ち物：飲み物、長靴、帽子などの暑さ対策　交通手段：各自自家用車☆参加ご希望の方は１４（金）までに、子育て支援センターにお申し込みください。※雨天時は中止です。各自、りんごの購入もできます。,,珠洲市子育て支援センター,0768-82-5479,500,2016/10/18,10:00:00,11:30:00,suzu_pink,,2016/10/09 14:31:23,suzuki.csv,reisiu
21,ママのホッとティータイム,穴水町児童館,,乳幼児,子育てママが抱える様々な思いを自由に話し、仲間の話に耳を傾けホッと一息するママのための場所です。,穴水町,穴水町児童館（0768-52-3220）,0,2016/10/18,10:00:00,11:30:00,,,2016/10/09 14:31:23,anamizuh28.csv,reisiu
89,おやこでクッキー作り,こどもみらいセンター（能登町）,,未収園児とその保護者,お家でも簡単に作れる！お子さんと一緒に作れる！レシピを紹介します！どんなクッキーができるかなぁ～？★要申込　持ち物：エプロン・三角巾,こどもみらいセンター（能登町）,0768(62)1503,100,2016/10/18,10:30:00,11:30:00,baby,,2016/10/09 14:31:23,mirai461_0119.csv,reisiu
,保育所開放日,市内各保育所,,乳幼児とその保護者,◎市内各保育所の開放日ご利用ください。毎月第１・３水曜日です。,珠洲市子育て支援センター,0768-82-5479,0,2016/10/19,09:00:00,11:00:00,suzu_pink,,2016/10/09 14:31:23,suzuki.csv,reisiu
,栄養保健相談,珠洲市役所市民ふれあいの里　健康増進センター,,乳幼児とその保護者,身長・体重計測、保健師と栄養士が育児に関する相談に応じてくれます。,珠洲市子育て支援センター,0768-82-5479,0,2016/10/19,10:00:00,11:00:00,,,2016/10/09 14:31:23,suzuki.csv,reisiu
7,輪島市乳幼児健康相談,輪島市子育て支援センター・児童センター,,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/10/19,10:00:00,11:30:00,,,2016/10/09 14:31:23,takese_kensui0321.csv,reisiu
89,児童ダンスクラブ,穴水町児童館,,小学生,仲間とダンスの練習,穴水町,穴水町児童館(0768-52-3220),0,2016/10/19,15:00:00,16:00:00,,,2016/10/09 14:31:23,anamizuh28.csv,reisiu
,1歳6ヶ月検診,珠洲市役所市民ふれあいの里　健康増進センター,,１歳６か月～１歳８か月頃のこどもとその保護者,持ち物　お知らせ票・母子手帳◎個人通知あり○内容　身体計測、診察、歯科健診、フッ素塗布、ブラッシング指導、保健相談、栄養相談、発達相談,珠洲市子育て支援センター,0768-82-5479,0,2016/10/20,13:15:00,14:00:00,,,2016/10/09 14:31:23,suzuki.csv,reisiu
,うさちゃん広場,輪島市子育て支援センター・児童センター,,乳幼児親子,「子どもの救急と事故の対応について」講師：輪島病院小児科医師　佐藤　啓氏,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/10/20,10:30:00,11:30:00,,,2016/10/09 14:31:23,takese_0930.csv,reisiu
,絵本にふれよう,珠洲市立中央図書館,,乳幼児とその保護者,図書館司書による新刊や手遊びの紹介・絵本の読み聞かせをします。,珠洲市子育て支援センター,0768-82-5479,0,2016/10/20,10:00:00,10:30:00,suzu_pink,,2016/10/09 14:31:23,suzuki.csv,reisiu
84,10月生まれのお友達・誕生会,穴水町子育て支援センター（平和こども園）,,乳幼児,10月生まれのお友達をみんなで祝ってあげよう。,穴水町,平和こども園　（０７６８）５２－２１３０,0,2016/10/20,09:30:00,11:00:00,,,2016/10/09 14:31:23,anamizuh28.csv,reisiu
98,仲良くお散歩,認定こども園しらさぎ保育所,,未収園児とその保護者,園児と一緒にお散歩に出かけましょう♪,認定こども園しらさぎ保育所,0768(62)0304,0,2016/10/20,10:30:00,11:20:00,baby,,2016/10/09 14:31:23,mirai461_0119.csv,reisiu
,親子で運動遊び,珠洲健民体育館,,乳幼児とその保護者,☆親子で運動遊び☆スポーツ推進員といっしょに、親子で楽しく運動遊びをしませんか？場所は今月は健民体育館、持ち物は水分と汗拭き用タオル、申込みは不要です。直接遊びに来て下さいね！,珠洲市子育て支援センター,0768-82-5479,0,2016/10/21,10:00:00,10:30:00,suzu_pink,,2016/10/09 14:31:23,suzuki.csv,reisiu
31,輪島市乳幼児健康相談,町野めばえ子育て支援室,,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/10/21,10:00:00,11:00:00,,,2016/10/09 14:31:23,takese_kensui0321.csv,reisiu
90,ＭａｍａＣａｆｅ,こどもみらいセンター（能登町）,,未収園児とその保護者,皆さんでゆっくりとお茶を飲みながら、子育て中のお母さん同士の交流を楽しみましょう！★要申込　定員10名,こどもみらいセンター（能登町）,0768(62)1503,300,2016/10/21,10:30:00,12:00:00,child,,2016/10/09 14:31:23,mirai461_0119.csv,reisiu
91,ドッチボール大会,こどもみらいセンター（能登町）,,小学生,ドッチボールをして遊ぼう！★要申込　持ち物：内履きズック・汗ふきタオル・お茶又は水,こどもみらいセンター（能登町）,0768(62)1503,0,2016/10/21,14:00:00,15:30:00,child,,2016/10/09 14:31:23,mirai461_0119.csv,reisiu
95,児童館であそぼう,穴水町児童館,,乳幼児,子育てサポーターが幼児の遊びをサポートします,穴水町,穴水町児童館(0768-52-3220),0,2016/10/21,10:00:00,12:00:00,,,2016/10/09 14:31:23,anamizuh28.csv,reisiu
96,親子体操教室,穴水町児童館,,乳幼児,幼児リトミックダンスとお母さんのリフレッシュダンス,穴水町,穴水町児童館(0768-52-3220),0,2016/10/21,10:30:00,12:00:00,,,2016/10/09 14:31:23,anamizuh28.csv,reisiu
,ハンドベルクラブ,輪島市子育て支援センター・児童センター,,クラブ加入者,ハンドベルの練習・披露,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/10/22,10:00:00,12:00:00,,,2016/10/09 14:31:23,takese_0930.csv,reisiu
,将棋教室,輪島市子育て支援センター・児童センター,,小学生・中学生・高校生,将棋教室を行います。,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/10/22,10:00:00,12:00:00,,,2016/10/09 14:31:23,takese_0930.csv,reisiu
6,昆虫標本作製教室,輪島市ふれあい健康センター,,親子、大人、どなたでも,場所：輪島市ふれあい健康センター 3階 和室 (〒928-0001 石川県輪島市河井町2−287−1) 対象：小学3年生程度～大人 (小学2年生以下は保護者同伴) 参加費：4000円(昆虫針、展翅板、展翅テープ、標本用玉針、乾燥剤、防虫剤、標本ラベル、標本用虫、保険料 含む) 定員：5名 講師：熊谷 直哉 氏 (日本昆虫学会、日本鱗翅学会、日本蛾類学会、誘蛾会、石川むしの会、日本野鳥の会 所属) チョウ、ガなどの翅を開く(展翅する)標本の作製教室を行います。 標本の決まり、展翅の基本、道具の使い方を学び、実演見学、後に実践します。 こちらで用意した虫を標本にします。 事前予約制 定員に達し次第、締め切りとさせていただきます。 お申し込みは下記メールアドレスへお願いします。 wajima.konchuclub@gmail.com,輪島親子昆虫クラブ,wajima.konchuclub@gmail.com 3日前までにメールください。　https://www.facebook.com/wajima.konchuclub/,4000,2016/10/22,09:30:00,11:30:00,,,2016/10/09 14:31:23,motoguchi.csv,reisiu
91,てづくり教室,穴水町児童館２階多目的ホール,,小学生,かんたんな工作,穴水町,穴水町児童館(0768-52-3220),0,2016/10/22,13:30:00,15:00:00,,,2016/10/09 14:31:23,anamizuh28.csv,reisiu
92,ハロウィンを楽しもう,こどもみらいセンター（能登町）,,小学生,ハロウィンの工作をした後にゲームもするよ♪★要申込　定員：10名,こどもみらいセンター（能登町）,0768(62)1503,100,2016/10/22,10:00:00,12:00:00,child,,2016/10/09 14:31:23,mirai461_0119.csv,reisiu
,一本松公園で野あそびしよう！,輪島市子育て支援センター・児童センター,,小学生20名　要申込,楽しいゲームや落ち葉のスタンプで工作しましょう！　雨天の場合児童センターになります。※集合９時５０分　一本松公園集合です。　持ち物水筒、帽子、タオル,輪島市子育て支援センター・児童センター,0768-22-8031,100,2016/10/23,10:00:00,12:00:00,,,2016/10/09 14:31:23,takese_0930.csv,reisiu
90,児童ダンスクラブ,穴水町児童館,,小学生,仲間とダンスの練習,穴水町,穴水町児童館(0768-52-3220),0,2016/10/23,10:00:00,11:00:00,,,2016/10/09 14:31:23,anamizuh28.csv,reisiu
,うさちゃん広場,輪島市子育て支援センター・児童センター,,乳幼児親子,「10月うまれたんじょう会」「タッピングタッチ」講師春木　理枝子氏,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/10/25,10:30:00,11:30:00,,,2016/10/09 14:31:23,takese_0930.csv,reisiu
,親子ふれあい講座,珠洲市子育て支援センター・児童館,,乳幼児とその保護者,☆親子ふれあい講座　リフレッシュヨガ☆　講師：村上　デビ　氏　持 ち 物：飲み物・バスタオル・あればヨガマット  ☆参加ご希望の方は、１８日（火）までに 子育て支援センターにお申し込みください。定員になりしだい締切りです。,珠洲市子育て支援センター,0768-82-5479,0,2016/10/25,10:00:00,11:30:00,,,2016/10/09 14:31:23,suzuki.csv,reisiu
97,ハンドメイド教室,穴水町児童館,,乳幼児,簡単な工作をします。※託児あり（要予約）,穴水町,穴水町児童館(0768-52-3220),0,2016/10/25,10:00:00,12:00:00,,,2016/10/09 14:31:23,anamizuh28.csv,reisiu
,10月生まれのお友達 お誕生会,珠洲市子育て支援センター・児童館,,乳幼児とその保護者,その月のお誕生日のお友だちのお祝いをします。,珠洲市子育て支援センター,0768-82-5479,0,2016/10/26,10:00:00,10:30:00,,,2016/10/09 14:31:23,suzuki.csv,reisiu
,うさちゃん広場,輪島市子育て支援センター・児童センター,,乳幼児親子,「ぴょんぴょん運動会」協力：太陽の子クラブ,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/10/27,10:30:00,11:30:00,,,2016/10/09 14:31:23,takese_0930.csv,reisiu
87,子育て情報交換,穴水町子育て支援センター（平和こども園）,,乳幼児,ママ達と情報交換しましょう,穴水町,平和こども園　（０７６８）５２－２１３０,0,2016/10/27,09:30:00,11:00:00,,,2016/10/09 14:31:23,anamizuh28.csv,reisiu
,6・7ヶ月相談,珠洲市役所市民ふれあいの里　健康増進センター,,6・7ヶ月の子どもとその保護者,持ち物　お知らせ票・母子手帳◎個人通知あり○内容　発達・育児・離乳について、むし歯予防・親子遊び、子育て支援センターの紹介、身体計測、個別相談,珠洲市子育て支援センター,0768-82-5479,0,2016/10/28,10:00:00,11:00:00,,,2016/10/09 14:31:23,suzuki.csv,reisiu
38,輪島市おやこ子育て広場・のびのび広場,輪島市子育て支援センター・児童センター,,4～6か月児,離乳食の調理実習＆発達や生活リズムなどのお話,輪島市健康推進課,0768-23-1136,0,2016/10/28,10:00:00,11:30:00,,,2016/10/09 14:31:23,takese_kensui0321.csv,reisiu
93,身体計測・ハロウィンパーティー,こどもみらいセンター（能登町）,,未収園児とその保護者,身体計測をします。計測後にはハロウィンパーティーを楽しみましょう♪　＊母子手帳を持参下さい,こどもみらいセンター（能登町）,0768(62)1503,0,2016/10/28,10:30:00,11:30:00,child,,2016/10/09 14:31:23,mirai461_0119.csv,reisiu
,「児童館にあつまれ～!」,珠洲市子育て支援センター・児童館,,小学生・幼児とその保護者,☆児童館にあつまれ～！☆　場所：じどうかんのお部屋　内容：　かぼちゃのカップケーキつくり→若干名　持 ち 物：飲み物やタオル、エプロン・三角布（又はスカーフ）、取り皿、フォークも持ってきてね！◎児童館へ直接申し込んで下さい。人数になりしだい締切りです。遊びに来てね！！,珠洲市子育て支援センター,0768-82-5479,50,2016/10/29,14:00:00,15:00:00,,,2016/10/09 14:31:23,suzuki.csv,reisiu
103,第２回　モンテッソーリ教育　ワークショップin能登,能登町内（申込時ご案内します）,,どなたでも,家庭でできるモンテッソーリ教育を学びます。（乳幼児編です）講師：国際モンテッソーリ幼児・小学校教師,モンテッソーリスクール　カサデバンビー二,076-205-2270,1500,2016/10/30,10:00:00,11:30:00,baby,,2016/10/09 14:31:23,mirai461_0119.csv,reisiu
