no,eventtitle,where,whom,what,who,contact,fee,when,openTime,closeTime,tag1,url,timestamp,soucefile,totaluser
,栄養保健相談,珠洲市子育て支援センター・児童館,乳幼児とその保護者,身長・体重計測、保健師と栄養士が育児に関する相談に応じてくれます。,珠洲市子育て支援センター,0768-82-5479,0,2016/04/20,10:00:00,11:00:00,,,2016/04/27 20:11:43,reisiu_suzu0403.csv,reisiu
,輪島市乳幼児健康相談,輪島市子育て支援センター・児童センター,乳幼児,身体測定と保健師・栄養士に心配ごとの相談,輪島市健康推進課,0768-23-1136,0,2016/04/20,10:00:00,11:30:00,,,2016/04/27 20:11:43,reisiu_takese0308.csv,reisiu
1,輪島市乳幼児健康相談,輪島市子育て支援センター・児童センター,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/04/20,10:00:00,11:30:00,,,2016/04/27 20:11:43,takese_kensui0321.csv,reisiu
31,児童ダンスクラブ,穴水町児童館,小学生,仲間とダンスの練習,穴水町,児童館,0,2016/04/20,15:00:00,16:00:00,,,2016/04/27 20:11:43,anamizuh28.csv,reisiu
,ジュニアスポーツ教室サッカー教室,輪島市もんぜん児童館,小学1～3年,サッカー教室です,輪島市もんぜん児童館,0768-42-3166,0,2016/04/21,15:30:00,16:15:00,,,2016/04/27 20:11:43,takese_0427.csv,reisiu
,ジュニアスポーツ教室サッカー教室,輪島市もんぜん児童館,小学4～6年,サッカー教室です,輪島市もんぜん児童館,0768-42-3166,0,2016/04/21,16:15:00,17:00:00,,,2016/04/27 20:11:43,takese_0427.csv,reisiu
,絵本にふれよう,珠洲市立中央図書館,乳幼児とその保護者,図書館司書による新刊や手遊びの紹介・絵本の読み聞かせをします。,珠洲市子育て支援センター,0768-82-5479,0,2016/04/21,10:00:00,10:30:00,suzu_pink,,2016/04/27 20:11:43,reisiu_suzu0403.csv,reisiu
9,身体計測と育児相談,こどもみらいセンター（能登町）,未就園児とその保護者,幼児のかかりやすい病気について保健師の方からお話を聞きます,こどもみらいセンター（能登町）,0768(62)1503,0,2016/04/21,10:30:00,11:30:00,,,2016/04/27 20:11:43,mirai461_0119.csv,reisiu
36,4月生まれのお友達・誕生会,穴水町子育て支援センター（平和こども園）,乳幼児,4月生まれのお友達をみんなで祝ってあげよう。,穴水町,平和こども園　（０７６８）５２－２１３０,0,2016/04/21,09:30:00,11:00:00,,,2016/04/27 20:11:43,anamizuh28.csv,reisiu
37,子育て情報交換,穴水町子育て支援センター（平和こども園）,乳幼児,ママ達と情報交換しましょう,穴水町,平和こども園　（０７６８）５２－２１３０,0,2016/04/21,09:30:00,11:00:00,,,2016/04/27 20:11:43,anamizuh28.csv,reisiu
27,児童館であそぼう,穴水町児童館,乳幼児,子育てサポーターが幼児の遊びをサポートします,穴水町,児童館,0,2016/04/22,10:00:00,12:00:00,,,2016/04/27 20:11:43,anamizuh28.csv,reisiu
36,輪島市おやこ子育て広場・のびのび広場,輪島市子育て支援センター・児童センター,4～6か月児,離乳食の調理実習＆発達や生活リズムなどのお話,輪島市健康推進課,0768-23-1136,0,2016/04/22,10:00:00,11:30:00,,,2016/04/27 20:11:43,takese_kensui0321.csv,reisiu
,「小学生あつまれ～!」,珠洲市子育て支援センター・児童館,小学生,「小学生あつまれ～!」　先生やお友だちと楽しくゲームをしたり体を動かして遊びましょう☆　無料のおたのしみ工作もあるかも・・・！？,珠洲市子育て支援センター,0768-82-5479,0,2016/04/23,14:00:00,15:00:00,,,2016/04/27 20:11:43,reisiu_suzu0403.csv,reisiu
,よさこいキッズ教室,珠洲市子育て支援センター・児童館,乳幼児とその保護者・小学生,音楽に合わせて楽しく体を動かしましょう。,珠洲市子育て支援センター,0768-82-5479,0,2016/04/23,15:30:00,16:00:00,,,2016/04/27 20:11:43,reisiu_suzu0403.csv,reisiu
32,児童ダンスクラブ,穴水町児童館,小学生,仲間とダンスの練習,穴水町,児童館,0,2016/04/23,10:00:00,11:00:00,,,2016/04/27 20:11:43,anamizuh28.csv,reisiu
33,おはなし会,穴水町児童館,小学生,絵本・すばなし・紙芝居,穴水町,児童館,0,2016/04/23,10:30:00,11:30:00,,,2016/04/27 20:11:43,anamizuh28.csv,reisiu
34,てづくり教室,穴水町児童館,小学生,絵本・すばなし・紙芝居,穴水町,児童館,0,2016/04/23,10:30:00,11:30:00,,,2016/04/27 20:11:43,anamizuh28.csv,reisiu
,4月生まれのお友達 お誕生会,珠洲市子育て支援センター・児童館,乳幼児とその保護者,その月のお誕生日のお友だちのお祝いをします。,珠洲市子育て支援センター,0768-82-5479,0,2016/04/26,10:00:00,10:30:00,,,2016/04/27 20:11:43,reisiu_suzu0403.csv,reisiu
28,児童館であそぼう,穴水町児童館,乳幼児,子育てサポーターが幼児の遊びをサポートします,穴水町,児童館,0,2016/04/26,10:00:00,12:00:00,,,2016/04/27 20:11:43,anamizuh28.csv,reisiu
,ママとベビーの英会話,珠洲市子育て支援センター・児童館,乳幼児とその保護者,Ｍｏｍ＆Ｂａｂｙ　Ｅｎｇｌｉｓｈ　Ｆｕｎ　Ｇｒｏｕｐ. 絵本の読み聞かせ、日常会話、手遊びなどを通して、楽しく英語にふれませんか？日時は毎月第１・４水曜日の１０：００～１０：４５です。今月は６日・２７日です。ご自由にご参加ください(^_^)/,珠洲市子育て支援センター,0768-82-5479,0,2016/04/27,11:00:00,10:45:00,,,2016/04/27 20:11:43,reisiu_suzu0403.csv,reisiu
10,手袋シアター～どんな色が好き？～,こどもみらいセンター（能登町）,未就園児とその保護者,どんな色が好き？を題材に手袋を使って遊びます。,こどもみらいセンター（能登町）,0768(62)1503,0,2016/04/27,10:30:00,11:30:00,,,2016/04/27 20:11:43,mirai461_0119.csv,reisiu
38,リズム遊びを楽しもう,穴水町子育て支援センター（平和こども園）,乳幼児,親子でリズム遊びをしましょう,穴水町,平和こども園　（０７６８）５２－２１３０,0,2016/04/28,09:30:00,11:00:00,,,2016/04/27 20:11:43,anamizuh28.csv,reisiu
8,春のバス遠足～大谷こいのぼり・塩の資料館にいこう～,こどもみらいセンター（能登町）,小学生,持ち物：お弁当・水筒・おしぼり・おやつ・ゴミ袋　＊要申込です　まつなみキッズセンターと合同で実施します,こどもみらいセンター（能登町）,0768(62)1503,150,2016/04/29,10:00:00,14:30:00,,,2016/04/27 20:11:43,mirai461_0119.csv,reisiu
,ふしぎ!くるくる変身!「カラクリこいのぼりを作ろう!」,輪島市子育て支援センター・児童センター,小学生20名（要申込）,くるくる変身するカラクリこいのぼりを作りましょう♪,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/04/30,10:00:00,12:00:00,,,2016/04/27 20:11:43,takese_0427.csv,reisiu
