no,eventtitle,where,whom,what,who,contact,fee,when,openTime,closeTime,tag1,url,timestamp,soucefile,totaluser
,ママぴよタイム,珠洲市子育て支援センター・児童館,乳幼児とその保護者,☆ママぴよタイム～簡単マフィン作り～☆今月はクッキングです? おうちにあるもので、おやつを作りましょう！　日時：５月１７日（火）１０：００～１１：００　場所：珠洲市子育て支援センター　対象：乳幼児とその保護者　内容：簡単に作れる「マフィン作り」　参加費：親子で５０円　持ち物：お皿とフォーク、飲み物　☆参加ご希望の方は、１６日（月）までに子育て支援センターにお申し込みください。,珠洲市子育て支援センター,0768-82-5479,50,2016/05/17,10:00:00,11:00:00,,,2016/05/30 20:58:02,reisiu_05_06.csv,reisiu
18,ママのホッとティータイム,穴水町児童館,乳幼児,子育てママが抱える様々な思いを自由に話し、仲間の話に耳を傾けホッと一息するママのための場所です。,穴水町,穴水町児童館（0768-52-3220）,0,2016/05/17,10:00:00,11:30:00,,,2016/05/30 20:58:02,anamizuh28.csv,reisiu
30,幼児安全法,こどもみらいセンター（能登町）,未就園児とその保護者,幼児の事故や病気への対応について、日本赤十字社の方からお話を伺います,こどもみらいセンター（能登町）,0768(62)1503,0,2016/05/17,10:30:00,11:30:00,baby,,2016/05/30 20:58:02,mirai461_0119.csv,reisiu
,保育所開放日,市内各保育所,乳幼児とその保護者,☆市内各保育所の開放日もご利用ください☆,珠洲市子育て支援センター,0768-82-5479,0,2016/05/18,09:00:00,11:00:00,suzu_pink,,2016/05/30 20:58:02,reisiu_05_06.csv,reisiu
,暑中見舞いボランティア,輪島市子育て支援センター・児童センター,どなたでも,輪島市内1人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/18,09:30:00,11:30:00,,,2016/05/30 20:58:02,takese_0530.csv,reisiu
,栄養保健相談（健康増進センター）,珠洲市役所市民ふれあいの里　健康増進センター,乳幼児とその保護者,身長・体重計測、保健師と栄養士が育児に関する相談に応じてくれます。,珠洲市子育て支援センター,0768-82-5479,0,2016/05/18,10:00:00,11:00:00,,,2016/05/30 20:58:02,reisiu_05_06.csv,reisiu
2,輪島市乳幼児健康相談,輪島市子育て支援センター・児童センター,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/05/18,10:00:00,11:30:00,,,2016/05/30 20:58:02,takese_kensui0321.csv,reisiu
24,戸外遊び,認定こども園しらさぎ保育所,未就園児とその保護者,みんなでお外で遊びます,認定こども園しらさぎ保育所,0768(62)0304,0,2016/05/18,10:30:00,11:20:00,nototyo_orange,,2016/05/30 20:58:02,mirai461_0119.csv,reisiu
49,児童ダンスクラブ,穴水町児童館,小学生,仲間とダンスの練習,穴水町,穴水町児童館(0768-52-3220),0,2016/05/18,15:30:00,16:30:00,,,2016/05/30 20:58:02,anamizuh28.csv,reisiu
,うさちゃん広場,輪島市子育て支援センター・児童センター,乳幼児親子,親子ふれあいあそび！子育て仲間のみんなと一緒に楽しみませんか?,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/19,10:30:00,11:30:00,,,2016/05/30 20:58:02,takese_0530.csv,reisiu
,三歳児検診,珠洲市役所市民ふれあいの里　健康増進センター,三歳児とその保護者,三歳児検診,珠洲市子育て支援センター,0768-82-5479,0,2016/05/19,13:15:00,16:30:00,,,2016/05/30 20:58:02,reisiu_05_06.csv,reisiu
,絵本にふれよう,珠洲市立中央図書館,乳幼児とその保護者,図書館司書による新刊や手遊びの紹介・絵本の読み聞かせをします。,珠洲市子育て支援センター,0768-82-5479,0,2016/05/19,10:00:00,10:30:00,suzu_pink,,2016/05/30 20:58:02,reisiu_05_06.csv,reisiu
22,みんなでお散歩　楽しいね,認定こども園鵜川保育所,未就園児とその保護者,保育所近辺の散歩を楽しむ,認定こども園鵜川保育所,0768(67)1623,0,2016/05/19,10:00:00,11:30:00,nototyo_orange,,2016/05/30 20:58:02,mirai461_0119.csv,reisiu
23,絵本を見たり園庭で遊んだりしよう,認定こども園ひばり保育園,未就園児とその保護者,絵本を読んだり、天候を見ながら園庭で遊んだりします,認定こども園ひばり保育園,0768(62)1502,0,2016/05/19,10:30:00,11:20:00,nototyo_orange,,2016/05/30 20:58:02,mirai461_0119.csv,reisiu
25,一緒に散歩しよう,認定こども園上町保育所,未就園児とその保護者,みんなと一緒にお散歩をします,認定こども園上町保育所,0768(76)0136,0,2016/05/19,10:30:00,11:30:00,nototyo_orange,,2016/05/30 20:58:02,mirai461_0119.csv,reisiu
26,一緒にお散歩を楽しもう,認定こども園高倉保育所,未就園児とその保護者,みんなで一緒にお散歩をします,認定こども園高倉保育所,0768(62)0670,0,2016/05/19,10:30:00,11:30:00,nototyo_orange,,2016/05/30 20:58:02,mirai461_0119.csv,reisiu
39,子育て情報交換,穴水町子育て支援センター（平和こども園）,乳幼児,ママ達と情報交換しましょう,穴水町,平和こども園　（０７６８）５２－２１３０,0,2016/05/19,09:30:00,11:00:00,,,2016/05/30 20:58:02,anamizuh28.csv,reisiu
,親子で運動遊び,珠洲市子育て支援センター・児童館,乳幼児とその保護者,☆親子で運動遊び☆スポーツ推進員といっしょに、親子で楽しく運動遊びをしませんか？場所は今月は珠洲市子育て支援センター、持ち物は水分と汗拭き用タオル、申込みは不要です。直接遊びに来て下さいね！,珠洲市子育て支援センター,0768-82-5479,0,2016/05/20,10:00:00,10:30:00,,,2016/05/30 20:58:02,reisiu_05_06.csv,reisiu
14,ママＣａｆｅ,こどもみらいセンター（能登町）,幼児とその保護者,子育て中のママ同士、お茶をしながらリフレッシュしましょう！要予約,こどもみらいセンター（能登町）,0768(62)1503,300,2016/05/20,10:30:00,11:30:00,baby,,2016/05/30 20:58:02,mirai461_0119.csv,reisiu
26,輪島市乳幼児健康相談,町野めばえ子育て支援室,乳幼児,身体測定＆保健師・栄養士がお子さんの成長や健康についての相談をお伺いします,輪島市健康推進課,0768-23-1136,0,2016/05/20,10:00:00,11:00:00,,,2016/05/30 20:58:02,takese_kensui0321.csv,reisiu
43,児童館であそぼう,穴水町児童館,乳幼児,子育てサポーターが幼児の遊びをサポートします,穴水町,穴水町児童館(0768-52-3220),0,2016/05/20,10:00:00,12:00:00,,,2016/05/30 20:58:02,anamizuh28.csv,reisiu
,児童館にあつまれ～!,珠洲市子育て支援センター・児童館,小学生、乳幼児とその保護者,講談社「本とあそぼう　全国訪問おはなし隊」たくさんの絵本を積んだキャラバンカーがやってくる！！ 場所：珠洲市立中央図書館　内容：たくさんの絵本にふれよう！おはなし会もあります！　対象：小学生、乳幼児とその保護者　参加 費：無料　☆参加ご希望の方は、９：４５までに、児童館に集合してくだい。 児童館厚生員が、引率します。,のとフェアリィ・珠洲市子育て支援センター,0768-82-5479,0,2016/05/21,10:00:00,11:10:00,,,2016/05/30 20:58:02,reisiu_05_06.csv,reisiu
,手話であ・そ・ぼ,輪島市子育て支援センター・児童センター,グループ加入者,手話の披露・練習,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/21,14:00:00,16:00:00,,,2016/05/30 20:58:02,takese_0530.csv,reisiu
,科学であ・そ・ぼ,輪島市子育て支援センター・児童センター,小学生20名,スライムを作ろう！,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/22,10:00:00,12:00:00,,,2016/05/30 20:58:02,takese_0530.csv,reisiu
,5月生まれのお友達 お誕生会,珠洲市子育て支援センター・児童館,乳幼児とその保護者,その月のお誕生日のお友だちのお祝いをします。,珠洲市子育て支援センター,0768-82-5479,0,2016/05/24,10:00:00,10:30:00,,,2016/05/30 20:58:02,reisiu_05_06.csv,reisiu
,うさちゃん広場,輪島市子育て支援センター・児童センター,乳幼児親子,手作りおもちゃで遊ぼう！子育て仲間のみんなと一緒に楽しみませんか?,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/24,10:30:00,11:30:00,,,2016/05/30 20:58:02,takese_0530.csv,reisiu
48,ハンドメイド教室,穴水町児童館,乳幼児,簡単な工作をします。※託児あり（要予約）,穴水町,穴水町児童館(0768-52-3220),0,2016/05/24,10:00:00,12:00:00,,,2016/05/30 20:58:02,anamizuh28.csv,reisiu
,ママとベビーの英会話,珠洲市子育て支援センター・児童館,乳幼児とその保護者,Ｅ・Ｆ・Ｇ ～ママとベビーの英会話～ 絵本の読み聞かせ、日常会話、手遊びなどを通して、楽しく英語にふれませんか？日時は毎月第１・４水曜日の１０：００～１０：４５です。今月は25日です。ご自由にご参加ください(^_^)/,珠洲市子育て支援センター,0768-82-5479,0,2016/05/25,10:00:00,10:45:00,,,2016/05/30 20:58:02,reisiu_05_06.csv,reisiu
,暑中見舞いボランティア,輪島市子育て支援センター・児童センター,どなたでも,輪島市内１人暮らしのおじいちゃん、おばあちゃんに贈る暑中見舞いハガキを作ります！かわいい暑中見舞いハガキを一緒に作りましょう♪,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/25,09:30:00,11:30:00,,,2016/05/30 20:58:02,takese_0530.csv,reisiu
15,手袋シアター,こどもみらいセンター（能登町）,幼児とその保護者,手袋シアターをします。何が出てくるかなぁ～？,こどもみらいセンター（能登町）,0768(62)1503,0,2016/05/25,10:30:00,11:30:00,baby,,2016/05/30 20:58:02,mirai461_0119.csv,reisiu
44,児童館であそぼう,穴水町児童館,乳幼児,子育てサポーターが幼児の遊びをサポートします,穴水町,穴水町児童館(0768-52-3220),0,2016/05/25,10:00:00,12:00:00,,,2016/05/30 20:58:02,anamizuh28.csv,reisiu
,うさちゃん広場,輪島市子育て支援センター・児童センター,乳幼児親子,4、5月うまれおたんじょう会！子育て仲間のみんなと一緒に楽しみませんか?　協力：太陽の子クラブ,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/26,10:30:00,11:30:00,,,2016/05/30 20:58:02,takese_0530.csv,reisiu
,親子ふれあい講座,珠洲市役所市民ふれあいの里　健康増進センター,乳児とその保護者,☆親子ふれあい講座☆～簡単！離乳食講座（アレルギー対応食もあります）　場所：健康増進センター　２階　調理室　内容：簡単に作れる離乳食作り。栄養士のデモンストレーションの後、実際に作ってみましょう！　対象：乳児とその保護者　１０組程度参加費：親子で１００円　持ち物：エプロン、頭巾、マスク、おんぶひも、飲み物　☆参加ご希望の方は、１９日（木）までに子育て支援センターにお申し込みください。,珠洲市子育て支援センター,0768-82-5479,100,2016/05/26,10:00:00,11:30:00,,,2016/05/30 20:58:02,reisiu_05_06.csv,reisiu
40,5月生まれのお友達・誕生会,穴水町子育て支援センター（平和こども園）,乳幼児,5月生まれのお友達をみんなで祝ってあげよう。,穴水町,平和こども園　（０７６８）５２－２１３０,0,2016/05/26,09:30:00,11:00:00,,,2016/05/30 20:58:02,anamizuh28.csv,reisiu
16,身体計測・パネルシアター,こどもみらいセンター（能登町）,幼児とその保護者,お子さんの身体計測とパネルシアターをして遊びます。,こどもみらいセンター（能登町）,0768(62)1503,0,2016/05/27,10:30:00,11:30:00,baby,,2016/05/30 20:58:02,mirai461_0119.csv,reisiu
40,輪島市おやこ子育て広場・ぐんぐん広場,輪島市子育て支援センター・児童センター,7～11か月児,離乳食の進め方＆保育士さんに学ぶ遊び方など,輪島市健康推進課,0768-23-1136,0,2016/05/27,10:00:00,11:30:00,,,2016/05/30 20:58:02,takese_kensui0321.csv,reisiu
45,児童館であそぼう,穴水町児童館,乳幼児,子育てサポーターが幼児の遊びをサポートします,穴水町,穴水町児童館(0768-52-3220),0,2016/05/27,10:00:00,12:00:00,,,2016/05/30 20:58:02,anamizuh28.csv,reisiu
,よさこいキッズ教室,珠洲市子育て支援センター・児童館,乳幼児とその保護者・小学生,音楽に合わせて楽しく体を動かしましょう。,珠洲市子育て支援センター,0768-82-5479,0,2016/05/28,15:30:00,16:00:00,,,2016/05/30 20:58:02,reisiu_05_06.csv,reisiu
18,里山で音を聞こう～鳥のおはなしと音楽人形劇,能登半島里山里海自然学校,未就学児～大人まで　どなたでも！,おらっちゃの里山里海親子ワークショップ２０１６☆世界農業遺産「能登の里山里海」を知って、学んで、遊ぶ、親子のワークショップ、第１回目は「鳥」をテーマに、保全林で見られる野鳥について加藤秀夫（当法人理事長）が大人のみなさんをご案内。それから「森のようちえん」の考え方を大事に活動している「フェアリーリングのおさんぽ会」主宰の坂井理笑が子どもと子どもの心をもつ大人のみなさんとご一緒します。 素敵なゲストによるとっても楽しいにんぎょう音楽劇もありますよ～！案内人 加藤秀夫（当法人理事長） 坂井理笑（当法人会員） ♪♪♪ ゲスト:にんぎょうげきやさん（鳥毛こずえ） 財団法人劇団すぎのこ（東京都）にて全国で年間400公演以上に出演、現在はステージアウラ（金沢市）に在籍する人形劇作家・演者の鳥毛こずえのソロユニット。４人の子どもたちと自然散策や畑仕事をしながらお話を創作しています。http://ningyogeki.info 　ポクリコポケリカ（北嶋よしの・林みると・遠藤カヨ） 「森のようちえん青空自主保育おでかけさん」で出会った３人による音楽団。こどもと一緒に楽しめる音楽をテーマに、童謡やアイリッシュなど色んな音楽をバイオリン・ギター・鍵盤ハーモニカ・バグパイプ・太鼓など色んな楽器で演奏します。http://pp.cocoya.org ♪♪♪ 軽食・ランチについて 人形音楽劇の中で軽食（サンドイッチ）を配ります。おしぼりと水分補給の水筒をご持参ください。 アレルギーなどがある方は事前にご相談願います。 終了後は、森の中でランチタイムをしたいと思います。自由参加ですので、参加される方はお弁当もご持参ください。♪♪♪ 服装について 里山の中にはかぶれやすい植物もありますので皮膚がかくせるように長袖、長ズボンでお越しくださいね。また靴も長靴の方が活動しやすいです。帽子もお忘れなく。 ,NPO法人能登半島おらっちゃの里山里海,NPO法人能登半島おらっちゃの里山里海0768-88-2528　info@satoyama-satoumi.com 参加者全員のお名前、お子さんの年齢、ご連絡先をお知らせください,2000,2016/05/28,10:00:00,12:00:00,suzu_pink,,2016/05/30 20:58:02,reisiu_05_06.csv,reisiu
52,てづくり教室,穴水町児童館,小学生,絵本・すばなし・紙芝居,穴水町,穴水町児童館(0768-52-3220),0,2016/05/28,10:30:00,11:30:00,,,2016/05/30 20:58:02,anamizuh28.csv,reisiu
,おいしいマフィンを作ろう！,輪島市子育て支援センター・児童センター,小学生20名,かわいいアメリカンなカップケーキを焼きましょう♪※要申込　持ち物：エプロン、三角巾、ふきタオル,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/29,10:00:00,12:00:00,,,2016/05/30 20:58:02,takese_0530.csv,reisiu
,うさちゃん広場,輪島市子育て支援センター・児童センター,乳幼児親子,笑顔広がる手遊び・うたあそび！子育て仲間のみんなと一緒に楽しみませんか?,輪島市子育て支援センター・児童センター,0768-22-8031,0,2016/05/31,10:30:00,11:30:00,,,2016/05/30 20:58:02,takese_0530.csv,reisiu
18,みんなでお散歩,こどもみらいセンター（能登町）,幼児とその保護者,お子さんを連れて皆でお散歩に出かけましょう！雨天時は室内で絵本の読みきかせをします。要予約,こどもみらいセンター（能登町）,0768(62)1503,0,2016/05/31,10:30:00,11:30:00,baby,,2016/05/30 20:58:02,mirai461_0119.csv,reisiu
46,児童館であそぼう,穴水町児童館,乳幼児,子育てサポーターが幼児の遊びをサポートします,穴水町,穴水町児童館(0768-52-3220),0,2016/05/31,10:00:00,12:00:00,,,2016/05/30 20:58:02,anamizuh28.csv,reisiu
