//プレミアム・パスポート　事業協賛店一覧,,20160104 
企業ID,店舗ID,店舗・施設名,郵便,住所,住所建物,緯度,経度,電話,FAX,URL,営業・利用可能時間,定休日,プレパス特典（協賛店のみ）
co101256,ofid0003,auショップ　イオン金沢示野,920-0058,石川県金沢市示野中町79街区1,イオン金沢SC内マックスバリュ棟,36.5760532, 136.6146853,076-268-8838,076-268-8863,,10:00〜21:00（受付は20:30まで）,年中無休,
co100436,ofid0002,auショップ　コンフォモール内灘,920-0277,石川県河北郡内灘町千鳥台４‐１,,36.6393336, 136.6246157,076-238-8500,,http://www.daiwawa.com,10:00〜19:00,年中無休,
co100436,ofid0004,auショップ　プラント−３川北,923-1278,石川県能美郡川北町朝日63,,36.4689741, 136.4987435,076-277-2200,,http://www.daiwawa.com,10:00〜19:00,年中無休,
co100344,ofid0002,auショップ　七尾ベイモール,926-0852,石川県七尾市小島町大開地1番78,,37.0530900,136.9567720,0767-53-2272,0767-53-2118,,10:00〜20:00,年中無休,
co100821,ofid0003,auショップ　三口新町,920-0944,石川県金沢市三口新町4丁目28-1,,36.5431496, 136.6787733,076-264-0110,076-264-0130,http://aumypremiershop.jp/H005137/,10:00〜19:00,年中無休,
co100788,ofid0006,auショップ　北安江,920-0022,石川県金沢市北安江２丁目１６番５号,,36.585122, 136.6486104,076-265-3419,076-265-3486,,10:00〜19:00,年中無休,
co100788,ofid0005,auショップ　御経塚,921-8801,石川県野々市市御経塚2丁目149番地,,36.5481316, 136.5972718,076-240-6665,076-240-6063,,10:00〜19:00,年中無休,
co101158,ofid0001,auショップ　杜の里,920-1151,石川県金沢市田上町15街区2番,,36.5456644,136.6906209,076-232-8380,076-232-8480,,10:00〜19:00,年中無休,
co100348,ofid0001,auショップ　松任若宮,924-0805,石川県白山市若宮3丁目67,,36.5189071, 136.5742158,076-276-8233,076-276-2263,,9:00〜19:30　土日祝10:00〜19:00,なし,
co100251,ofid0003,auショップ　武蔵ヶ辻,920-0855,石川県金沢市武蔵町1-13,,36.5709659, 136.6547410,076-232-8551,076-232-8550,http://www.au.kddi.com/,10:00〜19:00,年中無休（年末年始除く）,
co100724,ofid0002,auショップ　石川県庁前,920-0345,石川県金沢市藤江北2丁目302,,36.5906654, 136.6223340,076-266-8100,076-266-8185,http://www.icp.gr.jp,10：00〜19：00,年中無休,
co101312,ofid0001,auショップ　羽咋中央,925-0052,石川県羽咋市中央町ア173,,36.8932321, 136.7780018,0767-22-7525,0767-22-7525,,10:00〜19:00,年中無休,
co100344,ofid0001,auショップ　羽咋東,925-0027,石川県羽咋市鶴多町17番地1,,36.8961984, 136.7917086,0767-22-8588,0767-22-8688,,10:00〜19:00,年中無休,
co100724,ofid0001,auショップ　野々市,921-8803,石川県野々市市押越2-49,,36.540613, 136.6081738,076-248-8050,076-248-6898,http://www.icp.gr.jp,10：00〜19：00,年中無休,
co100720,ofid0004,auショップ七尾,926-0028,石川県七尾市藤野町ロ38,ナッピーモール1階,37.0308228, 136.9683763,0800-700-2246,,http://www.sougo-idou.co.jp/,10:00〜19:00,年中無休,
co100720,ofid0002,auショップ久安,921-8164,石川県金沢市久安1丁目483番地,,36.5326532, 136.6318524,0800-700-2252,,http://www.sougo-idou.co.jp/,10:00〜19:00,年中無休,
co100720,ofid0001,auショップ加賀,922-0334,石川県加賀市西島町チ58-2,,36.3084362, 136.3674438,0800-700-2236,,http://www.sougo-idou.co.jp/,10:00〜19:00,年中無休,
co100720,ofid0006,auショップ小松,923-0801,石川県小松市園町ハ１３４−１,,36.4057168, 136.4578701,0800-700-2238,,http://www.sougo-idou.co.jp/,10:00〜19:00,年中無休,
co100720,ofid0010,auショップ小松南,923-0964,石川県小松市今江町3-618-1,,36.3794411, 136.4346594,0800-700-3127,,http://www.sougo-idou.co.jp/,10：00?19：00,年中無休,
co100720,ofid0009,auショップ津幡,929-0342,石川県河北郡津幡町北中条2丁目2,,36.6624968, 136.7278003,0800-700-2245,,http://www.sougo-idou.co.jp/,10:00〜19:00,年中無休,
co100720,ofid0007,auショップ神宮寺,920-0806,石川県金沢市神宮寺1丁目15番25号,,36.5832337, 136.6675869,0800-700-2240,,http://www.sougo-idou.co.jp/,10:00〜19:00,年中無休,
co100720,ofid0008,auショップ神田,921-8027,石川県金沢市神田2-2-22,,36.5593446,136.6370350,076-280-1711,076-280-1733,http://www.sougo-idou.co.jp/,10:00〜19:00,年中無休,
co100720,ofid0003,auショップ穴水,927-0053,石川県鳳珠郡穴水町此木11-45-1,,37.2457706, 136.9000587,0800-700-2223,,http://www.sougo-idou.co.jp/,10:00〜19:00,年中無休,
co100737,ofid0019,Aコープ　かほく店,929-1126,石川県かほく市内日角1丁目24番1,,36.7129353, 136.7003194,076-283-5222,076-283-5225,http://jacom-ishikawa.acoop.jp/,9:30〜22:00,年始,
co100737,ofid0016,Aコープ　しお店,929-1425,石川県羽咋郡宝達志水町子浦レ228-1,,36.863909, 136.7960375,0767-29-4565,0767-29-4566,http://jacom-ishikawa.acoop.jp/,9:30〜19:30,不定休,
co100737,ofid0001,Aコープ　つばた店,929-0325,石川県河北郡津幡町字加賀爪ハ99,,36.6698571, 136.7292830,076-289-8600,076-289-8605,http://jacom-ishikawa.acoop.jp/,9:30〜22:00,年始,
co100737,ofid0011,Aコープ　とぎ店,925-0453,石川県羽咋郡志賀町里本江242,,37.1444848, 136.7235630,0767-42-2288,0767-42-2289,http://jacom-ishikawa.acoop.jp/,10:00〜19:30,不定休,
co100737,ofid0012,Aコープ　もんぜん店,927-2171,石川県輪島市門前町本市12の117番地の1,,37.2931474, 136.7884048,0768-42-1000,0768-42-1896,http://jacom-ishikawa.acoop.jp/,9:30〜19:30,不定休,
co100737,ofid0007,Aコープ　今江店,923-0964,石川県小松市今江町1-305,,36.3794411, 136.4346594,0761-23-6150,0761-23-6151,http://jacom-ishikawa.acoop.jp/,9:30〜21:00,年始（※その他　月に1回）,
co100737,ofid0021,Aコープ　住吉店,921-8813,石川県野々市市住吉町76-1,,36.5264203, 136.6201452,076-294-8055,076-294-8056,http://jacom-ishikawa.acoop.jp/,7:00〜21:30（3月〜12月）　8:00〜21:30（1月〜2月）,不定休,
co100737,ofid0014,Aコープ　内浦店,927-0602,石川県鳳珠郡能登町松波10字54-甲1,,37.3542794, 137.2439713,0768-72-2060,0768-72-8048,http://jacom-ishikawa.acoop.jp/,9:30〜19:00,不定休,
co100737,ofid0005,Aコープ　加賀野店,924-0044,石川県白山市西柏町1丁目2-1,,36.5036633, 136.5324447,076-276-6171,076-276-9036,http://jacom-ishikawa.acoop.jp/,9:30〜20:00,年始（※その他　月に1回）,
co100737,ofid0006,Aコープ　北安田店,924-0039,石川県白山市北安田西1丁目50番地,,36.5262277, 136.5511589,076-274-7116,076-274-7005,http://jacom-ishikawa.acoop.jp/,9:30〜22:00,年始,
co100737,ofid0018,Aコープ　国府店,923-0053,石川県小松市河田町ヌ48-1,,36.4193181, 136.5105183,0761-47-1114,0761-47-1109,http://jacom-ishikawa.acoop.jp/,10:00〜20:00,年始（※その他2ヶ月に1回）,
co100737,ofid0003,Aコープ　安原店,920-0374,石川県金沢市上安原町1丁目208番地,,36.5632798, 136.5884916,076-269-7800,076-269-7765,http://jacom-ishikawa.acoop.jp/,9:30〜21:30,年始,
co100737,ofid0009,Aコープ　山代店,922-0242,石川県加賀市山代温泉22-5-1,,36.2914992, 136.3621950,0761-77-0112,0761-77-0113,http://jacom-ishikawa.acoop.jp/,9:30〜21:00,年始,
co100737,ofid0020,Aコープ　手取店,920-2321,石川県白山市吉野夏116番地,,36.3624059, 136.6172060,076-255-5566,076-255-5999,http://jacom-ishikawa.acoop.jp/,9:00〜20:00（4月〜8月）　9:30〜19:30（9月〜3月）,月1回（不定期）,
co100737,ofid0004,Aコープ　新旭店,924-0015,石川県白山市新田町34-1,,36.5331496, 136.5708518,076-276-1333,076-276-9037,http://jacom-ishikawa.acoop.jp/,9:30〜21:30,年始,
co100737,ofid0010,Aコープ　桔梗山代店,922-0242,石川県加賀市山代温泉16-78-1 ,,36.2892582, 136.3568721,0761-77-7810,,http://jacom-ishikawa.acoop.jp/,9：30〜21：00,年始（※その他月に1回）,
co100737,ofid0002,Aコープ　笠舞店,920-0965,石川県金沢市笠舞1丁目8-48,,36.5514237, 136.6705405,076-231-5357,076-231-5314,http://jacom-ishikawa.acoop.jp/,9:30〜21:00,年始,
co100737,ofid0008,Aコープ　粟津店,923-0303,石川県小松市島町ル100の1,,36.353592, 136.4280969,0761-44-7221,0761-44-7222,http://jacom-ishikawa.acoop.jp/,9:30〜21:00,年始,
co100737,ofid0013,Aコープ　能都店,927-0433,石川県鳳珠郡能登町字宇出津ト字16番地1,,37.309479, 137.1488160,0768-62-2229,0768-62-3779,http://jacom-ishikawa.acoop.jp/,9:30〜20:00,不定休,
co100737,ofid0017,Aコープ　蝶屋店,929-0202,石川県白山市西米光町チ100,,36.4933679, 136.5010174,076-278-2225,076-278-4514,http://jacom-ishikawa.acoop.jp/,9:30〜21:00,不定休,
co100757,ofid0003,Bakery & cafe MAPLE HOUSE,920-0005,石川県金沢市高柳町ニ字56-2,,36.5931711,136.6615729,076-255-0067,,http://www.e-maplehouse.com,7：30〜21：00,年中無休,
co101483,ofid0001,Balloon shop プカリ,920-0373,石川県金沢市みどり３−６９,,36.5661903, 136.5840475,090-5681-8600,,http://balloon-pukari.jp,8:00~20:00,不定休,
co101108,ofid0001,BANKAN　イオン松任店,924-0841,石川県白山市平松町102-1,,36.5072307, 136.5651722,076-274-4790,,,10:00〜21:00,年中無休,
co101274,ofid0002,Beishin　おこめキッチン,920-0364,石川県金沢市松島1丁目1番地,,36.5620105, 136.6060591,076-249-5005,,http://www.beishin-i.co.jp,10:00〜17:00,年中無休,
co101274,ofid0001,Beishin　おにぎりキッチン,920-0364,石川県金沢市松島1丁目1番地,,36.5620105, 136.6060591,076-249-0695,,http://www.beishin-i.co.jp,10:00〜15:00,年中無休,
co267607,ofid0001,CABINE（キャビーヌ）,921-8022,石川県金沢市中村町10-20,アピタ金沢２F,363334,1363834,076-226-3030,,,9:00〜21:00,なし,
co504918,ofid0001,carin-o（カリーニョ）,920-0345,石川県金沢市藤江北2-326,1F,36.5899866,136.6226776,076-255-3639,076-255-3639,,月・水・木・金10：00〜18：00、土・日／祝日12：00〜18：00,火曜日,
co889352,ofid0007,COCO塾　インフォメーションセンター金沢,920-0869,石川県金沢市上堤町1-12,金沢南町ビルディング2Ｆ,36.5682218, 136.6545105,076-222-2016,076-224-5322,http://www.cocojuku.jp/,10：00〜18：00,日祝,
co889352,ofid0003,COCO塾ジュニア　ハマナスジュニア教室,920-0268,石川県河北郡内灘町ハマナス２丁目,,36.6557711,136.6430252,076-222-2016,,http://www.cocojuku.jp/,,,
co889352,ofid0006,COCO塾ジュニア　乙丸町ジュニア教室,920-0807,石川県金沢市乙丸町甲161,浅野町公民館,36.5867387, 136.6653119,076-222-2016,076-224-5322,http://www.cocojuku.jp/,,,
co889352,ofid0005,COCO塾ジュニア　北安田町ジュニア教室,924-0024,石川県白山市北安田町,,36.5228642,136.5485704,076-222-2016,,http://www.cocojuku.jp/,,,
co889352,ofid0004,COCO塾ジュニア　千代野西ジュニア教室,924-0072,石川県白山市千代野西７丁目,,36.5273322,136.5362103,076-222-2016,,http://www.cocojuku.jp/,,,
co889352,ofid0002,COCO塾ジュニア　弓取町教室,920-0215,石川県金沢市弓取町125,,36.612246,136.639899,076-222-2016,,http://www.cocojuku.jp/,,,
co511828,ofid0008,CoCo壱番屋　フェアモール松任店,924-0817,石川県白山市幸明町189-2,,36.5185402,136.5785203,076-274-2788,,http://www.ichibanya.co.jp/,11：00〜24：00,なし,
co511828,ofid0010,CoCo壱番屋　加賀温泉駅前店,922-0423,石川県加賀市作見町リ82-1,,36.317718, 136.3502788,0761-72-5355,,http://www.ichibanya.co.jp/,11：00〜24：00,なし,
co511828,ofid0007,CoCo壱番屋　小松福乃宮店,923-0865,石川県小松市福乃宮町2丁目5番地,ｹｲｱｲﾋﾞﾙ1階,36.3919403,136.4531906,0761-23-5292,,http://www.ichibanya.co.jp/,11：00〜24：00,なし,
co511828,ofid0006,CoCo壱番屋　石川津幡店,929-0342,石川県河北郡津幡町北中条六丁目81番地,,36.6611442, 136.7280780,076-289-0031,,http://www.ichibanya.co.jp/,11：00〜24：00,なし,
co511828,ofid0005,CoCo壱番屋　羽咋石野町店,925-0026,石川県羽咋市石野町イ62-1,,36.8947043, 136.7987800,0767-22-5546,,http://www.ichibanya.co.jp/,11：00〜23：30,なし,
co511828,ofid0004,CoCo壱番屋　金沢もりの里店,920-1167,石川県金沢市もりの里三丁目230番地,,36.5582397, 136.6832924,076-210-3221,,http://www.ichibanya.co.jp/,11：00〜24：00,なし,
co511828,ofid0002,CoCo壱番屋　金沢小坂店,920-0811,石川県金沢市小坂町北179-2,,36.5967201,136.6795534,0120-014-104,,http://www.ichibanya.co.jp/,11：00〜24：00,なし,
co511828,ofid0001,CoCo壱番屋　金沢有松店,921-8161,石川県金沢市有松2-5-5,,36.5419835,136.6398542,076-243-9700,,http://www.ichibanya.co.jp/,11：00〜26：00,なし,
co511828,ofid0009,CoCo壱番屋　金沢西インター店,921-8061,石川県金沢市森戸2-202,,36.5572416, 136.5986434,076-269-2006,,http://www.ichibanya.co.jp/,11：00〜24：00,なし,
co100152,ofid0001,Coffee　ぴーちゃん,928-0206,石川県輪島市町野町曽々木キ- ２番地,,37.4585149, 137.0764501,0768-32-0240,0768-32-0240,,9:00〜18:00,不定休,
co100989,ofid0001,CONTACT　SCENE,920-0867,石川県金沢市長土塀3丁目8-41,,36.5667966, 136.6415085,076-208-3755,076-231-3738,http://contact-scene.jp,9:00〜20:00,年中無休（1/1、12/31は休みます）,
co100154,ofid0001,CUT IN　すりーまうす,920-0018,石川県金沢市三口町火131,,36.6089075, 136.6414128,076-237-4637,076-237-4637,,平日9:00〜19:00　日･祝8:30〜18:00,毎週月曜日　第1月・火、第3日・月は連休,
co101455,ofid0001,DANZY＋FイオンモールかほくSC店,929-1126,石川県かほく市内日角タ25番,,36.7090775, 136.7010694,076-289-1367,,,10：00〜22：00,年中無休,
co740831,ofid0001,Draw:Garden（ドゥルーガーデン）本店,923-1235,石川県能美市徳久町84-2,,36.45008139,136.52893029,0761-51-4400,0761-51-4406,http://hokurikuengei.com/,10時〜18時,,
co740831,ofid0002,Draw:Garden（ドゥルーガーデン）金沢店,921-8164,石川県金沢市久安４丁目４１１番地,,36.5352168, 136.6336911,076-247-8728,076-247-8781,http://hokurikuengei.com/,10時〜18時,,
co100884,ofid0001,e-messe kanazawa 2015,920-0361,石川県金沢市袋畠町193番地,石川県産業展示館１号館,36.5752727, 136.6030614,076-267-4741,,http://www.e-messe.jp/,平成27年5月14日（木）〜16日（土）10:00〜17:00,,
co100097,ofid0001,earth-hair hogaraka,929-1125,石川県かほく市宇野気チ126-1,,36.7212286, 136.7017856,0120-690-281,,,平日9:00〜19:00　日曜・祝日9:00〜18:00,毎週月曜日、第1・第3月火曜連休,
co100752,ofid0001,Freaks　野々市バイパス店,921-8847,石川県野々市市蓮花寺町81-1,,36.5299227, 136.5919894,076-294-1639,076-294-1659,http://www.freaks.ne.jp/nonoichi/,24時間,年中無休,
co101102,ofid0001,GFCジニー　イオン松任店,924-0841,石川県白山市平松町102-1,,36.5072307, 136.5651722,076-274-2796,,,10:00〜21:00,年中無休,
co100010,ofid0005,GOLF 5　金沢大桑店,921-8045,石川県金沢市大桑2丁目421番,,36.5335899, 136.6750547,076-243-8856,076-243-8860,http://www.alpen-group.jp/,10:00〜20:30,なし,
co100010,ofid0002,GOLF 5　金沢駅西店,920-0024,石川県金沢市西念3丁目3番2号,,36.5883547, 136.6349444,076-234-3544,076-232-0860,http://www.alpen-group.jp/,10:00〜20:00,なし,
co100161,ofid0001,hair & cure 藤,924-0867,石川県白山市茶屋2丁目63,,36.5205122, 136.5607362,076-275-3208,076-275-3722,,9:00〜18:00,毎週月曜日、第1・3・5日曜日,
co101459,ofid0001,hair azblue,926-0852,石川県七尾市小島町大開地3-5,フリーデコート103,37.0561205, 136.9538462,0767-53-2008,,,9時30分から19時,毎週月曜日、第1・3日曜日,
co830101,ofid0001,hair design  tsumugi,920-2134,石川県白山市七原町ト−４,,36.4864438,136.5993207,076-227-8730,076-227-8740,http://www.hair-tsumugi.com,平日１０〜１９時／土曜９〜１９時／日祝９〜１８時,月曜・第３日曜,保護者の方の施術（カットorカラーorパーマ）の10日以内は小学生以下のキッズカットが通常2000〜2500円のところ、なんと1,000円に！
co100158,ofid0001,hair Luce,923-1121,石川県能美市寺井町ロ55-1,,36.4440661, 136.4927668,0761-57-4880,0761-57-4880,,8:30〜19:00　金曜日ナイター12:00〜22:00,毎週月曜日,
co100367,ofid0011,Hair Make Arty(ヘアメイク　アーティ),921-8832,石川県野々市市藤平田1-462,,36.517127, 136.6072019,0120-46-5598,,http://www.kamiogroup.jp/salon/arty.html,平日・土／10：00〜20：00　　日・祝／10：00〜18：00,毎週水曜日、第3火曜日,
