no,display,category,name,address,phone1,phone2,memo1,memo2,lat,lng
,1,ファミリーサポートセンター,能美市ファミリー・サポート・センター,能美市社会福祉協議会※H27.4月末までは58-4342です,（0761）58-6230,,,,34.2113148,132.4429506
,1,ファミリーサポートセンター,野々市市ファミリー・サポート・センター,野々市市子育て支援センター菅原,（076）248-4634,,,,36.5285534,136.6161164
,1,ファミリーサポートセンター,川北町ファミリー・サポート・センター,NPO法人子ども館,（076）277-3632,,,,36.4731052,136.5470622
,1,ファミリーサポートセンター,津幡町子育てサポートセンター,津幡町社会福祉協議会親子サロン,（076）288-6276,,,,36.6686933,136.7284416
,1,ファミリーサポートセンター,内灘町ファミリー・サポート・センター,内灘町子育て支援センター,（076）238-3233,,,,36.6361572,136.6340975
,1,ファミリーサポートセンター,志賀町ファミリー・サポート・センター,志賀町住民課,（0767）32-9122,,,,37.006312,136.7780101
,1,ファミリーサポートセンター,宝達志水町ファミリー・サポート・センター,宝達志水町こども家庭室,（0767）28-5526,,,,36.8627731,136.797529
,1,ファミリーサポートセンター,中能登町ファミリー・サポート・センター,中能登町住民福祉課,（0767）72-3134,,,,36.9888836,136.9018324
,1,ファミリーサポートセンター,穴水町ファミリー・サポート・センター,穴水町児童館（穴水町さわやか交流館プルート内）,（0768）52-2333,,,,37.230995,136.9124745
,1,ファミリーサポートセンター,能登町ファミリー・サポート・センター,能登町健康福祉課,（0768）72-2512,,,,37.3532156,137.2445214
,1,ベビーシッター,アイ愛ベビーシッター,金沢市泉野町4-4-12,（076）242-8686,,,,36.5450495,136.6522364
,1,ベビーシッター,ゆいま～るベビー金沢,金沢市長町2-7-22,（076）261-5566,,,,36.5653275,136.6462723
,1,ショートステイ,こども家庭支援センター金沢,金沢市平和町3-23-5（享誠塾敷地内）,（076）243-8341,,2歳児以上,,36.5387698,136.6627276
,1,ショートステイ,ななお乳児園,七尾市津向町ハ部35-5,（0767）52-1411,,2歳児以上,,37.0564167,136.9525464
,1,ショートステイ,育松園,小松市軽海町ノ25-23（市こども家庭課）,（0761）24-8054,,2歳児以上,,36.3964188,136.5143016
,1,ショートステイ,伊奈美園ファミリーステーションいなみえん,加賀市片山津温泉井6,（0761）74-5555?,（0761）75-8889,2歳児以上,,36.3417761,136.3677845
,1,ショートステイ,NPO法人子ども館,能美郡川北町字土室丙114-10,（076）277-3632,,2歳児以上,,36.4731042,136.5470612
,1,ショートステイ,あすなろ学園,鳳珠郡穴水町字志ヶ浦15-1-3,（0768）52-3150,,2歳児以上,,37.2021536,136.8982162
,1,ショートステイ,聖霊乳児院,金沢市長町1-5-30,（076）223-2878,,2歳児未満,,36.5656692,136.6503414
,1,ショートステイ,ななお乳児園,七尾市津向町ハ部35-5,（0767）52-1411,,2歳児未満,,37.0564167,136.9525464
,1,ショートステイ,あすなろ学園,鳳珠郡穴水町字志ヶ浦15-1-3,（0768）52-3150,,2歳児未満,,37.2021536,136.8982162
,1,トワイライトステイ,こども家庭支援センター金沢,金沢市平和町3-23-5（享誠塾敷地内）,（076）243-8341,,,,36.5387698,136.6627276
,1,トワイライトステイ,野町夜間保育園,金沢市野町3-24-32,（076）244-6458,,午前2時まで,,36.5530207,136.6500141
,1,トワイライトステイ,ななお乳児園,七尾市津向町ハ部35-5,（0767）52-1411,,,,37.0564167,136.9525464
,1,トワイライトステイ,育松園,小松市軽海町ノ25-23（市こども家庭課,（0761）24-8054,,,,36.3964188,136.5143016
,1,トワイライトステイ,伊奈美園ファミリーステーションいなみえん,加賀市片山津温泉井6,（0761）74-5555?,（0761）75-8889,,,36.3417761,136.3677845
,1,トワイライトステイ,NPO法人子ども館,能美郡川北町字土室丙114-10,（076）277-3632,,,,36.4731042,136.5470612
,1,トワイライトステイ,あすなろ学園,鳳珠郡穴水町字志ヶ浦15-1-3,（0768）52-3150,,,,37.2021536,136.8982162
