no,co_id,shop_id,name,zip,address,bilding,lat,lng,phone,fax,url,servicetime,holiday,op_1,op_2,op_3,op_4,op_5,op_6,op_7,op_8,op_9,op_10,op_11,op_12,op_13
,co111084,ofid0001,よつば保育園,926-0002,石川県七尾市湯川町ニ部1,,37.08505,137.040275,0767-58-1912,,http://www.kosodate-web.com/yotuba/,（月～土）7：00～19：00,日曜日・祝日・年末年始,授乳スペース,オムツ替えスペース,電子レンジ,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co100094,ofid0001,アイ愛能力開発研究所 EDUCARE,921-8034,石川県金沢市泉野町1丁目238-1,,36.5470771, 136.6558526,076-242-8686,076-242-8660,http://kosodate-web.com/educare/index.php,9:00～19:00,日曜、祝日,授乳スペース,オムツ替えスペース,,おむつ又はおしりふきシートの設置(販売),,子ども用トイレ・ベビーキーパー,,,,,,,
,co101271,ofid0001,アカチャンホンポ金沢店,920-0333,石川県金沢市無量寺4丁目91-1,アピタタウン金沢ベイＤ棟,36.607449, 136.6084458,076-225-2555,076-225-2558,http://www.akachan.jp/,10:00～21:00,,授乳スペース,オムツ替えスペース,,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co100704,ofid0001,アビオシティ加賀,922-0423,石川県加賀市作見町ル25-1,,36.31974, 136.3523258,0761-72-5811,0761-72-5812,,9：30～20：00,年2回不定休,授乳スペース,オムツ替えスペース,,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co100669,ofid0001,アピタ　松任店,924-0817,石川県白山市幸明町280番地,,36.5158448,136.5769516,076-274-6611,076-274-6619,http://www.uny.co.jp/,9:00～21:00,年2回　決算日に休業,授乳スペース,オムツ替えスペース,,おむつ又はおしりふきシートの設置(販売),,子ども用トイレ・ベビーキーパー,,,,,,,
,co100669,ofid0002,アピタ　金沢店,921-8022,石川県金沢市中村町10番20,,36.5595475, 136.6426504,076-226-3111,076-226-3119,http://www.uny.co.jp/,10:00～21:00,年2回　決算日に休業,授乳スペース,オムツ替えスペース,,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,,,,,,,,
,co110001,ofid0001,アピタタウン金沢ベイ,920-0333,石川県金沢市無量寺第2土地区画整理事業地内21,,36.6072323, 136.6082374, 076-225-2525,,http://www.uny.co.jp/store/pickup-shop/kanazawabay/index.htm,10：00～21：00,なし,授乳スペース,オムツ替えスペース,,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,,,,,,,,
,co111229,ofid0001,アリス保育園,921-8807,石川県野々市市二日市町65街区2,,36.537562,136.595786,076-294-2525,,,（月～金）7:00~19:00　（土）7:00~18:00,日・祝日・年末年始,授乳スペース,オムツ替えスペース,電子レンジ,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,,,,,,,,
,co100188,ofid0008,イオンかほく店,929-1126,石川県かほく市内日角タ25番,,36.7092541,136.7006627,076-289-1000,076-289-1321,http://www.aeon.jp/sc/kahoku/,9：00～22：00,無し,授乳スペース,オムツ替えスペース,,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co100188,ofid0003,イオンもりの里店,920-1167,石川県金沢市もりの里1丁目70番地,,36.5514627,136.6899771,076-234-8888,076-234-8831,http://www.aeon.jp/aeon/morinosato/,9:00～23:00（食品のみ24時間営業）,無し,授乳スペース,オムツ替えスペース,,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,,,,,,,,
,co100188,ofid0007,イオン加賀の里店,922-0013,石川県加賀市上河崎町47-1,,36.3065720,136.3469441,0761-72-8800,0761-72-8888,http://www.aeon.jp/aeon/kaganosato/,9:00～22:00（食品のみ24時間営業）,無し,授乳スペース,オムツ替えスペース,,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co100188,ofid0006,イオン小松店,923-0036,石川県小松市平面町ア69,,36.4192223,136.4725604,0761-23-6000,0761-23-6006,http://www.aeon.jp/aeon/komatsu/,9:00～23:00（食品のみ24時間営業）,無し,授乳スペース,オムツ替えスペース,,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co100188,ofid0002,イオン御経塚店,921-8801,石川県野々市市御経塚2-91,,36.5484779,136.5986886,076-269-0130,076-269-0131,http://www.aeon.jp/aeon/okyozuka/,食品売場9:00～23:00　その他の売場9:00～22:00,無休（都合により臨時休業させていただく場合があります）,授乳スペース,オムツ替えスペース,,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co100188,ofid0005,イオン松任店,924-0841,石川県白山市平松町102-1,,36.5080381,136.5661342,076-274-8600,076-274-8611,http://www.aeon.jp/aeon/matto/,9:00～22:00（食品のみ9:00～23:00迄営業）,無し,授乳スペース,オムツ替えスペース,,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co100188,ofid0004,イオン野々市南店,921-8835,石川県野々市市上林4-747,,36.5021407,136.6055021,076-246-8121,076-246-8238,http://www.aeon.jp/aeon/nonoichiminami/,9:00～22:00（食品のみ24時間営業）,無休（都合により臨時休業させていただく場合があります）　,授乳スペース,オムツ替えスペース,,,,子ども用トイレ・ベビーキーパー,,,,,,,
,co100188,ofid0001,イオン金沢店,920-3126,石川県金沢市福久2丁目58番地,,36.6172997,136.6813858,076-258-7588,076-258-7500,http://www.aeon.jp/aeon/kanazawa/,9：00～22：00（但し専門店と一部売場は異なります）,無休（都合により臨時休業させていただく場合があります）,授乳スペース,オムツ替えスペース,,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co437205,ofid0001,インド＆パキスタン料理　AZAAN（アザーン）,921-8005,石川県金沢市間明町1-237,,36.5664656,136.6163593,076-220-6838,076-220-6838,http://azaan.jp/,11：30～15：00（LO.14：30）、17：00～22：00（LO.21：30）,不定期,授乳スペース,オムツ替えスペース,電子レンジ,,粉ミルク用のお湯提供可,,キッズコーナー,,子ども特典,子どもメニュー,禁煙席,個室,小上がり（お座敷）
,co101413,ofid0001,エンジェル保育園,921-8815,石川県野々市市本町6-22-1,,36.533433,136.607587,076-248-2888,,http://www.angelhoikuen.com/,（月～金）7:15~19:00　（土）7:15~18:00,日・祝日,授乳スペース,オムツ替えスペース,電子レンジ,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co100983,ofid0002,カラオケメイト　松任店,924-0032,石川県白山市村井町１７７５,,36.5090056, 136.5620613,076-275-8400,,,11:00～26:00,毎週月曜日（祝前日・祝日は除く）,授乳スペース,オムツ替えスペース,電子レンジ,,粉ミルク用のお湯提供可,,,,,,,,
,co337770,ofid0001,キタセ,923-0925,石川県小松市八日市町68,,36.4025168,136.4496653,0761-24-0851,0761-24-0885,,10時～19時,水曜日（1月2日～5月5日迄無休）,授乳スペース,オムツ替えスペース,,,粉ミルク用のお湯提供可,,キッズコーナー,ベビーカーの貸し出し,,,,,
,co110840,ofid0004,キッズランドいなみえん　なかよし広場,922-0412,石川県加賀市片山津温泉井6,いなみえんグリーンハウス内,36.3420177, 136.3677456,0761-74-5555,,http://www.inamien.jp/,10：00～16：00,土・日・祝日,授乳スペース,オムツ替えスペース,,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,,,,,,,,
,co683669,ofid0001,サイエンスヒルズこまつ　ひととものづくり科学館,923-8610,石川県小松市こまつの杜2番地,,36.4018069,136.4558103,0761-22-8610,0761-23-8686,http://science-hills-komatsu.jp/,9：30～18：00（有料観覧受付は17：00まで）,月曜日（月曜日が祝日の場合は翌日。夏休み、ＧＷは開館）、年末年始（12月29日～１月３日）,授乳スペース,オムツ替えスペース,,,,子ども用トイレ・ベビーキーパー,,,,,,,
,co101468,ofid0001,セレクトショップ　epis（レピ）,921-8064,石川県金沢市八日市５丁目５６２番地,,36.5504952, 136.6115369,076-240-7020,076-240-7020,http://epis.jp,10時00分～20時00分,年中無休（年末年始を除く）,授乳スペース,オムツ替えスペース,,,,子ども用トイレ・ベビーキーパー,,,,,,,
,co110041,ofid0001,チャイルドケアハウス小丸山,926-0855,石川県七尾市小丸山台1‐82_83_84,（小丸山保育園併設）,37.0456651, 136.9571323,0767-53-3710,,http://www.ans.co.jp/n/komaruyama/index_3.htm,10：00～15：00,土・日・祝日,授乳スペース,オムツ替えスペース,電子レンジ,,粉ミルク用のお湯提供可,,,,,,,,
,co100742,ofid0001,テルメ金沢,920-0364,石川県金沢市松島町17番地,,36.5696918,136.6012899,076-269-2211,076-269-2311,http://www.terume.net,24時間,年中無休,授乳スペース,オムツ替えスペース,,,粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,キッズコーナー,,,子どもメニュー,禁煙席,個室,小上がり（お座敷）
,co101377,ofid0001,ハートハウス,921-8064,石川県金沢市八日市5丁目493-1,,36.551534,136.609669,076-240-3838,076-240-8188,http://www.hearthouse.jp/,10:00～17:00,水曜日,授乳スペース,オムツ替えスペース,電子レンジ,,,,キッズコーナー,,,,,,
,co110002,ofid0001,パトリア,926-0811,石川県七尾市御祓町1,,37.0434657, 136.9633847,0767-54-0770,,http://www.patria770.com/,9：00～20：00,年2回（2・8月第3水曜日）,授乳スペース,オムツ替えスペース,電子レンジ,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co110840,ofid0003,ファミリーステーション　いなみえん,922-0412,石川県加賀市片山津温泉井６番地,,36.3420177, 136.3677456,0761-75-8889,,http://www.inamien.jp/,9：00～16：00,土・日曜（祭日）,授乳スペース,オムツ替えスペース,電子レンジ,,粉ミルク用のお湯提供可,,キッズコーナー,,,,,,
,co101288,ofid0005,マックスバリュ　東金沢駅前店,920-0005,石川県金沢市高柳町13字1-1,,36.5918131, 136.6698364,076-251-3611,076-251-3618,,24時間営業,年中無休,授乳スペース,オムツ替えスペース,電子レンジ,おむつ又はおしりふきシートの設置(販売),,,,,,,,,
,co110026,ofid0001,ミドリ第二保育園,920-0373,石川県金沢市みどり3-23-2,,36.566891,136.584113,076-249-5524,,http://www.midori-kidsweb.com/newpage3.html,（月～土）7：00～19：00,日・祝日,授乳スペース,オムツ替えスペース,,おむつ又はおしりふきシートの設置(販売),粉ミルク用のお湯提供可,,,,,,,,
,co101506,ofid0001,リーファ　ナカガワ,924-0804,石川県白山市徳丸町512-1,,36.5180404,136.5761982,076-276-2888,076-276-6103,http://www.li-fa.co.jp/,10:00～20:00,不定休,授乳スペース,オムツ替えスペース,,,粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co111077,ofid0001,七尾みなと保育園,926-0852,石川県七尾市矢田町1-8,,37.044954,136.980138,0767-53-3750,,http://www.nanaominato.jp,（月～土）7：00～翌日1：00,日曜日・祝日,授乳スペース,オムツ替えスペース,電子レンジ,,粉ミルク用のお湯提供可,,,,,,,,
,co110514,ofid0001,七尾サンライフ児童センター,926-0021,石川県七尾市本府中町ヲ38,,37.033297,136.969634,0767-53-5486,,http://www.nanao.syakyo.jp/,9：00～12：00　13：00～17：00,月曜・第３日曜・祝日・年末年始（12/29～1/3）,授乳スペース,オムツ替えスペース,,,粉ミルク用のお湯提供可,,,,,,,,
,co110516,ofid0001,七尾市中島児童館,929-2223,石川県七尾市中島町上町ヲ-85,,37.126379,136.842505,0767-66-0123,,http://www.nanaosyakyo.jp/,月～金　14：00～17：00　土曜日　9：00～12：00,日曜・祝日・第２、４、５土曜・年末年始（12/28～1/3),授乳スペース,オムツ替えスペース,,,粉ミルク用のお湯提供可,,,,,,,,
,co110512,ofid0001,七尾市北大呑児童館,926-0366,石川県七尾市庵町ウ23ウ23の2,,37.040911,137.046246,0767-59-1250,,http://www.nanaosyakyo.jp/,火曜日～日曜日13：00～17：00　土曜日9：00～17：00,月曜日・第１、３日曜日・祝日・年末年始（12/28～1/3）,授乳スペース,オムツ替えスペース,,,粉ミルク用のお湯提供可,,,,,,,,
,co110152,ofid0001,七尾市役所 健康福祉部 健康推進課（七尾サンライフプラザ保健,926-0021,石川県七尾市本府中町ヲ38,,37.0337145,136.9700320,0767-53-3623,,http://www.city.nanao.lg.jp/,8：30～17：15,土曜日・日曜日・祝日,授乳スペース,オムツ替えスペース,電子レンジ,,粉ミルク用のお湯提供可,,,,,,,,
,co111281,ofid0001,七尾市役所　健康福祉部　子育て支援課（七尾駅前ミナ．クル２階,926-0046,石川県七尾市神明町１番地,ミナ．クルビル２階,37.0433547,136.9646338,0767-53-8445,,http://www.city.nanao.lg.jp/,8：30～17：15,土曜日・日曜日・祝日,授乳スペース,オムツ替えスペース,,,粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co110513,ofid0001,七尾市御祓児童館,926-0806,石川県七尾市一本杉町124,,37.048275,136.96136,0767-53-1397,,http://www.nanaosyakyo.jp/,9：00～17：00,月曜・第３日曜日・祝日・年末年始（12/28～1/3),授乳スペース,オムツ替えスペース,,,粉ミルク用のお湯提供可,,,,,,,,
,co110515,ofid0001,七尾市田鶴浜児童館,929-2121,石川県七尾市田鶴浜ニ部117,,37.060798,136.893612,0767-68-3650,,http://www.nanaosyakyo.jp/,月～金　14：00～17：00　土曜日　9：00～12：00,日曜・祝日・第２、４、５土曜・年末年始（12/28～1/3),授乳スペース,オムツ替えスペース,,,粉ミルク用のお湯提供可,,,,,,,,
,co100414,ofid0002,三草二木　西圓寺,923-0033,石川県小松市野田町丁68番地,,36.4316801,136.4792327,0761-48-7773,,http://www.bussien.com/saienji/,日～木　11:00～20:00、金・土　11：00～21：00,祝日、1月1日～3日,授乳スペース,オムツ替えスペース,電子レンジ,,粉ミルク用のお湯提供可,,,,,,,,
,co110059,ofid0001,中島子育て支援センター,929-2222,石川県七尾市中島町中島乙39-1,中島保育園内,37.1199503, 136.8502748,0767-66-1210,,,,,授乳スペース,オムツ替えスペース,,,粉ミルク用のお湯提供可,,,,,,,,
,co110155,ofid0001,健康増進センター,927-1214,石川県珠洲市飯田町5-9,,37.4444797, 137.2654552,0768-82-7742,,,,,授乳スペース,オムツ替えスペース,,,粉ミルク用のお湯提供可,,,,,,,,
,co111080,ofid0001,光の子保育園,926-0016,石川県七尾市大和町チ18-1,,37.043905,136.974422,0767-53-0094,,http://w2232.nsk.ne.jp/hikarinoko/,（月～土）7：00～19：00,日曜日、祝日,授乳スペース,オムツ替えスペース,,,粉ミルク用のお湯提供可,,,,,,,,
,co110028,ofid0001,内灘はまなす保育園,920-0268,石川県河北郡内灘町ハマナス2-18,,36.655182,136.643462,076-286-0133,,,（月～土）7:00~22:00,,授乳スペース,オムツ替えスペース,電子レンジ,,粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co110197,ofid0001,内灘町 子育て支援センター／カンガルーム内灘,920-0272,石川県河北郡内灘町字向陽台1丁目97,,36.6362259, 136.6341069,076-238-3233,,,9：00～17：00,第2・4・5日曜日・祝日,授乳スペース,オムツ替えスペース,電子レンジ,,粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co293783,ofid0002,内灘町保健センター,920-0261,石川県河北郡内灘町字鶴ヶ丘２丁目１６１番地1,,36.6434559, 136.6429339,076-286-6101,076-286-6103,,8：30-17：00,日曜、土曜、祝日、12月２９～1月３日,授乳スペース,オムツ替えスペース,電子レンジ,,粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co293783,ofid0001,内灘町役場,920-0292,石川県河北郡内灘町字大学１丁目２番地１,,36.6535297,136.64512519,076-286-1111,076-286-0617,http://www.town.uchinada.1g.jp/webapps/www/index.jsp,8:00-17:15,日曜日、土曜日、祝日、12月29日～1月3日,授乳スペース,オムツ替えスペース,電子レンジ,,粉ミルク用のお湯提供可,子ども用トイレ・ベビーキーパー,,,,,,,
,co111231,ofid0001,加賀市役所,922-0811,石川県加賀市大聖寺南町二41,,36.3026173,136.3147199,0761-72-1111,,http://www.city.kaga.ishikawa.jp/,8：30～17：15,土・日・祝日,授乳スペース,オムツ替えスペース,,,,子ども用トイレ・ベビーキーパー,,,,,,,
,co110312,ofid0001,加賀市民病院,922-0057,石川県加賀市大聖寺八間道65,,36.3079069, 136.3098135,0761-72-2100,,,,,授乳スペース,オムツ替えスペース,,,,子ども用トイレ・ベビーキーパー,,,,,,,
