no,display,list_no,category,name,address,lat,lng,phone1,phone2,memo1,memo2,area,hours,closing,diaper,zasiki,parking,URL
27,,,飲食店,鉄板でこ,日本  〒927-1214 石川県珠洲市飯田町よ−６ 鉄板でこ,37.44366100000001,137.26431779629513,0768-82-7337,,若い人や親子のお客さんが多いリーズナブルなお好み焼きやさんです。日曜・祝日はランチタイムもやっています。,絵本やかわいいパズルなどが置いてあり小さい子と行っても過ごしやすいです。掘りごたつ席あり,,火-土:17:30～22:30 日: 12:00～15:00 17:00～22:00,月,無,,,https://www.facebook.com/deko.noto/
28,,,飲食店,木ノ浦ビレッジ,珠洲市折戸町ホ部25番1,37.527510,137.266553,0768-86-2014,,靴をぬいでフローリングの床でソファがあり、赤ちゃんと過ごしやすいところです。海を眺めながら焼きたてピザ。,奥能登すず宿泊体験施設 木ノ浦ビレッジのカフェです。,,平日はカフェのみ　ランチは土日、平日は予約,,有,,,http://kinoura-village.com
29,,,飲食店,メルヘンベーカリー,鳳珠郡穴水町川島キ−１１５,37.22949549860091,136.9104167819023,0768-52-2511,,パンのイートインができます。,カウンターとテーブル席、広いのでベビーカーも楽々です。,,7:00-20:00,日曜,無,,,marchen-bakery.com
30,,,飲食店,Ｃａｆｅ遊帆,七尾市中島町外イ ,37.146555676683384,136.87440007925034,090-3291-7790,,タイ料理のお店。玄米コロッケ他、辛くないメニューも頼めます。カフェだけもOK。靴を脱いでフローリングの店内。床座りの席とテーブル席があります。,七尾湾沿いにあり、ゲストハウスが隣接しています。,,9:00～18:30,木曜,無,,,http://notopuca.com/youho/index.html
31,,,飲食店,なごみ,〒927-0301 石川県鳳珠郡能登町七見ツ−１００,37.266543750004836,137.09328576922417,（０７６８）６７－８２００,,美味しくてリーズナブルな食堂があります。和室で食事もできます。,能登七見健康福祉の郷｢なごみ｣温泉とプールの施設、小さい子用の小プールあり。和室でピラティスヨガ（有料）も。,,am10：00～pm09：00 ラストオーダーpm8:30,毎週月曜日(祝日の場合は、翌日),有,有,有,http://noto-tourism.com
32,,3,飲食店,もりもり寿し,〒927-0433 石川県鳳珠郡能登町宇出津マ−１０６−７,37.29841047580433,137.14972615242004,0768-82-0525,,テーブル席で新幹線が注文を運んでくるもりもり寿し能登総本店。宇出津港のお寿司が食べられます。,子ども用のお皿やフォークも用意されてました。,,[月・火・木・金] 11:00～15:00 17:00～21:30 [土・日・祝] 11:00～21:30,水曜日※GWやお盆時期は変更あり,有り,掘りごたつの個室あり,駐車場,
33,,3,飲食店,モリ+クモ食堂,石川県輪島市三井町与呂見以235,37.306053,136.944218,090-2031-6461,,２０１６年にできたばかりのベジタリアンのお店で魚、肉を使わない唐揚げやハンバーグなどがお腹いっぱい食べられる。,特製ベジランチプレート（850円）、テイクアウトのマフィン（３５０円）など。夫婦と小さなお子さんが接客をしていて微笑ましいところです。,,水、木、金、土　お昼～17時,月、火、日,不明,土足で入るフローリング　席は椅子席です。,駐車場３台,
34,,,,したひら,〒927-0433　鳳珠郡能登町宇出津ト字5－1,,,0768-62-0078,,正式名称：能登の魚屋さん　したひら鮮魚店　座敷だから赤ちゃんをゴロゴロさせても大丈夫。,安くってフライが美味しい。持ち帰りもお願いできます。,,昼　11:30～13:30　　夜　17:00～21:00,土・日・祝,無,畳のお部屋です。,近くに公共駐車場などがあり,http://shitahira.com/ss/
35,,,,津久司（つくし）,石川県鳳珠郡能登町宇出津新97-1,,,0768-62-0054,,ランチ５００円から。新鮮で安いお寿司がいただけます。。,カウンター席のみで赤ちゃんは抱っこするしかないですがお店としてはウェルカム。,,11:30～14:00 17:30～22:00,月曜日,無,無,不明,
36,,,,小さなおうち,,,,,,,,,,,,,,
