店舗・事業所情報一覧,,20141205_153955 ,,,,,,,,,,,
企業ID,店舗ID,店舗・施設名,郵便,住所１２３,住所４,緯度,経度,電話,FAX,URL,営業・利用可能時間,定休日,プレパス特典（協賛店のみ）
co101048,ofid0002,きもの　濱屋,926-0046,石川県七尾市神明町ロ１９番地１２,,37.0427958,136.9663634,0767-53-2381,0767-53-2779,,8:30〜18:00,日曜日、祝日,全商品１０％引き
co101129,ofid0001,きもの佳扇　小松店,923-0036,石川県小松市平面町ア69,,36.4193625,136.4722549,0761-21-9972,,http://www.e-kasen.jp/,10:00〜20:00,,イオンサービスカウンターでお渡しするスタンプカードに、各店お買上げ毎にスタンプを捺印。スタンプ12個貯まるとトップバリュ商品をプレゼント
co100384,ofid0001,くつのセブン,920-0854,石川県金沢市安江町11-37,,36.5735434,136.6552689,076-221-2071,076-221-2071,,9:30〜19:00（火は16:00まで）,不定休（年間8日休み）,靴、履物、手入れ用品等お買上げ商品10％引き。靴の修理等20％引き
co101416,ofid0001,くらやコンタクト＆メガネ,920-0348,石川県金沢市松村4-305,,36.590307,136.6165679,076-255-1888,076-255-1887,http://www.myclinic.ne.jp/miya/pc/free2.html,9時00分から18時00分,毎週水・土曜日の午後、日曜、祝日,コンタクトレンズのみ、５％引。
co101386,ofid0001,くろゆり荘,920-2324,石川県白山市中宮ク5-32,,36.2609387,136.7633653,076-256-7955,076-256-7956,,,冬期間休業,小学生以下の日帰り入浴料を無料とします
co100584,ofid0001,こころのオアシス　いろは書店,927-1214,石川県珠洲市飯田町14-10,,37.4362695,137.2632166,0768-82-0243,0768-82-4568,,8:30〜20:00,無休,いろはカードポイント３倍進呈
co100733,ofid0004,こども写真館スタジオマリオ　七尾・本府中店,926-0021,石川県七尾市本府中町ヲ23-1,,37.0346474,136.9688734,0120-753-081,,http://www.studio-mario.com/,10:00〜19:00　,無休（元旦・２日のみお休み）,1回の撮影時1000円値引き。
co100733,ofid0003,こども写真館スタジオマリオ　小松店,923-0854,石川県小松市大領町ロ28-1,,36.3869774,136.4493548,0120-753-662,,http://www.studio-mario.com/,10:00〜19:00,無休（1月1日、2日のみお休み）,1回の撮影時1000円値引き。
co100733,ofid0001,こども写真館スタジオマリオ　金沢・有松店,921-8161,石川県金沢市有松4丁目1-8,,36.5408191,136.6390349,0120-753-282,,http://www.studio-mario.jp,10:00〜19:00,無休（元旦・2日のみお休み）,1回の撮影時1000円値引き。
co100733,ofid0002,こども写真館スタジオマリオ　金沢･入江店,921-8011,石川県金沢市入江2丁目43,,36.5653303,136.6250244,0120-753-817,,http://www.studio-mario.jp/,10：00〜19：00,無休（1月1日、2日のみお休み）,1回の撮影時1000円値引き。
co100401,ofid0001,さいだ花店,926-0816,石川県七尾市藤橋町未- 42-2,,37.0420293,136.955916,0767-53-0755,0767-53-1077,http://saida.hanatown.net/,9:00〜19:00 日曜、祝日は17:00まで,年始４日間,1000円以上お買い上げのお客様5％引き
co100698,ofid0001,しおやす漆器工房,928-0032,石川県輪島市小伊勢町日隅20,,37.3819793,136.8874722,0768-22-1166,0768-22-1225,http://www.shioyasu.com,8:30〜17:30,なし,全商品10%OFF
co100872,ofid0001,しおパーキング,929-1411,石川県羽咋郡宝達志水町柳瀬ネ-１４,,36.8626274,136.7584723,0767-29-2929,,,8:00〜18:00,年中無休,シェイク50円引
co100410,ofid0001,しま矯正歯科,920-8203,石川県金沢市鞍月5-128,,36.5987338,136.6248752,076-238-1188,,http://www.ha-ha-ha-ha.com/,土・日9:00〜14:00　火・水・木11:00〜19:00,月曜日、金曜日,デンタルグッズ（ハブラシ、歯磨き粉、その他）プレゼント
co100420,ofid0001,しんたに美容室,928-0021,石川県輪島市二ツ屋町2-37-5,,37.3900318,136.899579,0768-22-8370,,,8:30〜18:00,毎週月曜日、第1・3日曜日、年始,ご家族のカット代金10％引き
co270571,ofid0001,すしめん屋Ｋｏｙｏｍｉ,924-0817,石川県白山市幸明町２８０,アピタ松任店１Ｆ,36.51583249,136.5769295,0762-77-4543,0762-77-4543,,開店11：00、ﾗｽﾄｵｰﾀﾞｰ20：00(夜8時)、ｌ閉店20：30(夜8時30分),アピタ松任店様の棚卸休業日。,精算時にプレミアム・パスポートご提示で、お食事代を５％引き。
co100113,ofid0001,すみげん本店,923-0924,石川県小松市三日市町９番地,,36.4014225,136.449332,0761-22-4214,0761-22-4200,http://www.sumigen.co.jp/,9:30〜19:30,毎週水曜日（７月、１２月は無休）、年始,全商品５％引き
co100641,ofid0001,すみよし亭,929-1721,石川県鹿島郡中能登町井田と１−１,アル・プラザ鹿島内,36.9696781,136.9077801,0767-76-2305,,,10:00〜21:00,無休,HOPカードポイント２倍　※ポイント○倍セールの場合はのぞきます。
co100135,ofid0001,せがわ薬局,926-0057,石川県七尾市鍛冶町５０番地,,37.0441481,136.9706135,0767-53-0810,0767-53-3557,http://www.segawa-pharmacy.com/,8:00〜20:00,日曜日と正月３ケ日,七尾スタンプ３倍又は当店ポイントカードのポイント３倍進呈
co100437,ofid0001,たかはし呉服店,923-0811,石川県小松市白江町タ250,,36.4075343,136.4757744,0761-22-1210,0761-22-1450,,10:00〜18:00,不定休,白江保育園制服、第一小学校トレーニングウエア、丸の内中学校制服・トレーニングウエア・カッパ等子ども用品全て10％引き致します。
co101213,ofid0001,たけもと農場,923-1113,石川県能美市牛島町ロ175,,36.430813,136.5008358,0761-57-1919,0761-57-1848,http://www.takemotonojo.com,9:00〜19:00,年末年始,お買い上げいただいた方に、粗品をプレゼント！
co100034,ofid0002,たこやき太郎　鹿西店,929-1604,石川県鹿島郡中能登町能登部下71-28-1,,36.9580643,136.8625541,0767-72-2429,,http://www.buranbo.com,10：00〜20：00,第3火曜日,
co100034,ofid0001,たこタロウ　光が丘店,921-8147,石川県金沢市大額2-55,,36.5163466,136.6255225,076-296-0728,,http://www.buranbo.com,11：00〜20：00,水曜日,たこ焼き、焼きそば、お好み焼き5％割引き
co100443,ofid0001,たこ八,922-0122,石川県加賀市山中温泉湯の本町ラ-17-1,,36.2478326,136.3739398,0761-78-2462,0761-78-3558,http://www.kaga-tv.com/takohati/,11:00〜翌3:00迄通し,年中無休,パスポート持参でお越しのお客様には全て10％引き　お子様にはジュース1杯をサービスさせて頂きます
co101406,ofid0001,ただ歯科クリニック,920-0207,石川県金沢市須崎町甲１７,,36.6200366,136.638646,076-213-8148,076-213-8147,http://tada-dental.bizcom-web.com/index.html,平日9時〜12時半、14時〜１８時半、土曜〜17時,木・日・祝・お盆・年末年始,定期検診や治療最終日にお子様へミニプレゼント
co100616,ofid0001,だけ　はきもの店,929-2222,石川県七尾市中島町中島８−７１,,37.1199781,136.8497499,0767-66-0593,0767-66-0593,,7:00〜19:30,第1日曜日、第3日曜日,パスポート提示の方いつでもささゆりカードポイント3倍進呈
co100446,ofid0001,ちっちゃいパソコン教室,920-3131,石川県金沢市百坂町ハ13-6,,36.607614,136.6828901,076-257-0677,076-214-5501,http://www4.ocn.ne.jp/‾tittyai/,9:00〜17:45,日曜日,テキスト購入の方は30％引　ちっちゃいお誕生会無料掲載（お子様の人数分）
co100797,ofid0007,ちゃんこ江戸沢　小松店,923-0961,石川県小松市向本折町ま４３,,36.3929568,136.4458105,0761-24-1110,,,11：30〜15：00　17：00〜24：00,定休日なし,全商品１０％引き
co101225,ofid0001,つばたママ☆作家くらぶ,929-0425,石川県河北郡津幡町七野243-2,,36.6589874,136.7693131,090-1395-2869,,http://www.pokahokka.com/tubatamama.html,,販売はイベント時のみ（イベントの詳細はホームページをご覧くだ,津幡町在住のイラストレーターなゆたんの似顔絵体験の方に粗品プレゼント！
co100877,ofid0001,てらおか風舎　富来本店,925-0447,石川県羽咋郡志賀町富来領家町イ-30,,37.1396827,136.7264187,0767-42-2941,0767-42-1225,http://www.notogyu.com,11:00〜21:00,毎週火曜日,ディナータイム時（17時〜）に限り、ご家族でのお食事代金を5％割引いたします。清算時にご提示下さい
co100877,ofid0002,てらおか風舎　金沢店,921-8178,石川県金沢市寺地２−２−２,（金沢有松病院そば）,36.5386871,136.6390281,076-242-0050,076-226-1129,http://www.notogyu.com,11:30〜14:30　17:30〜22:00,火曜日（不定休）、火曜日はお問い合わせ下さい。,ディナータイム時に限り、ご家族でのお食事代金を5％割引いたします。清算時にご提示下さい。
co100960,ofid0001,とうだ,923-0925,石川県小松市八日市町13-5,,36.4038609,136.4492431,0761-22-0824,0761-22-0824,,9:00〜19:30,水曜日,全商品10％引き　弁当箱は20％引き
co101142,ofid0001,ときそう　イオン小松店,923-0036,石川県小松市平面町ア69,,36.4193625,136.4722549,0761-23-5600,,,10:00〜20:00,,イオンサービスカウンターでお渡しするスタンプカードに、各店お買上げ毎にスタンプを捺印。スタンプ12個貯まるとトップバリュ商品をプレゼント
co101100,ofid0001,とくらく寝装,925-0141,石川県羽咋郡志賀町高浜町ヤ234,,37.0011237,136.7785658,0767-32-3768,0767-32-5110,,9:00〜19:00,毎週、水曜日,一般寝具から御婚礼寝具・貸しふとん・ふとん丸洗いクリーニング・ギフト品まで。お買い上げ額の10％分〔ふとん丸洗いサービス券〕進呈
co100797,ofid0006,とりあえず吾平　小松店,923-0868,石川県小松市日の出町4丁目52-1,,36.3985374,136.4564315,0761-22-4441,,http://www.g-taste.co.jp,17:00〜翌25:00,年中無休,飲食代10％OFF
co100797,ofid0004,とりあえず吾平　押野店,921-8802,石川県野々市市押野6-110,,36.5456513,136.6191447,076-294-1533,,http://www.g-taste.co.jp,17:00〜翌26:00,年中無休,飲食代10％OFF
co100797,ofid0003,とりあえず吾平　新神田店,921-8013,石川県金沢市新神田1丁目10-85,,36.5657825,136.632023,076-292-7336,,http://www.g-taste.co.jp,17:00〜翌25:00,年中無休,飲食代10％OFF
co100797,ofid0005,とりあえず吾平　松任店,924-0801,石川県白山市田中町207-2,,36.5270813,136.5886396,076-274-0772,,http://www.g-taste.co.jp,17:00〜翌26:00,年中無休,飲食代10％OFF
co100797,ofid0008,とりあえず吾平　金沢駅西店,920-0024,石川県金沢市西念2-30-16,,36.5878465,136.6411246,076-260-0788,,http://www.g-taste.co.jp,17:00〜翌25:00,年中無休,飲食代10%OFF
co100797,ofid0002,とりあえず吾平　鞍月店,920-8204,石川県金沢市戸水1-86,,36.6046136,136.6195866,076-239-4663,,http://www.g-taste.co.jp,17:00〜翌25:00（金土祝日前26:00）,年中無休,飲食代10％OFF
co100797,ofid0001,とりあえず吾平　高柳店,920-0012,石川県金沢市磯部町ニ25-1,,36.5997478,136.6591203,076-251-6364,,http://www.g-taste.co.jp,17:00〜翌25:00（金土祝日前26:00）,年中無休,飲食代10％OFF
co101249,ofid0001,とんとんびょうし　鞍月店,920-0211,石川県金沢市湊4-26-5,,36.6064966,136.6192727,076-238-1616,,http://www.ton2.com,火〜木17:00〜翌2:00　金・祝前日17:00〜翌3:00　土13:00〜翌5:00　日・祝日1,月曜日（祝日絡みの際、翌日）,お会計から500円引き（6000円以上ご飲食の方）　※カード利用時不可、他券併用不可
co100478,ofid0001,なかよう　ファミィ店,928-0022,石川県輪島市宅田町7-37番地,,37.3877488,136.9015345,0768-22-5878,,,9:00〜20:00,年始1日,毎週月曜日、1500円以上お買い上げ頂いた方に資生堂キレイのコスメドリンク1本を進呈　更にスキンケアサンプルセットを差し上げます
co100107,ofid0001,なべや,920-2121,石川県白山市鶴来本町一丁目ワ103,,36.4470565,136.6275924,076-272-0030,076-272-2556,,9:00〜19:00,日曜日　月2回（不定期）,お買上げで買物スタンプ（いらっしカード）2倍進呈
co100083,ofid0001,のとじま水族館,926-0216,石川県七尾市能登島曲町15-40,,37.149182,136.9820886,0767-84-1271,0767-84-1273,http://www.notoaqua.jp/,3月20日〜11月30日　9:00〜17:00　12月1日〜3月19日　9:00〜16:30,12月29日〜31日,中学生以下入場料無料（保護者が同伴する場合に限る）　売店（「BLUE OCEAN」）で1000円以上の買い物をされた場合10％引き
co100083,ofid0002,のとじま臨海公園　海づりセンター,926-0216,石川県七尾市能登島曲町15-40,,37.149182,136.9820886,0767-84-1271,0767-84-1273,http://www.notoaqua.jp/fishing/,3月20日〜11月30日　9:00〜17:00　12月1日〜3月19日　9:00〜16:30,12月29日〜31日,小学生、中学生入場料無料（保護者が同伴する場合に限る）
co100486,ofid0012,のと共栄信用金庫　かしま支店,929-1721,石川県鹿島郡中能登町井田め25番1,,36.9690663,136.9037716,0767-76-1144,0767-76-1709,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0029,のと共栄信用金庫　七塚支店,929-1172,石川県かほく市松浜イの65番地3,,36.7422973,136.707682,076-283-4646,076-283-4647,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0025,のと共栄信用金庫　久安支店,921-8164,石川県金沢市久安3丁目397番地,,36.5352862,136.6315441,076-242-1406,076-242-2396,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0023,のと共栄信用金庫　八日市支店,921-8063,石川県金沢市八日市出町812番地,,36.5545315,136.6090545,076-240-2181,076-240-7988,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0016,のと共栄信用金庫　内灘支店,920-0271,石川県河北郡内灘町鶴ケ丘4丁目1番地260,,36.6432641,136.6391286,076-286-4222,076-286-0354,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0008,のと共栄信用金庫　和倉支店,926-0171,石川県七尾市石崎町ヨ-70番地の104,,37.0752856,136.9267091,0767-62-4646,0767-62-4648,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0028,のと共栄信用金庫　宇ノ気支店,929-1126,石川県かほく市内日角4丁目14番地,,36.7122687,136.7002082,076-283-3955,076-283-3957,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0005,のと共栄信用金庫　富来支店,925-0446,石川県羽咋郡志賀町富来地頭町8の204番地の1,,37.1375053,136.7310045,0767-42-1127,0767-42-1850,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0009,のと共栄信用金庫　小丸山支店,926-0816,石川県七尾市藤橋町申55番1,,37.0412265,136.9550438,0767-52-6262,0767-52-4579,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0007,のと共栄信用金庫　川原町支店,926-0053,石川県七尾市上府中町ソ-3番地の1,,37.041619,136.9705758,0767-53-2229,0767-53-3748,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0011,のと共栄信用金庫　志雄支店,929-1425,石川県羽咋郡宝達志水町子浦レ186番地,,36.8637034,136.7932935,0767-29-3155,0767-29-3154,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0010,のと共栄信用金庫　押水支店,929-1343,石川県羽咋郡宝達志水町小川2部89番地の1,,36.8209617,136.7577749,0767-28-4444,0767-28-4445,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0030,のと共栄信用金庫　本店営業部,926-0048,石川県七尾市桧物町35番地,,37.0452212,136.9651873,0767-52-3450,0767-53-6764,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0020,のと共栄信用金庫　杜の里支店,920-1167,石川県金沢市もりの里2丁目97番地,,36.5570732,136.6849228,076-233-2262,076-233-2172,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0021,のと共栄信用金庫　森本支店,920-3114,石川県金沢市吉原町ハ31番1,,36.6124468,136.6922947,076-258-0159,076-258-4371,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0027,のと共栄信用金庫　津幡支店,929-0323,石川県河北郡津幡町津幡ハ7番地の1,,36.6715599,136.7356603,076-289-4151,076-289-4179,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0001,のと共栄信用金庫　穴水支店,927-0027,石川県鳳珠郡穴水町川島ソ-72番地,,37.2293896,136.9095333,0768-52-1110,0768-52-1537,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0019,のと共栄信用金庫　竪町支店,920-0997,石川県金沢市竪町83番地の1,,36.5595477,136.6540358,076-261-5188,076-261-5124,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0003,のと共栄信用金庫　羽咋支店,925-0035,石川県羽咋市本町コ86番地の2,,36.8976676,136.7762629,0767-22-1144,0767-22-1147,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0014,のと共栄信用金庫　西部支店,920-0043,石川県金沢市長田2丁目24番36号,,36.5774035,136.6401499,076-263-0311,076-263-0310,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0002,のと共栄信用金庫　輪島支店,928-0001,石川県輪島市河井町17-30番地4,,37.3896571,136.9071033,0768-22-0263,0768-22-5767,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0026,のと共栄信用金庫　野々市支店,921-8815,石川県野々市市本町2丁目19番13号,,36.5308144,136.6222214,076-246-3721,076-246-6008,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0022,のと共栄信用金庫　野町支店,921-8031,石川県金沢市野町2丁目4番6号,,36.5545954,136.646942,076-242-3610,076-242-8317,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0024,のと共栄信用金庫　金沢南支店,921-8163,石川県金沢市横川7丁目57番地,,36.5433684,136.6265831,076-244-2477,076-244-3896,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0004,のと共栄信用金庫　高浜支店,925-0141,石川県羽咋郡志賀町高浜町ク60番地48,,37.0043843,136.7750604,0767-32-1177,0767-32-3274,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0017,のと共栄信用金庫　鳴和支店,920-0804,石川県金沢市鳴和2丁目1番5号,,36.5846002,136.6717949,076-252-6255,076-252-6257,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0015,のと共栄信用金庫　鳴和支店木越出張所,920-0202,石川県金沢市木越2丁目15番地,,36.6192038,136.666394,076-257-1101,076-257-5394,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100486,ofid0013,のと共栄信用金庫　鹿北支店,929-2124,石川県七尾市白浜町76番地,,37.068804,136.8734309,0767-68-3755,0767-68-3750,http://www.notoshin.co.jp/index.html,8:30〜17:00,土・日・祝日、年末、年始,同居する子供または扶養する子供をあわせて3人以上もつ世帯を対象に●子宝1000＜1家族1000万円まで金利上乗せ＞　　子供3人の場合　スーパー定期1年物＋年0.3%　子供4人の場合　スーパー定期1年物＋年0.4%　子供5人以上の場合　スー
co100083,ofid0005,のと海洋ふれあいセンター,927-0552,石川県鳳珠郡能登町字越坂3-47,,37.3047405,137.2410213,0768-74-1919,0768-74-1920,http://notomarine.jp/,9：00〜17：00,毎週月曜日（祝日除く）,高校生以上入館料割引　200円→160円
co101432,ofid0001,のと鉄道株式会社,927-0000,石川県鳳珠郡穴水町字大町チ24-2,,37.2285,136.904325,0768-52-4422,0768-52-4455,http://www.incl.ne.jp/ntr/,列車運行時間内,無休,※平成２５年１月１日より特典提供予定です。プレミアム･パスポートの所持者が乗車する際に、”普通”乗車券を購入し、お子様の同乗者（小・中・高）がいる場合には、お子様を１名に限り無料とします。（のと鉄道線内のみ）
co101270,ofid0001,のむら美建株式会社,920-0944,石川県金沢市三口新町1丁目4-3,,36.540689,136.6813875,076-262-8180,076-262-8635,http://www.nomura-group.co.jp/,9:00〜18:00,毎週日曜日、第1土曜日、年末年始、お盆,新築・増改築・リフォーム・小工事すべて３％割引！！
co101260,ofid0001,はっぴーママ石川版,920-0863,石川県金沢市玉川町6番30号,,36.5716046,136.6522245,076-265-4040,076-265-6344,http://www.happy-mama.com/,8：30〜17：30,土・日・祝,「はっぴーママ石川版」表紙モデルオーディション撮影会の参加費500円引き
co101518,ofid0001,はづちを楽堂,922-0242,石川県加賀市山代温泉18の59番地1,,36.289402,136.36132,0761-77-8270,0761-77-8271,http://www.hadutiwo.com/,９：３０〜１８：００,水曜（祝日の場合は営業）,プレミアム・パスポートをはづちを茶店カウンターに提示すると、野菜カレーを１５０円値引き致します。（通常８５０円→７００円でご提供）※お連れの方も値引き対象となります。
co101512,ofid0001,はづ貴,920-0271,石川県河北郡内灘町鶴ヶ丘4-1-159,,36.6440973,136.6367037,076-286-1810,,,11：00〜17：00（日曜日は正午〜15：00）,毎週月曜日,ワンドリンクサービス（アルコールは除く）
